depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),TOC (percent),depth (m),temperature (degC),Uk37 (missing),depth (m),CaCO3 (percent)
4.52,27.91,22.92,-1.391,1.125,0.614,0.925,27.352,0.94,1.125,20.221
4.6,27.84,21.76,-2.006,1.145,0.606,0.935,27.184,0.935,1.145,19.589
4.68,27.91,22.66,-1.521,1.165,0.538,0.945,27.59,0.947,1.165,20.7
4.76,28.23,23.08,-1.151,1.185,0.712,0.965,27.276,0.938,1.185,20.607
4.84,28.89,25.56,0.419,1.205,0.598,0.985,27.362,0.94,1.205,15.917
4.92,28.77,25.22,0.189,1.225,0.59,1.005,27.178,0.935,1.225,21.177
5,28.36,23.2,-1.026,1.245,0.626,1.015,27.397,0.941,1.245,23.468
5.08,28.61,24.33,-0.336,1.265,0.519,1.025,27.136,0.933,1.265,19.663
5.16,28.86,25.03,0.139,1.285,0.793,1.045,27.455,0.943,1.285,23.398
5.24,28.52,24.35,-0.371,1.305,0.664,1.055,27.343,0.94,1.305,22.858
5.32,27.9,23.11,-1.301,1.325,0.602,1.065,27.861,0.956,1.325,24.794
5.4,28.81,25.02,0.109,1.345,0.393,1.085,27.415,0.942,1.345,23.57
5.48,28.72,24.92,0.014,1.365,0.644,1.095,27.681,0.95,1.365,21.248
5.56,28.41,23.73,-0.736,1.385,0.649,1.125,27.707,0.951,1.385,25.558
5.64,28.44,23.87,-0.651,1.405,0.713,1.135,28.069,0.962,1.405,23.373
5.72,29,25.15,0.269,1.425,0.57,1.165,27.024,0.93,1.425,22.318
5.8,28.43,24.11,-0.536,1.445,1.084,1.185,27.865,0.956,1.445,23.998
5.88,28.81,24.9,0.049,1.465,0.979,1.205,27.313,0.939,1.465,27.467
5.96,28.08,23.31,-1.111,1.485,0.629,1.225,28.051,0.962,1.485,23.918
6.04,28.97,24.94,0.149,1.505,0.527,1.285,27.251,0.937,1.505,23.26
6.12,28.74,24.89,0.009,1.525,0.571,1.305,27.397,0.941,1.525,23.931
6.2,28.84,24.93,0.079,1.545,0.609,1.345,27.878,0.956,1.545,21.975
6.28,28.95,25.47,0.404,1.565,0.582,1.385,28.417,0.973,1.565,19.743
6.36,29.26,26.19,0.919,1.585,0.567,1.405,27.47,0.944,1.585,23.393
6.44,28.93,25.32,0.319,1.605,0.531,1.425,27.696,0.951,1.605,24.628
6.52,28.03,23.4,-1.091,1.625,0.621,1.445,27.684,0.95,1.625,21.277
6.6,28.33,23.75,-0.766,1.645,0.473,1.465,27.488,0.944,1.645,25.418
6.68,28.84,24.93,0.079,1.665,0.656,1.485,27.67,0.95,1.665,23.617
6.76,28.02,22.64,-1.476,1.685,0.523,1.505,27.578,0.947,1.685,25.699
6.84,28.55,23.8,-0.631,1.705,0.578,1.525,27.353,0.94,1.705,23.013
6.92,28.73,24.66,-0.111,1.725,0.572,1.545,28.155,0.965,1.725,23.273
7,28.84,24.74,-0.016,1.745,0.601,1.565,27.466,0.943,1.745,22.333
7.08,28.02,22.9,-1.346,1.765,0.453,1.585,27.805,0.954,1.765,24.924
7.16,27.88,22.59,-1.571,1.785,0.572,1.605,27.713,0.951,1.785,24.267
7.24,28.51,24.05,-0.526,1.805,0.502,1.625,27.998,0.96,1.805,26.637
7.32,28.36,23.99,-0.631,1.825,0.697,1.645,27.467,0.944,1.825,16.033
7.4,28.25,23.02,-1.171,1.845,0.569,1.665,27.693,0.951,1.845,21.163
7.48,28.56,24.86,-0.096,1.865,0.577,1.685,27.507,0.945,1.865,24.7
7.56,28.37,23.85,-0.696,1.885,0.545,1.725,27.29,0.938,1.885,22.607
7.64,28.55,23.93,-0.566,1.905,0.525,1.745,27.579,0.947,1.905,24.867
7.72,28.18,23.65,-0.891,1.925,0.482,1.765,27.561,0.946,1.925,23.517
7.8,28.41,24.03,-0.586,1.945,0.48,1.785,27.666,0.95,1.945,20.63
7.88,29.01,25.67,0.534,1.965,0.458,1.805,27.546,0.946,1.965,24.493
7.96,28.67,24.1,-0.421,1.985,0.56,1.825,27.666,0.95,1.985,20.367
8.04,28.57,24.23,-0.406,2.025,0.635,1.845,27.213,0.936,2.025,19.267
8.12,28.7,24.16,-0.376,2.045,0.471,1.865,27.234,0.936,2.045,22.205
8.2,28.67,23.85,-0.546,2.065,0.69,1.885,27.381,0.941,2.065,21.142
8.28,28.87,24.7,-0.021,2.085,0.507,1.905,27.959,0.959,2.085,23.37
8.36,28.3,22.7,-1.306,2.105,0.569,1.925,27.458,0.943,2.105,19.992
8.44,28.44,23.28,-0.946,2.145,0.547,1.945,27.091,0.932,2.145,19.5
8.52,28.37,23.07,-1.086,2.165,0.646,1.965,27.242,0.937,2.165,22.751
8.6,28.15,23.31,-1.076,2.185,0.569,1.985,27.383,0.941,2.185,23.592
8.68,28.43,23.28,-0.951,2.205,0.459,2.025,27.543,0.946,2.205,24.943
8.76,28.61,24.08,-0.461,2.225,0.434,2.045,27.459,0.943,2.225,25.792
8.84,28.32,23.28,-1.006,2.245,0.459,2.065,27.322,0.939,2.245,25.242
9.08,28.13,22.92,-1.281,2.265,0.469,2.085,27.188,0.935,2.265,21.867
9.16,28.3,23.19,-1.061,2.285,0.431,2.145,27.484,0.944,2.285,24.184
9.24,29.06,25.35,0.399,2.305,0.577,2.185,26.546,0.915,2.305,18.767
9.32,28.61,23.96,-0.521,2.325,0.453,2.205,27.649,0.949,2.325,23.634
9.4,28.97,24.89,0.124,2.345,0.54,2.225,27.586,0.947,2.345,20.715
9.48,28.55,23.85,-0.606,2.365,0.489,2.245,27.323,0.939,2.365,22.972
9.56,28.61,24.42,-0.291,2.385,0.541,2.265,28.12,0.964,2.385,21.258
9.64,28.6,24.14,-0.436,2.405,0.382,2.285,27.416,0.942,2.405,23.644
9.72,28.57,23.84,-0.601,2.425,0.548,2.305,27.533,0.946,2.425,22.366
9.8,28.55,23.86,-0.601,2.445,0.493,2.325,27.582,0.947,2.445,21.869
9.88,28.5,23.59,-0.761,2.465,0.554,2.345,27.784,0.953,2.465,22.158
9.96,28.69,23.89,-0.516,2.485,0.637,2.365,27.526,0.945,2.485,21.963
10.04,28.49,23.88,-0.621,2.505,0.452,2.405,27.431,0.942,2.505,23.108
10.12,28.21,23.33,-1.036,2.525,0.488,2.425,27.244,0.937,2.525,23.236
10.2,28.3,23.61,-0.851,2.545,0.48,2.445,27.288,0.938,2.545,23.95
10.28,28.38,23.88,-0.676,2.565,0.499,2.485,26.967,0.928,2.565,22.621
10.36,28.56,23.87,-0.591,2.585,0.568,2.505,26.596,0.917,2.585,21.758
10.44,28.71,23.83,-0.536,2.605,0.469,2.525,27.055,0.931,2.605,23.373
10.52,28.82,24.55,-0.121,2.625,0.659,2.565,26.757,0.922,2.625,19.65
10.62,28.54,23.75,-0.661,2.645,0.44,2.585,26.944,0.927,2.645,22.163
10.72,28.77,24.48,-0.181,2.665,0.525,2.605,26.683,0.919,2.665,21.278
10.76,28.57,24.17,-0.436,2.685,0.384,2.625,26.82,0.923,2.685,19.91
10.86,28.15,23.03,-1.216,2.705,0.632,2.645,27.084,0.932,2.705,19.95
10.92,28.58,23.99,-0.521,2.725,0.446,2.665,26.947,0.927,2.725,21.598
11.02,28.48,23.62,-0.756,2.745,0.514,2.685,26.73,0.921,2.745,17.73
11.32,28.16,23.11,-1.171,2.765,0.639,2.705,27.188,0.935,2.765,20.593
11.42,28.79,24.4,-0.211,2.785,0.523,2.725,27.089,0.932,2.785,19.733
11.52,28.47,23.83,-0.656,2.805,0.503,2.745,27.146,0.934,2.805,18.676
11.62,28.65,24.51,-0.226,2.825,0.66,2.765,26.789,0.923,2.825,20.933
11.72,28.94,25.87,0.599,2.845,0.651,2.785,27.285,0.938,2.845,20.123
11.82,29.04,25.08,0.254,2.865,0.642,2.805,26.857,0.925,2.865,18.983
11.92,28.73,24.53,-0.176,2.885,0.535,2.825,27.043,0.93,2.885,18.988
12.04,28.97,24.5,-0.071,2.905,0.59,2.845,26.749,0.921,2.905,19.488
12.12,28.63,23.93,-0.526,2.925,0.53,2.865,27.418,0.942,2.925,20.63
12.2,28.33,22.99,-1.146,2.945,0.595,2.885,26.693,0.92,2.945,18.067
12.28,28.86,24.82,0.034,2.965,0.646,2.905,26.644,0.918,2.965,19.734
12.36,28.87,24.55,-0.096,2.985,0.634,2.925,26.657,0.918,2.985,18.312
12.44,28.49,23.31,-0.906,3.005,0.967,2.945,27.22,0.936,3.005,21.155
12.52,29.01,24.81,0.104,3.025,0.643,2.965,26.847,0.924,3.025,17.825
12.6,28.46,23.26,-0.946,3.045,0.662,2.985,26.946,0.927,3.045,20.742
12.68,28.79,24.28,-0.271,3.065,0.621,3.045,26.788,0.922,3.065,19.3
12.76,28.82,24.29,-0.251,3.085,0.523,3.065,27.246,0.937,3.085,20.966
12.84,28.52,23.86,-0.616,3.105,0.554,3.085,26.062,0.9,3.105,19.192
12.92,28.73,23.95,-0.466,3.125,0.439,3.105,26.971,0.928,3.125,19.948
13,28.53,23.6,-0.741,3.145,0.729,3.125,26.526,0.914,3.145,19.127
13.08,28.7,25.06,0.074,3.165,0.547,3.145,26.775,0.922,3.165,19.692
13.16,28.86,24.97,0.109,3.175,0.716,3.165,26.594,0.916,3.175,18.325
13.24,28.51,23.84,-0.631,3.185,0.505,3.175,26.63,0.918,3.185,18.402
13.32,28.46,23.6,-0.776,3.205,0.584,3.185,27.058,0.931,3.205,19.469
13.4,28.62,24.34,-0.326,3.225,0.598,3.205,27.178,0.935,3.225,15.033
13.48,28.45,24.45,-0.356,3.245,0.536,3.225,26.617,0.917,3.245,17.968
13.56,28.74,24.64,-0.116,3.265,0.547,3.265,26.276,0.907,3.265,17.275
13.64,28.96,25.03,0.189,3.285,0.487,3.285,26.531,0.915,3.285,18.173
13.72,28.99,25.8,0.589,3.305,0.571,3.305,26.376,0.91,3.305,14.525
13.8,29.26,26.24,0.944,3.325,0.488,3.325,25.952,0.897,3.325,16
13.88,28.22,23.84,-0.776,3.345,0.648,3.345,26.596,0.917,3.345,15.033
13.96,28.55,23.97,-0.546,3.365,0.527,3.365,25.751,0.89,3.365,17.282
14.04,28.96,25.34,0.344,3.385,0.54,3.385,26.069,0.9,3.385,15.533
14.12,28.41,24.09,-0.556,3.405,0.501,3.405,25.679,0.888,3.405,16.618
14.2,28.5,24.08,-0.516,3.425,0.566,3.425,26.176,0.903,3.425,15.217
14.28,29,25.22,0.304,3.445,0.575,3.445,26.062,0.9,3.445,15.178
14.36,28.75,25.33,0.234,3.465,0.512,3.465,25.868,0.894,3.465,14.022
14.44,28.85,25.22,0.229,3.485,0.549,3.505,26.178,0.904,3.485,14.802
14.56,28.72,25.05,0.079,3.505,0.478,3.525,25.866,0.894,3.505,15.125
14.64,28.45,24.68,-0.241,3.525,0.484,3.545,25.678,0.888,3.525,16.228
14.72,28.2,23.26,-1.076,3.545,0.558,3.565,25.898,0.895,3.545,15.299
14.8,28.76,25.33,0.239,3.565,0.533,3.585,26.479,0.913,3.565,18.106
14.88,28.88,25.3,0.284,3.585,0.547,3.625,25.842,0.893,3.585,16.567
14.96,28.57,24.22,-0.411,3.605,0.468,3.645,25.973,0.897,3.605,18.537
15.04,28.49,24.18,-0.471,3.625,0.557,3.665,26.656,0.918,3.625,16.88
15.12,27.96,23.2,-1.226,3.645,0.508,3.685,25.366,0.878,3.645,18.132
15.2,28.82,25.12,0.164,3.665,0.579,3.705,25.428,0.88,3.665,19.575
15.28,28.97,24.88,0.119,3.685,0.454,3.725,25.383,0.879,3.685,20.715
15.36,28.26,23.16,-1.096,3.705,0.578,3.745,26.148,0.903,3.705,19.867
15.44,29.24,25.74,0.684,3.725,0.504,3.785,26.08,0.901,3.725,20.122
15.52,29.3,25.96,0.824,3.745,0.668,3.805,25.617,0.886,3.745,17.017
15.6,29.1,25.39,0.439,3.765,0.516,3.825,26.002,0.898,3.765,18.956
15.72,29,24.97,0.179,3.785,0.637,3.865,25.975,0.897,3.785,17.431
15.88,28.76,24.2,-0.326,3.805,0.56,3.885,25.329,0.877,3.805,18.908
15.96,28.68,24.32,-0.306,3.825,0.668,3.945,26.141,0.902,3.825,18.192
16.04,29.65,27.16,1.599,3.845,0.627,3.985,26.71,0.92,3.845,17.628
16.12,28.64,24.37,-0.301,3.865,0.634,4.025,25.959,0.897,3.865,16.319
16.2,28.37,22.98,-1.131,3.885,0.625,4.045,26.49,0.913,3.885,17.048
16.28,28.73,23.79,-0.546,3.905,0.677,4.065,27.125,0.933,3.905,16.558
16.36,28.86,24.61,-0.071,3.925,0.796,4.125,25.753,0.89,3.925,15.048
16.44,28.58,23.76,-0.636,3.945,0.577,4.145,26.506,0.914,3.945,15.737
16.52,28.99,25.17,0.274,3.965,0.579,4.165,24.956,0.866,3.965,14.888
16.6,28.97,24.93,0.144,3.985,0.593,4.185,25.118,0.871,3.985,15.317
16.68,28.46,23.49,-0.831,4.005,0.59,4.205,26.298,0.907,4.005,16.096
16.76,28.69,24.01,-0.456,4.025,0.567,4.225,26.166,0.903,4.025,17.021
16.84,28.98,25.32,0.344,4.045,0.566,4.245,25.577,0.885,4.045,14.343
16.92,28.88,24.73,-0.001,4.065,0.582,4.265,25.577,0.885,4.065,15.384
17,29,24.76,0.074,4.125,0.505,4.285,25.535,0.884,4.125,15.865
17.08,29.05,25.07,0.254,4.145,0.602,4.305,25.652,0.887,4.145,14.867
17.16,29.08,25.29,0.379,4.165,0.523,4.325,24.958,0.866,4.165,14.482
17.24,28.63,24.19,-0.396,4.185,0.573,4.345,25.179,0.873,4.185,13.398
17.32,28.25,23.49,-0.936,4.205,0.465,4.365,25.641,0.887,4.205,15.079
17.4,28.87,24.68,-0.031,4.225,0.598,4.385,24.671,0.857,4.225,12.392
17.48,28.67,24.17,-0.386,4.245,0.549,4.405,24.091,0.839,4.245,15.362
17.56,28.56,23.61,-0.721,4.265,0.57,4.425,24.827,0.862,4.265,11.29
17.64,28.62,24,-0.496,4.285,0.514,4.445,24.688,0.857,4.285,13.193
17.72,28.59,23.63,-0.696,4.305,0.662,4.465,24.656,0.856,4.305,11.933
17.8,28.72,24.21,-0.341,4.325,0.535,4.485,24.233,0.843,4.325,14.569
17.88,29.05,24.89,0.164,4.345,0.54,4.505,24.552,0.853,4.345,12.315
17.96,28.79,24.42,-0.201,4.365,0.505,4.525,24.439,0.85,4.365,12.308
18.04,29.43,26.64,1.229,4.385,0.632,4.565,24.449,0.85,4.385,15.992
18.12,29.21,25.71,0.654,4.405,0.519,4.585,24.821,0.862,4.405,11.536
18.2,29.65,27.1,1.569,4.425,0.508,4.605,24.218,0.843,4.425,10.538
18.28,29.31,26.21,0.954,4.445,0.478,4.625,24.322,0.846,4.445,11.978
18.36,29.25,26.41,1.024,4.465,0.451,4.645,24.368,0.847,4.465,11.217
18.44,29.32,26.05,0.879,4.485,0.541,4.665,25.176,0.872,4.485,9.634
18.52,29.1,25.91,0.699,4.505,0.872,4.685,23.963,0.835,4.505,8.83
18.6,28.95,25.22,0.279,4.525,0.531,4.705,23.899,0.833,4.525,9.131
18.68,29.02,25.86,0.634,4.545,0.705,4.725,24.647,0.856,4.545,8.2
18.76,29.25,26.56,1.099,4.565,0.525,4.745,25.328,0.877,4.565,9.598
18.84,29.33,26.75,1.234,4.585,0.625,4.765,25.091,0.87,4.585,9.415
18.92,29.14,25.75,0.639,4.605,0.546,4.785,24.398,0.848,4.605,10.093
19,28.64,24.12,-0.426,4.625,0.621,4.805,24.994,0.867,4.625,8.4
19.08,28.98,25.1,0.234,4.645,0.541,4.825,25.869,0.894,4.645,10.143
19.16,28.73,24.92,0.019,4.665,0.599,4.845,25.433,0.88,4.665,8.888
19.2,28.46,23.18,-0.986,4.685,0.553,4.865,25.465,0.881,4.685,8.831
19.24,28.04,22.87,-1.351,4.705,0.697,4.885,25.007,0.867,4.705,6.7
19.28,28.94,24.63,-0.021,4.725,0.546,4.905,25.673,0.888,4.725,10.023
19.32,29.3,25.84,0.764,4.745,0.585,4.925,25.346,0.878,4.745,8.074
19.4,28.99,25.17,0.274,4.765,0.565,4.945,25.364,0.878,4.765,9.254
19.48,28.34,23.37,-0.951,4.785,0.637,4.965,24.698,0.858,4.785,7.108
19.56,28.13,23.29,-1.096,4.805,0.535,4.985,25.667,0.888,4.805,9.466
19.64,29.02,25.14,0.274,4.825,0.605,5.005,25.352,0.878,4.825,6.344
19.72,29.18,25.95,0.759,4.845,0.531,5.025,25.111,0.87,4.845,8.155
19.8,29.08,25.21,0.339,4.865,0.585,5.045,25.49,0.882,4.865,3.925
19.88,29.35,26.11,0.924,4.885,0.592,5.065,26.257,0.906,4.885,10.149
19.96,28.97,24.94,0.149,4.905,0.604,5.085,25.194,0.873,4.905,9.495
20.04,28.94,25.29,0.309,4.925,0.558,5.105,25.607,0.886,4.925,9.948
20.12,29.16,25.74,0.644,4.945,0.73,5.125,25.001,0.867,4.945,7.842
20.2,29.26,26.22,0.934,4.965,0.587,5.145,25.167,0.872,4.965,9.029
20.28,29.14,25.55,0.539,4.985,0.648,5.165,25.646,0.887,4.985,8.225
20.36,29.45,26.42,1.129,5.005,0.594,5.185,25.617,0.886,5.005,9.225
20.44,29.45,26.37,1.104,5.025,0.579,5.205,25.521,0.883,5.025,7.4
20.52,29.32,26.02,0.864,5.045,0.545,5.225,25.424,0.88,5.045,9.892
20.6,29.46,26.37,1.109,5.065,0.541,5.245,25.821,0.892,5.065,8.276
20.68,29.37,26.02,0.889,5.085,0.596,5.265,25.444,0.881,5.085,8.422
20.76,29.23,26,0.809,5.105,0.597,5.285,25.671,0.888,5.105,7.183
20.84,29.1,25.76,0.624,5.125,0.523,5.305,25.615,0.886,5.125,6.985
20.92,29.3,25.94,0.814,5.145,0.587,5.325,25.664,0.888,5.145,5.779
21,29.3,25.9,0.794,5.165,0.517,5.345,25.293,0.876,5.165,8.054
21.08,29.08,25.84,0.654,5.185,0.606,5.365,25.75,0.89,5.185,7.85
21.16,29.07,25.58,0.519,5.205,0.495,5.385,25.585,0.885,5.205,8.295
21.24,28.82,24.7,-0.046,5.225,0.647,5.405,25.593,0.885,5.225,8.677
21.32,29.17,26.09,0.824,5.245,0.49,5.425,25.237,0.874,5.245,9.705
21.4,29.17,26.33,0.944,5.265,0.646,5.445,25.466,0.882,5.265,8.525
21.48,29.42,26.71,1.259,5.285,0.527,5.465,25.288,0.876,5.285,9.269
21.56,28.74,24.63,-0.121,5.305,0.596,5.485,25.396,0.879,5.305,8.167
21.64,29.36,26.41,1.079,5.325,0.423,5.525,25.229,0.874,5.325,8.859
21.72,29.01,25.4,0.399,5.345,0.591,5.545,25.576,0.885,5.345,6.883
21.8,29.11,26.58,1.039,5.365,0.508,5.565,25.893,0.895,5.365,7.477
21.88,28.56,24.21,-0.421,5.385,0.541,5.585,24.712,0.858,5.385,6.699
21.96,29.54,26.88,1.404,5.405,0.534,5.605,25.295,0.876,5.405,7.578
22.04,29.06,25.67,0.559,5.425,0.61,5.625,25.314,0.877,5.425,8.6
22.12,29.15,25.54,0.539,5.445,0.558,5.645,25.89,0.895,5.445,9.985
22.2,28.95,24.83,0.084,5.465,0.615,5.665,25.431,0.88,5.465,9.017
22.28,29.31,26.48,1.089,5.485,0.572,5.685,25.892,0.895,5.485,9.636
22.36,28.95,25.52,0.429,5.505,0.692,5.705,25.347,0.878,5.505,7.783
22.44,29.16,25.88,0.714,5.525,0.558,5.725,25.925,0.896,5.525,8.479
22.52,29.08,24.96,0.214,5.545,0.614,5.745,25.157,0.872,5.545,6.685
22.6,28.5,23.43,-0.841,5.565,0.498,5.765,25.701,0.889,5.565,8.192
22.68,29.22,26.14,0.874,5.585,0.649,5.785,25.914,0.895,5.585,7.783
22.76,28.58,25.21,0.089,5.605,0.58,5.805,25.854,0.894,5.605,9.057
22.84,28.31,23.87,-0.716,5.625,0.547,5.825,25.261,0.875,5.625,6.569
22.92,28.81,24.83,0.014,5.645,0.498,5.845,26.044,0.899,5.645,7.931
23,28.59,24.19,-0.416,5.665,0.639,5.925,25.941,0.896,5.665,6.825
23.08,28.75,24.76,-0.051,5.685,0.497,5.945,26.359,0.909,5.685,6.523
23.16,28.92,25.07,0.189,5.725,0.545,5.965,26.073,0.9,5.725,8.936
23.24,29.43,26.81,1.314,5.745,0.7,5.985,25.258,0.875,5.745,8.508
23.32,28.81,24.62,-0.091,5.765,0.557,6.005,25.542,0.884,5.765,8.261
23.4,28.41,24.97,-0.116,5.785,0.618,6.045,25.365,0.878,5.785,8.575
23.48,29.05,26.43,0.934,5.805,0.564,6.065,24.839,0.862,5.805,8.091
23.56,29.05,26,0.719,5.825,0.654,6.085,25.457,0.881,5.825,7.5
23.64,28.87,25.7,0.479,5.845,0.56,6.105,24.979,0.866,5.845,8.891
23.72,28.83,25.24,0.229,5.865,0.601,6.125,25.307,0.877,5.865,6.303
23.8,28.84,24.91,0.069,5.885,0.526,6.145,25.158,0.872,5.885,6.653
23.88,29,25.76,0.574,5.905,0.686,6.165,24.923,0.865,5.905,5.225
23.96,29.25,26.59,1.114,5.925,0.556,6.185,24.424,0.849,5.925,7.607
24.02,29.32,26.14,0.924,5.945,0.571,6.205,25.046,0.868,5.945,7.668
24.1,28.62,24.09,-0.451,5.965,0.449,6.225,25.099,0.87,5.965,9.763
24.18,29.03,25.96,0.689,5.985,0.664,6.265,25.405,0.88,5.985,7.392
24.26,28.64,24.77,-0.101,6.005,0.523,6.285,25.469,0.882,6.005,11.165
24.34,29.15,25.44,0.489,6.025,0.64,6.305,24.857,0.863,6.025,6.727
24.42,29.28,27.01,1.339,6.045,0.526,6.325,25.561,0.884,6.045,8.66
24.5,29.26,26.38,1.014,6.065,0.617,6.345,24.615,0.855,6.065,7.117
24.58,27.95,23.17,-1.246,6.085,0.535,6.365,24.733,0.859,6.085,8.121
24.66,28.98,25.5,0.434,6.105,0.55,6.385,24.563,0.854,6.105,6.969
24.74,29.09,25.38,0.429,6.125,0.555,6.405,25.274,0.876,6.125,7.517
24.82,28.26,23.82,-0.766,6.145,0.661,6.425,24.945,0.865,6.145,7.008
24.9,28.9,25.88,0.584,6.165,0.574,6.445,25.196,0.873,6.165,8.043
24.98,28.43,24.44,-0.371,6.185,0.608,6.465,24.986,0.867,6.185,7.739
25.06,28.58,25.22,0.094,6.205,0.54,6.485,24.892,0.864,6.205,8.649
25.14,28.08,24.45,-0.541,6.225,0.57,6.505,25.135,0.871,6.225,8.158
25.22,28.42,25.04,-0.076,6.245,0.532,6.525,25.342,0.878,6.245,7.008
25.3,28.11,24.59,-0.456,6.265,0.562,6.545,24.564,0.854,6.265,7.555
25.38,28.14,24.72,-0.376,6.285,0.491,6.565,24.888,0.864,6.285,7.55
25.46,27.84,23.3,-1.236,6.305,0.596,6.585,25.209,0.874,6.305,7.567
