depth (m),year (AD),age (BP),d18O (d18O)
18.17,1804.2,145.8,-42.89
18.361,1802.2,147.8,-40.94
18.578,1799.8,150.2,-42.3
18.793,1797.5,152.5,-41.96
19.008,1795.2,154.8,-40.62
19.222,1793,157,-42.59
19.436,1790.7,159.3,-41.7
19.65,1788.4,161.6,-40.78
19.864,1786.1,163.9,-42.21
20.075,1783.8,166.2,-40.51
20.286,1781.5,168.5,-41.56
20.52,1778.7,171.3,-40.3
20.706,1776.5,173.5,-40.3
20.915,1774,176,-39.47
21.124,1771.5,178.5,-42.63
21.332,1769,181,-40.74
21.54,1766.6,183.4,-39.63
21.74,1764.2,185.8,-39.79
21.954,1761.6,188.4,-41.54
22.17,1759.1,190.9,-43.61
22.366,1756.7,193.3,-40.25
22.57,1754.3,195.7,-41.1
22.774,1751.9,198.1,-41.23
22.978,1749.5,200.5,-41.82
23.17,1747.2,202.8,-37.44
23.384,1744.6,205.4,-36.85
23.595,1742.1,207.9,-40.66
23.788,1739.8,210.2,-38.78
23.989,1737.4,212.6,-39.57
24.17,1735.3,214.7,-40.6
24.391,1732.6,217.4,NA
24.59,1730.3,219.7,-39.75
24.789,1727.9,222.1,-40.61
24.988,1725.5,224.5,-41.11
25.17,1723.4,226.6,-39.34
25.382,1720.9,229.1,-40.12
25.579,1718.5,231.5,-39.33
25.775,1716.1,233.9,-39.93
25.971,1713.6,236.4,-41.81
26.17,1711,239,-40.6
26.363,1708.6,241.4,-40.6
26.557,1706.1,243.9,-40.1
26.751,1703.6,246.4,-40
26.945,1701.1,248.9,-42.81
27.17,1698.2,251.8,-41.04
27.334,1696,254,-39.82
27.527,1693.6,256.4,-39.99
27.718,1691.1,258.9,-39.17
27.909,1688.6,261.4,-38.58
28.1,1686.2,263.8,-41.01
28.291,1683.7,266.3,-38.18
28.481,1681.3,268.7,-36.83
28.671,1678.8,271.2,-38.37
28.86,1676.4,273.6,-40.45
29.049,1673.9,276.1,-40.12
29.238,1671.5,278.5,-38.67
29.427,1669.1,280.9,-39.62
29.614,1666.6,283.4,-39.12
29.8,1664.2,285.8,-38.38
29.986,1661.8,288.2,-38.47
30.172,1659.4,290.6,-40.75
30.358,1657,293,-42.74
30.541,1654.7,295.3,-42.79
30.727,1652.3,297.7,-41.21
30.911,1649.9,300.1,-41.02
31.095,1647.5,302.5,-38.94
31.281,1645.1,304.9,-39.47
31.465,1642.6,307.4,-39.55
31.648,1640.1,309.9,-42.55
31.815,1637.7,312.3,-42.74
32.014,1635,315,NA
32.17,1632.8,317.2,-43.07
32.378,1629.9,320.1,-40.88
32.559,1627.4,322.6,-39.88
32.74,1624.9,325.1,-38.85
32.937,1622.2,327.8,-38.77
33.101,1619.9,330.1,-38.17
33.28,1617.5,332.5,-39.37
33.459,1615,335,-40.39
33.638,1612.5,337.5,-43.53
33.817,1610,340,-42.8
33.995,1607.6,342.4,-41.43
34.17,1605.1,344.9,-40.45
34.351,1602.6,347.4,-39.01
34.528,1600.2,349.8,-39.6
34.705,1597.7,352.3,-42.21
34.882,1595.3,354.7,-42.77
35.059,1592.8,357.2,-44.24
35.255,1590.1,359.9,-42.35
35.411,1587.9,362.1,-40.26
35.587,1585.5,364.5,-40.47
35.763,1583.1,366.9,-40.56
35.938,1580.6,369.4,-42.65
36.113,1578.2,371.8,-42.73
36.288,1575.8,374.2,-40.4
36.463,1573.4,376.6,-39.1
36.636,1571,379,-39.61
36.809,1568.6,381.4,-41.41
36.982,1566,384,-42.95
37.17,1563.2,386.8,-41.68
37.345,1560.7,389.3,-42.63
37.498,1558.4,391.6,-42.43
37.67,1555.9,394.1,-41.02
37.841,1553.4,396.6,-39.05
38.012,1550.8,399.2,-38.88
38.17,1548.5,401.5,-39.94
38.354,1545.8,404.2,-41.72
38.548,1542.9,407.1,-39.65
38.694,1540.8,409.2,-39.84
38.864,1538.3,411.7,-40.6
39.033,1535.8,414.2,-40.59
39.202,1533.3,416.7,-37.88
39.371,1530.8,419.2,-37.91
39.54,1528.3,421.7,-40.32
39.708,1525.8,424.2,-41.23
39.876,1523.4,426.6,-41.63
40.07,1520.5,429.5,-40.34
40.211,1518.4,431.6,-40.12
40.378,1515.9,434.1,-39.24
40.545,1513.5,436.5,-39.36
40.712,1511,439,-38.85
40.878,1508.6,441.4,-39.67
41.044,1506.1,443.9,-40.78
41.21,1503.7,446.3,-42.73
41.541,1498.8,451.2,-39.82
41.706,1496.4,453.6,-41.32
41.871,1493.9,456.1,-39.67
42.035,1491.5,458.5,NA
42.21,1488.9,461.1,-39.97
42.363,1486.6,463.4,-39.03
42.527,1484.1,465.9,-38.73
42.691,1481.6,468.4,-38.18
42.855,1479,471,-39.51
43.019,1476.5,473.5,-39.89
43.182,1473.9,476.1,NA
43.344,1471.4,478.6,-39.21
43.506,1468.9,481.1,-38.32
43.668,1466.4,483.6,NA
43.83,1463.9,486.1,-42.37
43.991,1461.4,488.6,-40.21
44.152,1458.9,491.1,-39.2
44.313,1456.4,493.6,-39.02
44.473,1453.9,496.1,-41.13
44.65,1451.2,498.8,-43.85
44.793,1449,501,-42.32
44.953,1446.5,503.5,-40.39
45.113,1444,506,-39.48
45.272,1441.5,508.5,-40.04
45.431,1439.1,510.9,-39.98
45.59,1436.6,513.4,-40.32
45.749,1434.1,515.9,-39.21
45.908,1431.7,518.3,-39.64
46.067,1429.2,520.8,-39.19
46.21,1427,523,-39.22
46.384,1424.3,525.7,-40.31
46.542,1421.8,528.2,-40.06
46.7,1419.4,530.6,-39.63
46.858,1416.9,533.1,-37.94
47.016,1414.5,535.5,-38.05
47.173,1412,538,-37.8
47.33,1409.6,540.4,-40.23
47.487,1407.2,542.8,-41.05
47.644,1404.7,545.3,-38.18
47.8,1402.3,547.7,-38.21
47.956,1399.8,550.2,-40.54
48.135,1396.9,553.1,-39.06
48.268,1394.7,555.3,-37.91
48.423,1392.2,557.8,-38.2
48.578,1389.7,560.3,-39.28
48.733,1387.2,562.8,NA
48.888,1384.7,565.3,-39
49.042,1382.2,567.8,-39.99
49.21,1379.4,570.6,-40
49.35,1377.2,572.8,-40.33
49.503,1374.7,575.3,-40.17
49.656,1372.2,577.8,-40.89
49.809,1369.7,580.3,-44.01
49.962,1367.2,582.8,-44.15
50.115,1364.7,585.3,NA
50.268,1362.2,587.8,-39.88
50.421,1359.7,590.3,-42.34
50.574,1357.3,592.7,-42.97
50.727,1354.8,595.2,-41.87
50.879,1352.3,597.7,-41.01
51.031,1349.8,600.2,-40.77
51.183,1347.4,602.6,-42.59
51.335,1344.9,605.1,-42.03
51.486,1342.4,607.6,-41.09
51.637,1340,610,-40.88
51.788,1337.5,612.5,-40.73
51.939,1335.1,614.9,-40.29
52.09,1332.6,617.4,-40.74
52.241,1330.2,619.8,NA
52.42,1327.3,622.7,-43.47
52.542,1325.3,624.7,-42
52.692,1322.8,627.2,-38.11
52.842,1320.4,629.6,-38.54
52.992,1318,632,-39.53
53.142,1315.5,634.5,-41.37
53.291,1313.1,636.9,-40.88
53.44,1310.6,639.4,-41.66
53.589,1308.1,641.9,-37.82
53.737,1305.6,644.4,-38.82
53.885,1303.1,646.9,-39.37
54.033,1300.6,649.4,-41.4
54.181,1298.1,651.9,-46.32
54.329,1295.6,654.4,-46.71
54.477,1293.1,656.9,-40.39
54.625,1290.6,659.4,NA
54.773,1288.1,661.9,-37.39
54.921,1285.5,664.5,-37.86
55.069,1283,667,-38.46
55.216,1280.6,669.4,-38.46
55.363,1278.1,671.9,-38.49
55.51,1275.6,674.4,-39.12
55.656,1273.1,676.9,-38.94
55.802,1270.6,679.4,-38.23
55.948,1268.2,681.8,-38.79
56.094,1265.7,684.3,-40.2
56.24,1263.2,686.8,-42.13
56.386,1260.7,689.3,-39.69
56.532,1258.3,691.7,-40.66
56.678,1255.8,694.2,-41.36
56.824,1253.3,696.7,-40.14
56.969,1250.9,699.1,-39.17
57.114,1248.4,701.6,-40.65
57.259,1245.9,704.1,-42.95
57.404,1243.5,706.5,-41.61
57.548,1241,709,-41.28
57.692,1238.6,711.4,-41.88
57.836,1236.2,713.8,-39.98
57.98,1233.7,716.3,-39.37
58.124,1231.3,718.7,-39.72
58.268,1228.9,721.1,-40.28
58.412,1226.4,723.6,-40.51
58.556,1224,726,-39.98
58.7,1221.5,728.5,-39.02
58.843,1219.1,730.9,-38.39
58.986,1216.6,733.4,-36.82
59.129,1214.1,735.9,-37.21
59.272,1211.6,738.4,-39.91
59.415,1209.1,740.9,-40.61
59.59,1206.1,743.9,-40.54
59.72,1203.8,746.2,-40.1
59.843,1201.6,748.4,-39.8
59.985,1199.1,750.9,-40.47
60.127,1196.7,753.3,-40.93
60.269,1194.2,755.8,-39.04
60.411,1191.7,758.3,-39.17
60.552,1189.2,760.8,-39.11
60.693,1186.7,763.3,-40.74
60.834,1184.3,765.7,-42.23
60.975,1181.8,768.2,-41.16
61.116,1179.3,770.7,-41.1
61.257,1176.9,773.1,NA
61.398,1174.4,775.6,-39.21
61.539,1171.9,778.1,-38.32
61.68,1169.5,780.5,NA
61.82,1167,783,-42.23
61.96,1164.6,785.4,-42.72
62.1,1162.1,787.9,-42.17
62.24,1159.7,790.3,-40.38
62.38,1157.2,792.8,-39.79
62.52,1154.8,795.2,NA
62.66,1152.3,797.7,-39.38
62.8,1149.8,800.2,-41.02
62.939,1147.4,802.6,-41.8
63.078,1145,805,-40.7
63.217,1142.5,807.5,-38.87
63.356,1140.1,809.9,-39.95
63.495,1137.7,812.3,-41.02
63.634,1135.2,814.8,-41.28
63.773,1132.8,817.2,-41.7
63.912,1130.4,819.6,-40.48
64.051,1127.9,822.1,-39.68
64.189,1125.5,824.5,-40.37
64.35,1122.7,827.3,NA
64.465,1120.7,829.3,-41.67
64.603,1118.2,831.8,-40.44
64.741,1115.6,834.4,-40.35
64.878,1113.1,836.9,-41.23
65.015,1110.7,839.3,-41.39
65.152,1108.2,841.8,-39.97
65.292,1105.6,844.4,-40.45
65.426,1103.2,846.8,-41.6
65.563,1100.7,849.3,-41.1
65.7,1098.2,851.8,-39.85
65.837,1095.7,854.3,-40.04
65.973,1093.2,856.8,-41.49
66.109,1090.7,859.3,-40.43
66.245,1088.3,861.7,-40.93
66.381,1085.8,864.2,-40.86
66.517,1083.3,866.7,-40.42
66.653,1080.8,869.2,-41.06
66.789,1078.3,871.7,-40.77
66.925,1075.9,874.1,-40.87
67.06,1073.4,876.6,-42.15
67.195,1071,879,-43.34
67.33,1068.5,881.5,-42.43
67.465,1066,884,-40.41
67.6,1063.6,886.4,-40.1
67.735,1061.1,888.9,-41.36
67.87,1058.7,891.3,-41.75
68.005,1056.2,893.8,-41.01
68.14,1053.7,896.3,-40.65
68.274,1051.3,898.7,-40.4
68.408,1048.9,901.1,-41.57
68.542,1046.4,903.6,-42.01
68.676,1044,906,-43.12
68.81,1041.5,908.5,-42.8
68.944,1039.1,910.9,-40.44
69.09,1036.5,913.5,-39.65
69.212,1034.2,915.8,-40.05
69.346,1031.8,918.2,-39.23
69.479,1029.4,920.6,-39.17
69.612,1026.9,923.1,-39.59
69.745,1024.5,925.5,-40.06
69.878,1022.1,927.9,-39.8
70.011,1019.7,930.3,-39.54
70.144,1017.2,932.8,-39.57
70.277,1014.7,935.3,-38.38
70.41,1012.2,937.8,-40.32
70.543,1009.7,940.3,-40.37
70.675,1007.2,942.8,-40.54
70.807,1004.8,945.2,-40.91
70.939,1002.3,947.7,-39.06
71.071,999.8,950.2,-38.55
71.203,997.3,952.7,-39.38
71.335,994.9,955.1,-39.44
71.467,992.4,957.6,-39.9
71.599,989.9,960.1,NA
71.731,987.5,962.5,-43.77
71.863,985,965,-43.74
71.995,982.5,967.5,NA
72.127,980,970,-41.57
72.259,977.6,972.4,-41.03
72.391,975.1,974.9,-39.27
72.523,972.6,977.4,-39.74
72.654,970.2,979.8,-40.43
72.785,967.7,982.3,-40.56
72.916,965.3,984.7,NA
73.047,962.8,987.2,-41.09
73.178,960.4,989.6,NA
73.309,957.9,992.1,-39.78
73.44,955.5,994.5,-39.85
73.57,953,997,-39.34
73.7,950.6,999.4,-38.03
73.83,948.2,1001.8,NA
73.96,945.7,1004.3,-37.76
74.09,943.3,1006.7,-39.11
74.22,940.9,1009.1,-38.39
74.35,938.4,1011.6,-40.64
74.48,936,1014,-42.12
74.61,933.6,1016.4,-40.48
74.74,931.1,1018.9,-37.87
74.87,928.7,1021.3,-37.9
75,926.3,1023.7,-39.46
75.258,921.4,1028.6,-40.16
75.387,919,1031,-38.56
75.516,916.6,1033.4,NA
75.645,914.1,1035.9,-40.98
75.774,911.6,1038.4,-39.61
75.903,909.2,1040.8,-39.19
76.032,906.7,1043.3,-39.53
76.161,904.2,1045.8,-38.84
76.29,901.7,1048.3,-41.22
76.419,899.2,1050.8,-42.75
76.548,896.8,1053.2,-37.54
76.677,894.3,1055.7,-39.91
76.806,891.8,1058.2,-39.62
76.934,889.3,1060.7,-40.33
77.062,886.9,1063.1,-40.89
77.19,884.4,1065.6,-41.36
77.318,881.9,1068.1,-41.8
77.446,879.5,1070.5,-40.43
77.574,877,1073,NA
77.702,874.6,1075.4,-40.63
77.83,872.1,1077.9,-38.77
77.958,869.6,1080.4,-38.24
78.086,867.2,1082.8,-39.77
78.213,864.7,1085.3,-39.7
78.34,862.3,1087.7,-38.53
78.467,859.8,1090.2,-38.55
78.594,857.4,1092.6,-39.48
78.721,855,1095,-40.49
78.848,852.5,1097.5,-41.64
78.975,850.1,1099.9,-40.88
79.102,847.6,1102.4,NA
79.229,845.2,1104.8,-41.74
79.356,842.7,1107.3,-39.91
79.483,840.3,1109.7,-40.4
79.61,837.9,1112.1,-41.05
79.736,835.4,1114.6,-39.82
79.862,833,1117,-41.04
79.988,830.6,1119.4,-40.22
80.114,828.2,1121.8,NA
80.24,825.7,1124.3,-39.6
80.366,823.3,1126.7,-39.45
80.492,820.9,1129.1,-38.97
80.618,818.5,1131.5,-38.79
80.744,816,1134,-40.73
80.87,813.6,1136.4,-38.34
80.996,811.2,1138.8,-40.08
81.121,808.7,1141.3,-39.77
81.246,806.3,1143.7,-41.07
81.371,803.8,1146.2,-40.84
81.496,801.3,1148.7,-40.65
81.621,798.9,1151.1,-40.64
81.746,796.4,1153.6,-40.96
81.871,794,1156,-40.05
81.996,791.5,1158.5,-39
82.121,789,1161,-39.6
82.246,786.6,1163.4,-40.81
82.371,784.1,1165.9,-41.07
82.496,781.6,1168.4,-41.08
82.62,779.2,1170.8,-40.29
82.744,776.7,1173.3,-41.42
82.868,774.3,1175.7,NA
82.992,771.9,1178.1,-40.33
83.116,769.4,1180.6,-39.04
83.24,767,1183,NA
83.488,762.1,1187.9,-42.35
83.612,759.6,1190.4,-41.45
83.736,757.2,1192.8,-39.89
83.86,754.7,1195.3,-37.46
83.984,752.3,1197.7,-36.25
84.108,749.8,1200.2,-36.37
84.232,747.4,1202.6,-37.22
84.355,745,1205,-38.9
84.478,742.6,1207.4,-40.07
84.59,740.3,1209.7,-40.67
84.724,737.7,1212.3,-40.16
84.847,735.3,1214.7,-40.7
84.97,732.9,1217.1,-40.79
85.12,729.9,1220.1,-41.61
85.216,728,1222,-40.75
85.339,725.6,1224.4,-40.4
85.462,723.2,1226.8,-43.2
85.585,720.7,1229.3,-43.17
85.708,718.3,1231.7,-41
85.831,715.9,1234.1,-40.86
85.954,713.5,1236.5,-39.32
86.077,711,1239,-39.46
86.2,708.6,1241.4,-37.29
86.322,706.2,1243.8,NA
86.49,702.9,1247.1,-35.99
86.57,701.3,1248.7,-37.06
86.688,698.9,1251.1,-38.02
86.81,696.4,1253.6,-40.33
86.932,693.9,1256.1,-43.17
87.054,691.5,1258.5,-43.2
87.176,689,1261,-39.43
87.298,686.5,1263.5,-39.77
87.42,684,1266,-40.04
87.542,681.5,1268.5,-39.44
87.664,679.1,1270.9,-40.42
87.786,676.6,1273.4,-39.54
87.908,674.1,1275.9,-40.54
88.03,671.6,1278.4,-40.87
88.128,669.6,1280.4,-40.63
88.273,666.7,1283.3,-40.54
88.394,664.2,1285.8,-40.51
88.515,661.8,1288.2,-40.61
88.636,659.3,1290.7,-40.12
88.757,656.8,1293.2,-39.33
88.878,654.4,1295.6,-38.23
88.999,651.9,1298.1,-39.38
89.12,649.5,1300.5,-39.61
89.241,647,1303,-38.87
89.362,644.6,1305.4,-37.71
89.483,642.1,1307.9,-38.7
89.604,639.6,1310.4,-39.64
89.725,637.2,1312.8,-39.7
89.846,634.7,1315.3,-40.26
89.967,632.3,1317.7,NA
90.12,629.2,1320.8,-41.91
90.209,627.3,1322.7,-41.19
90.329,624.9,1325.1,-38.83
90.449,622.5,1327.5,-38.7
90.569,620,1330,-40.07
90.689,617.6,1332.4,-39.26
90.809,615.2,1334.8,-38.8
90.929,612.7,1337.3,-38.9
91.049,610.3,1339.7,-39.34
91.169,607.8,1342.2,-39.61
91.289,605.4,1344.6,-40.83
91.409,603,1347,-40.01
91.529,600.5,1349.5,-38.98
91.649,598.1,1351.9,-39.2
91.75,596,1354,-41.39
91.889,593.2,1356.8,-41.43
92.009,590.8,1359.2,-41.04
92.11,588.7,1361.3,-41.39
92.248,585.8,1364.2,-40.06
92.367,583.4,1366.6,-38.69
92.486,580.9,1369.1,-39.72
92.605,578.4,1371.6,-39.14
92.724,576,1374,-38.89
92.843,573.5,1376.5,NA
92.962,571,1379,-40.09
93.081,568.6,1381.4,-41.03
93.2,566.1,1383.9,-41.92
93.319,563.6,1386.4,-39.78
93.438,561.2,1388.8,-38.02
93.557,558.7,1391.3,-38.27
93.676,556.2,1393.8,-38.14
93.795,553.8,1396.2,-38.15
93.914,551.3,1398.7,-40.34
94.033,548.8,1401.2,-44.98
94.16,546.2,1403.8,-42.68
94.27,543.9,1406.1,-40.06
94.41,541,1409,-39.23
94.506,539,1411,-39.01
94.624,536.6,1413.4,NA
94.742,534.1,1415.9,-41.26
94.86,531.7,1418.3,-40.5
94.978,529.2,1420.8,-40.39
95.12,526.3,1423.7,-39.37
95.214,524.4,1425.6,-39.59
95.332,521.9,1428.1,-41.18
95.45,519.5,1430.5,-40.94
95.568,517,1433,-39.59
95.686,514.6,1435.4,-38.47
95.8,512.2,1437.8,-39.25
95.922,509.7,1440.3,-40.75
96.04,507.2,1442.8,-41.36
96.158,504.8,1445.2,-40.15
96.276,502.3,1447.7,-39.74
96.394,499.9,1450.1,-39.67
96.512,497.4,1452.6,-38.92
96.63,495,1455,-39.4
96.747,492.6,1457.4,-39.06
96.875,489.9,1460.1,-38.05
96.981,487.7,1462.3,-37.32
97.098,485.3,1464.7,-36.99
97.215,482.9,1467.1,-38.83
97.332,480.4,1469.6,-41.44
97.449,478,1472,-41.4
97.566,475.6,1474.4,-40.09
97.683,473.1,1476.9,NA
97.8,470.6,1479.4,-40.52
97.9,468.5,1481.5,-40.04
98.034,465.6,1484.4,-39.83
98.151,463.1,1486.9,-39.66
98.268,460.7,1489.3,-38.77
98.385,458.2,1491.8,-37.97
98.502,455.7,1494.3,NA
98.59,453.8,1496.2,-39
98.736,450.7,1499.3,-38.73
98.853,448.2,1501.8,-39.95
98.97,445.7,1504.3,-39.58
99.08,443.4,1506.6,-39.31
99.204,440.7,1509.3,-37.77
99.321,438.2,1511.8,NA
99.438,435.7,1514.3,-39.69
99.555,433.2,1516.8,-40.2
99.672,430.7,1519.3,-39.68
99.788,428.3,1521.7,-37.59
99.904,425.8,1524.2,-38.14
100.02,423.3,1526.7,-39.23
100.12,421.2,1528.8,-41.54
100.23,418.9,1531.1,-41.01
100.37,415.9,1534.1,-40.18
100.48,413.5,1536.5,-40.6
100.62,410.6,1539.4,-38.88
100.72,408.5,1541.5,-39.29
100.83,406,1544,-39.75
100.95,403.6,1546.4,-38.73
101.06,401.1,1548.9,-40.9
101.18,398.6,1551.4,-41.81
101.3,396.2,1553.8,-41.74
101.41,393.7,1556.3,-43.85
101.53,391.2,1558.8,-41.07
101.64,388.7,1561.3,-40.69
101.76,386.3,1563.7,-40.25
101.88,383.8,1566.2,-39.64
102,381.1,1568.9,-40
102.11,378.9,1571.1,-39.65
102.22,376.5,1573.5,-37.86
102.34,374,1576,-38.25
102.45,371.6,1578.4,-39.92
102.57,369.1,1580.9,-38.38
102.68,366.7,1583.3,-40.17
102.8,364.2,1585.8,-40.65
102.91,361.8,1588.2,-40.16
103.03,359.3,1590.7,-40.7
103.12,357.3,1592.7,-39.98
103.26,354.4,1595.6,-40.8
103.37,351.9,1598.1,-39.29
103.49,349.4,1600.6,NA
103.6,346.9,1603.1,-39.1
103.72,344.5,1605.5,-39.37
103.95,339.5,1610.5,-41.36
104.06,337,1613,-40.22
104.18,334.5,1615.5,-43.28
104.29,332.1,1617.9,-43.04
104.41,329.6,1620.4,-40.37
104.52,327.1,1622.9,-39.6
104.64,324.6,1625.4,-39.42
104.75,322.1,1627.9,-38.9
104.86,319.7,1630.3,-40.13
104.98,317.2,1632.8,-40.48
105.12,314.2,1635.8,NA
105.21,312.3,1637.7,-39.49
105.32,309.9,1640.1,-40.71
105.43,307.4,1642.6,-40.93
105.55,304.9,1645.1,-40.18
105.66,302.5,1647.5,-40.44
105.78,300,1650,-40.68
105.89,297.6,1652.4,-39.2
106,295.1,1654.9,-39.47
106.12,292.6,1657.4,NA
106.23,290.2,1659.8,-39.78
106.37,287.2,1662.8,NA
106.57,282.8,1667.2,-39.18
106.69,280.4,1669.6,-39.04
106.8,277.9,1672.1,-39.83
106.92,275.5,1674.5,-39.83
107.03,273,1677,-41.31
107.12,271.1,1678.9,-42.62
107.26,268.1,1681.9,-39.54
107.37,265.6,1684.4,-39.88
107.49,263.2,1686.8,-41.11
107.6,260.7,1689.3,-41.27
107.71,258.3,1691.7,-41.22
107.83,255.8,1694.2,-41.5
107.94,253.3,1696.7,-40.1
108.06,250.9,1699.1,-40.62
108.17,248.4,1701.6,-42.22
108.28,246,1704,NA
108.4,243.6,1706.4,-41.53
108.51,241.1,1708.9,-40.52
108.62,238.7,1711.3,-42.05
108.74,236.2,1713.8,-42.44
108.85,233.7,1716.3,-40.64
108.96,231.2,1718.8,-38.63
109.07,228.7,1721.3,-40.63
109.19,226.2,1723.8,-41.41
109.28,224.1,1725.9,-40.03
109.41,221.2,1728.8,-39.12
109.53,218.7,1731.3,NA
109.64,216.1,1733.9,-40.96
109.75,213.6,1736.4,-40.99
109.87,211.1,1738.9,-39.89
109.98,208.6,1741.4,-40.09
110.12,205.5,1744.5,-39.89
110.21,203.4,1746.6,NA
110.32,201.1,1748.9,-40.66
110.43,198.6,1751.4,-38.03
110.54,196.1,1753.9,NA
110.66,193.6,1756.4,-38.49
110.77,191.1,1758.9,-40.2
110.88,188.6,1761.4,-41.31
111,186.1,1763.9,-41.49
111.12,183.3,1766.7,-39.96
111.22,181.1,1768.9,NA
111.33,178.6,1771.4,-41.57
111.44,176.1,1773.9,-41.72
111.56,173.7,1776.3,-40.28
111.67,171.2,1778.8,-39.92
111.78,168.7,1781.3,-38.31
111.89,166.2,1783.8,-38.71
111.99,164.1,1785.9,-40.51
112.12,161.2,1788.8,-41.46
112.23,158.8,1791.2,-41.56
112.34,156.3,1793.7,-40.08
112.45,153.8,1796.2,NA
112.56,151.3,1798.7,-39.79
112.68,148.8,1801.2,-40.39
112.79,146.3,1803.7,-41.02
112.9,143.9,1806.1,-39.84
113.01,141.4,1808.6,-39.47
113.12,139,1811,-38.59
113.24,136.4,1813.6,-38.51
113.35,133.9,1816.1,NA
113.46,131.4,1818.6,-41.3
113.57,129,1821,NA
113.68,126.5,1823.5,-42.61
113.8,124,1826,-40.73
113.91,121.5,1828.5,-39.61
114.02,119,1831,-39.83
114.12,116.8,1833.2,-39.73
114.24,114,1836,NA
114.36,111.5,1838.5,-39.66
114.47,109,1841,-39.93
114.58,106.5,1843.5,-39.91
114.69,103.9,1846.1,-40.12
114.8,101.4,1848.6,-41.1
114.92,98.9,1851.1,-40.42
115.03,96.4,1853.6,-39.67
115.12,94.3,1855.7,-40.38
115.21,92.1,1857.9,-41.37
115.36,88.9,1861.1,NA
115.47,86.4,1863.6,-40.51
115.58,83.9,1866.1,-38.76
115.69,81.4,1868.6,-38.56
115.8,78.9,1871.1,-38.73
115.92,76.4,1873.6,-39.24
116.03,73.9,1876.1,-39.7
116.12,71.8,1878.2,-39.87
116.25,68.9,1881.1,-41.8
116.36,66.4,1883.6,NA
116.47,63.9,1886.1,-42.54
116.58,61.4,1888.6,-39.06
116.69,58.9,1891.1,-37.57
116.8,56.4,1893.6,-38.35
116.91,53.9,1896.1,-39.94
117.03,51.4,1898.6,-41.44
117.12,49.2,1900.8,-41.13
117.25,46.4,1903.6,NA
117.36,43.9,1906.1,-40.99
117.47,41.4,1908.6,-40.46
117.58,38.9,1911.1,-39.04
117.69,36.4,1913.6,-37.06
117.8,33.9,1916.1,-36.55
117.91,31.4,1918.6,-37.25
118.02,28.8,1921.2,-39.8
118.12,26.7,1923.3,-41.19
118.25,23.8,1926.2,-39.11
118.36,21.3,1928.7,-40.61
118.47,18.8,1931.2,-41.3
118.58,16.3,1933.7,-41.12
118.69,13.8,1936.2,-41.27
118.8,11.3,1938.7,-40.09
118.91,8.8,1941.2,-38.68
119.02,6.3,1943.7,-40.33
119.12,4.2,1945.8,-39.99
119.25,1.3,1948.7,-39.1
119.36,-1.2,1951.2,-39.51
119.49,-4.2,1954.2,-38.79
119.58,-6.1,1956.1,-38.89
119.69,-8.6,1958.6,-39.05
119.8,-11.1,1961.1,-38.26
119.91,-13.6,1963.6,-38.43
120.02,-16.2,1966.2,-40.5
120.12,-18.5,1968.5,-39.53
120.21,-20.7,1970.7,NA
120.35,-23.7,1973.7,-40.06
120.46,-26.2,1976.2,-39.61
