age (BP),temperature (degC),TEX86 (missing),BIT (missing)
26956,21.8,0.639,0.14
27236,21.8,0.639,0.14
27594,21.9,0.64,0.12
28009,22.5,0.657,0.14
28027,22.1,0.659,0.13
28462,22.1,0.645,0.13
28549,22.4,0.665,0.13
28934,22.2,0.649,0.15
29159,22.2,0.661,0.13
29404,22.7,0.661,0.12
29507,22.3,0.664,0.12
29855,22.5,0.669,0.13
29855,22.5,0.656,0.12
30203,22.3,0.664,0.12
30281,22.5,0.657,0.13
30552,22.4,0.667,0.12
30683,22.5,0.657,0.11
30900,22.8,0.677,0.12
31065,22.6,0.658,0.11
31248,22.6,0.672,0.11
31429,22.4,0.653,0.11
31596,22.6,0.672,0.12
31945,22.7,0.674,0.14
32293,23.1,0.683,0.15
32380,23,0.682,0.16
32641,22.8,0.676,0.14
32815,22.5,0.67,0.11
33337,22.7,0.675,0.14
33686,22.7,0.673,0.14
34034,22.8,0.676,0.14
34382,22.4,0.667,0.13
34904,22.8,0.677,0.14
35427,23,0.681,0.14
35819,22.9,0.68,0.12
36254,23.1,0.685,0.12
36776,23.1,0.683,0.13
37212,22.9,0.679,0.14
37560,22.6,0.672,0.15
37908,22.7,0.673,0.15
38256,22.8,0.676,0.15
38605,22.9,0.679,0.15
38953,23,0.682,0.14
39301,22.8,0.676,0.15
39649,22.3,0.663,0.16
39997,22,0.655,0.17
40346,22.2,0.661,0.2
40694,22,0.657,0.24
41042,22.2,0.662,0.22
41390,22.4,0.666,0.2
41739,22.5,0.669,0.2
42087,22.6,0.672,0.19
42435,22.7,0.675,0.18
42783,22.7,0.674,0.15
43131,22.9,0.678,0.14
43480,22.5,0.669,0.16
43828,22.2,0.66,0.17
44176,22.2,0.661,0.15
44524,22.4,0.665,0.12
44872,23,0.681,0.12
45221,22.6,0.672,0.14
45569,23.2,0.687,0.16
45917,24,0.708,0.23
46265,23.4,0.691,0.22
46614,22.9,0.678,0.17
46962,22.8,0.677,0.21
47310,22.8,0.676,0.21
47658,22.5,0.67,0.19
48006,22.6,0.671,0.19
48355,22.9,0.678,0.19
48703,23.3,0.689,0.2
49007,23,0.682,0.2
49355,23,0.682,0.18
49704,23,0.681,0.16
50052,23.2,0.686,0.17
50400,23.7,0.699,0.17
50748,23.8,0.701,0.18
51096,24.2,0.712,0.19
51445,24.3,0.714,0.15
51793,23.7,0.7,0.15
52141,23.5,0.695,0.12
52489,22.5,0.668,0.1
52837,23.6,0.696,0.15
53186,23.6,0.697,0.14
53534,25.7,0.75,0.22
53882,23.7,0.699,0.13
54230,23.8,0.701,0.11
54579,24.2,0.712,0.19
54927,24.7,0.725,0.14
55275,24.7,0.725,0.17
55623,24.8,0.727,0.14
55971,24.5,0.72,0.16
56320,25,0.732,0.12
56668,23.9,0.705,0.12
57016,26.2,0.764,0.26
57364,25.8,0.753,0.22
57712,25,0.733,0.21
58061,23.7,0.7,0.1
58409,25.2,0.738,0.12
58757,24.8,0.728,0.08
59105,25.1,0.736,0.09
59454,25,0.733,0.13
