depth (m),age (BP),temperature (degC),Bag (missing),dD (permil)
44,837.1,1.17,81,-389
44.55,849.379,1.5,82,-387
45.1,861.97,-1.03,83,-402.3
45.65,875.368,0.59,84,-392.5
46.2,889.092,-1.41,85,-404.6
46.75,903.166,0.92,86,-390.5
47.3,917.332,-1.03,87,-402.3
47.85,931.975,-0.67,88,-400.1
48.4,946.982,-0.55,89,-399.4
48.95,961.227,-0.75,90,-400.6
49.5,975.765,0.38,91,-393.8
50.05,990.158,-0.4,92,-398.5
50.6,1004.54,-0.44,93,-398.7
51.15,1018.785,-0.95,94,-401.8
51.7,1032.381,0.14,95,-395.2
52.25,1046.665,0.99,96,-390.1
52.8,1060.589,0.36,97,-393.9
53.35,1074.796,-0.75,98,-400.6
53.9,1089.077,-0.8,99,-400.9
54.45,1103.705,0.72,100,-391.7
55,1118.16,-0.54,101,-399.3
55.55,1132.652,1.55,102,-386.7
56.1,1146.791,-0.9,103,-401.5
56.65,1160.922,-0.34,104,-398.1
57.2,1174.394,0.93,105,-390.4
57.75,1188.112,1.03,106,-389.8
58.3,1201.498,0.88,107,-390.7
58.85,1215.036,-0.54,108,-399.3
59.4,1229.322,0.58,109,-392.5
59.95,1243.604,0.37,110,-393.8
60.5,1258.222,0.27,111,-394.4
61.05,1272.592,-0.16,112,-397
61.6,1286.98,-0.3,113,-397.8
62.15,1301.709,1.23,114,-388.6
62.7,1315.87,0.22,115,-394.7
63.25,1330.454,0.89,116,-390.6
63.8,1344.709,-0.17,117,-397
64.35,1358.622,1.55,118,-386.6
64.9,1372.616,0.89,119,-390.6
65.45,1386.615,-0.17,120,-397
66,1400.621,-0.02,121,-396.1
66.55,1415.921,-0.48,122,-398.9
67.1,1431.901,-0.7,123,-400.2
67.65,1447.89,-0.45,124,-398.7
68.2,1463.269,1.04,125,-389.7
68.75,1478.735,-0.93,126,-401.6
69.3,1494.216,-0.32,127,-397.9
69.85,1509.678,-0.54,128,-399.2
70.4,1525.086,-0.27,129,-397.6
70.95,1540.512,0.9,130,-390.5
71.5,1556.338,-0.92,131,-401.5
72.05,1571.987,0.04,132,-395.7
72.6,1588.016,0.24,133,-394.5
73.15,1604.083,-1.15,134,-402.9
73.7,1620.58,-0.84,135,-401
74.25,1637.107,0.73,136,-391.5
74.8,1654.015,-1.24,137,-403.4
75.35,1670.179,0.42,138,-393.4
75.9,1686.017,0.35,139,-393.8
76.45,1702.253,-0.81,140,-400.8
77,1719.768,-0.56,141,-399.3
77.55,1736.975,-0.11,142,-396.6
78.1,1754.169,0.1,143,-395.3
78.65,1770.601,0.55,144,-392.6
79.2,1787.402,-1.41,145,-404.4
79.75,1804.231,0.25,146,-394.4
80.3,1821.974,-1.04,147,-402.2
80.85,1839.345,-0.99,148,-401.9
81.4,1856.498,0.35,149,-393.8
81.95,1872.567,-1.06,150,-402.3
82.5,1888.988,1.79,151,-385.1
83.05,1905.459,0,152,-395.9
83.6,1922.012,0.01,153,-395.8
84.15,1938.209,-0.38,154,-398.2
84.7,1955.514,0.18,155,-394.8
85.25,1972.756,-0.3,156,-397.7
85.8,1990.003,-0.73,157,-400.3
86.35,2007.352,-1.08,158,-402.4
86.9,2025.239,-0.02,159,-396
87.45,2043.511,-0.92,160,-401.4
88,2060.986,1.62,161,-386.1
88.55,2078.099,-0.7,162,-400.1
89.1,2095.215,-0.74,163,-400.3
89.65,2112.528,0.44,164,-393.2
90.2,2129.749,-0.64,165,-399.7
90.75,2147.341,-0.34,166,-397.9
91.3,2165.321,-1.02,167,-402
91.85,2183.995,-0.48,168,-398.7
92.4,2202.293,-0.46,169,-398.6
92.95,2219.394,NA,170,0.2
93.5,2236.565,0.86,171,-390.6
94.05,2253.389,0.3,172,-394
94.6,2270.874,-0.35,173,-397.9
95.15,2288.776,0.17,174,-394.8
95.7,2306.324,-2.05,175,-408.2
96.25,2326.606,-1.41,176,-404.3
96.8,2346.902,-0.63,177,-399.6
97.35,2366.625,-0.83,178,-400.8
97.9,2385.384,-0.94,179,-401.5
98.45,2404.538,-1.97,180,-407.7
99,2423.8,-0.78,181,-400.5
99.55,2443.08,0,182,-395.8
100.1,2462.515,-0.65,183,-399.7
100.65,2480.891,-0.63,184,-399.6
101.2,2499.647,0.16,185,-394.8
101.75,2517.802,-0.45,186,-398.5
102.3,2535.124,0.92,187,-390.2
102.85,2552.804,-0.11,188,-396.4
103.4,2570.839,0.51,189,-392.7
103.95,2589.019,-0.77,190,-400.4
104.5,2607.203,0.37,191,-393.5
105.05,2624.539,0.85,192,-390.6
105.6,2641.805,0.09,193,-395.2
106.15,2659.103,-0.19,194,-396.9
106.7,2678.042,-0.56,195,-399.1
107.25,2696.614,-0.2,196,-396.9
107.8,2714.85,-0.88,197,-401
108.35,2732.721,1.29,198,-387.9
108.9,2750.245,0.89,199,-390.3
109.45,2767.453,0.81,200,-390.8
110,2784.28,0.91,201,-390.2
110.55,2801.447,0.01,202,-395.6
111.1,2818.387,1.32,203,-387.7
111.65,2835.102,1.12,204,-388.9
112.2,2851.82,1.12,205,-388.9
112.75,2869.817,0.04,206,-395.4
113.3,2888.012,-0.64,207,-399.5
113.85,2906.21,-1,208,-401.7
114.4,2924.224,0.57,209,-392.2
114.95,2942.897,0.29,210,-393.9
115.5,2961.214,-0.34,211,-397.7
116.05,2980.448,-0.91,212,-401.1
116.6,2999.694,-0.01,213,-395.7
117.15,3018.715,-0.51,214,-398.7
117.7,3037.352,0.1,215,-395
118.25,3055.993,0.15,216,-394.7
118.8,3074.135,-0.03,217,-395.8
119.35,3092.036,0.63,218,-391.8
119.9,3110.292,NA,219,0.95
120.45,3128.508,1.27,220,-387.9
121,3146.722,-1.46,221,-404.4
121.55,3165.276,-0.91,222,-401.1
122.1,3185.723,-1.3,223,-403.4
122.65,3206.566,0.62,224,-391.8
123.2,3226.769,-0.82,225,-400.5
123.75,3246.863,-1.76,226,-406.2
124.3,3267.211,0.47,227,-392.7
124.85,3286.707,-0.74,228,-400
125.4,3306.581,-1.05,229,-401.9
125.95,3325.904,0.7,230,-391.3
126.5,3345.503,-0.71,231,-399.8
127.05,3365.148,-1.44,232,-404.2
127.6,3385.11,-0.01,233,-395.6
128.15,3405.459,-0.28,234,-397.2
128.7,3425.45,-0.44,235,-398.2
129.25,3445.16,-0.18,236,-396.6
129.8,3464.873,-0.02,237,-395.6
130.35,3483.792,0.46,238,-392.7
130.9,3503.073,-1.04,239,-401.8
131.45,3522.051,1.35,240,-387.3
132,3540.562,0.15,241,-394.6
132.55,3559.076,-0.29,242,-397.2
133.1,3578.328,0.16,243,-394.5
133.65,3598.295,-0.67,244,-399.5
134.2,3617.722,0.92,245,-389.9
134.75,3635.787,0.77,246,-390.8
135.3,3653.854,0.17,247,-394.4
135.85,3672.001,0.62,248,-391.7
136.4,3690.646,1.03,249,-389.2
136.95,3708.947,-1.02,250,-401.6
137.5,3727.1,1.36,251,-387.2
138.05,3745.501,1.26,252,-387.8
138.6,3763.564,-1.57,253,-404.9
139.15,3782.986,1.07,254,-388.9
139.7,3802.25,0.08,255,-394.9
140.25,3821.604,0.26,256,-393.8
140.8,3841.621,-0.7,257,-399.6
141.35,3861.27,-0.92,258,-400.9
141.9,3880.948,0.72,259,-391
142.45,3900.479,-0.12,260,-396.1
143,3919.724,-0.52,261,-398.5
143.55,3939.896,-0.19,262,-396.5
144.1,3960.071,-0.41,263,-397.8
144.65,3979.642,0.4,264,-392.9
145.2,3999.417,-0.56,265,-398.7
145.75,4019.159,-0.59,266,-398.9
146.3,4037.861,0.78,267,-390.6
146.85,4056.917,0.81,268,-390.4
147.4,4076.092,-1.16,269,-402.3
147.95,4095.427,0.89,270,-389.9
148.5,4114.763,0.82,271,-390.3
149.05,4134.007,-0.59,272,-398.8
149.6,4153.678,-0.42,273,-397.8
150.15,4173.315,0.06,274,-394.9
150.7,4192.838,0.5,275,-392.2
151.25,4212.362,-1.57,276,-404.7
151.8,4231.442,0.67,277,-391.2
152.35,4250.306,1.31,278,-387.3
152.9,4269.17,-0.2,279,-396.4
153.45,4288.055,1.36,280,-387
154,4306.934,-0.48,281,-398.1
154.55,4326.362,-1.03,282,-401.4
155.1,4346.736,0,283,-395.2
155.65,4367.111,0.29,284,-393.4
156.2,4386.609,0.04,285,-394.9
156.75,4406.006,-0.32,286,-397.1
157.3,4425.512,-0.9,287,-400.6
157.85,4445.251,0.35,288,-393
158.4,4464.991,1.33,289,-387.1
158.95,4483.777,-0.39,290,-397.5
159.5,4502.652,0.78,291,-390.4
160.05,4521.394,-0.7,292,-399.3
160.6,4541.826,-0.4,293,-397.5
161.15,4562.258,-0.8,294,-399.9
161.7,4582.216,0.01,295,-395
162.25,4601.929,0.16,296,-394.1
162.8,4621.992,0.27,297,-393.4
163.35,4641.607,-0.56,298,-398.4
163.9,4661.221,-0.01,299,-395.1
164.45,4680.946,-0.16,300,-396
165,4701.1,-0.38,301,-397.3
165.55,4720.873,0.94,302,-389.3
166.1,4740.54,-0.76,303,-399.6
166.65,4760.207,-1.21,304,-402.3
167.2,4780.676,-0.28,305,-396.7
167.75,4801.075,-0.37,306,-397.2
168.3,4821.48,-1.16,307,-402
168.85,4842.293,-0.32,308,-396.9
169.4,4862.727,0.67,309,-390.9
169.95,4882.106,0.25,310,-393.4
170.5,4901.399,-0.16,311,-395.9
171.05,4920.326,-0.03,312,-395.1
171.6,4939.111,0.37,313,-392.7
172.15,4958.241,0.98,314,-389
172.7,4977.558,-0.5,315,-397.9
173.25,4997.412,-0.66,316,-398.9
173.8,5017.631,-0.32,317,-396.8
174.35,5037.277,-0.29,318,-396.6
174.9,5056.921,0.36,319,-392.7
175.45,5077.156,-0.95,320,-400.6
176,5097.243,-0.24,321,-396.3
176.55,5117.656,-0.13,322,-395.6
177.1,5136.657,0.25,323,-393.3
177.65,5156.005,0.56,324,-391.4
178.2,5174.819,0.58,325,-391.3
178.75,5193.4,0.26,326,-393.2
179.3,5212.324,-0.47,327,-397.6
179.85,5232.356,-0.17,328,-395.8
180.4,5253.081,-1.38,329,-403.1
180.95,5273.035,-0.26,330,-396.3
181.5,5292.755,0.69,331,-390.6
182.05,5312.113,-0.21,332,-396
182.6,5331.513,0.68,333,-390.6
183.15,5350.516,-0.26,334,-396.3
183.7,5369.942,0.03,335,-394.5
184.25,5389.178,0.54,336,-391.4
184.8,5408.76,-2.14,337,-407.6
185.35,5430.221,-1.08,338,-401.2
185.9,5452.77,-1.28,339,-402.4
186.45,5474.107,-0.06,340,-395
187,5495.144,-1.3,341,-402.5
187.55,5516.07,-2.19,342,-407.9
188.1,5538.563,-0.82,343,-399.6
188.65,5560.643,0,344,-394.6
189.2,5579.525,1.23,345,-387.2
189.75,5597.934,-0.26,346,-396.2
190.3,5617.146,0.1,347,-394
190.85,5636.844,-0.75,348,-399.1
191.4,5656.902,-0.1,349,-395.2
191.95,5676.678,-0.24,350,-396
192.5,5696.823,-0.97,351,-400.4
193.05,5716.833,0.57,352,-391.1
193.6,5736.292,-0.77,353,-399.2
194.15,5756.107,1.38,354,-386.2
194.7,5774.459,-0.72,355,-398.9
195.25,5793.031,0.91,356,-389
195.8,5811.417,1.01,357,-388.4
196.35,5830.548,-0.98,358,-400.4
196.9,5849.675,0.29,359,-392.7
197.45,5868.105,0.57,360,-391
198,5886.717,0.32,361,-392.5
198.55,5905.143,-0.54,362,-397.7
199.1,5925.825,-0.89,363,-399.8
199.65,5946.126,-0.71,364,-398.7
200.2,5967.268,-1.54,365,-403.7
200.75,5988.593,-0.5,366,-397.4
201.3,6008.73,0.45,367,-391.7
201.85,6027.923,-0.02,368,-394.5
202.4,6047.112,-0.4,369,-396.8
202.95,6066.766,-0.8,370,-399.2
203.5,6086.927,0.06,371,-394
204.05,6106.673,0.49,372,-391.4
204.6,6126.715,-1.52,373,-403.5
205.15,6146.752,0.8,374,-389.5
205.7,6165.996,-0.93,375,-399.9
206.25,6185.563,-0.51,376,-397.4
206.8,6205.325,-0.71,377,-398.6
207.35,6224.922,0.03,378,-394.1
207.9,6244.906,-0.68,379,-398.4
208.45,6265.253,-1.23,380,-401.7
209,6285.964,0.27,381,-392.6
209.55,6306.179,-0.19,382,-395.4
210.1,6325.781,-1.3,383,-402.1
210.65,6346.055,-1.55,384,-403.6
211.2,6367.222,-0.38,385,-396.5
211.75,6387.994,-1.37,386,-402.5
212.3,6409.055,-0.76,387,-398.8
212.85,6430.11,-0.47,388,-397
213.4,6449.436,0.79,389,-389.4
213.95,6468.301,-0.14,390,-395
214.5,6487.409,-1.78,391,-404.9
215.05,6508.777,-1.34,392,-402.2
215.6,6530.536,0.81,393,-389.2
216.15,6550.478,-0.48,394,-397
216.7,6569.661,-1.27,395,-401.8
217.25,6590.108,-0.71,396,-398.4
217.8,6611.98,-2.27,397,-407.8
218.35,6633.312,-0.22,398,-395.4
218.9,6654.399,-1.5,399,-403.1
219.45,6675.473,-2,400,-406.1
220,6695.098,0.6,401,-390.4
220.55,6714.927,0.23,402,-392.6
221.1,6734.951,-0.28,403,-395.7
221.65,6754.851,-1.47,404,-402.9
222.2,6775.199,-1.31,405,-401.9
222.75,6796.665,-1.2,406,-401.2
223.3,6817.734,-1.07,407,-400.4
223.85,6837.809,-0.59,408,-397.5
224.4,6857.564,0.75,409,-389.4
224.95,6876.753,-0.25,410,-395.4
225.5,6894.729,0.99,411,-387.9
226.05,6913.035,-0.73,412,-398.3
226.6,6933.197,-0.8,413,-398.7
227.15,6953.438,-1.23,414,-401.3
227.7,6973.751,-0.49,415,-396.8
228.25,6993.716,-0.29,416,-395.6
228.8,7013.38,-1.44,417,-402.5
229.35,7034.458,-0.94,418,-399.5
229.9,7055.522,-0.66,419,-397.8
230.45,7076.342,-1.11,420,-400.5
231,7096.716,-1.16,421,-400.8
231.55,7117.577,-0.39,422,-396.1
232.1,7138.546,-1.91,423,-405.3
232.65,7159.639,-3,424,-411.9
233.2,7183.038,-1.32,425,-401.7
233.75,7206.149,-0.93,426,-399.3
234.3,7227.695,-1.82,427,-404.7
234.85,7248.837,-1.56,428,-403.1
235.4,7270.314,-1.43,429,-402.3
235.95,7291.776,-0.4,430,-396.1
236.5,7311.015,0.88,431,-388.3
237.05,7329.803,-0.81,432,-398.5
237.6,7349.212,-2.1,433,-406.3
238.15,7370.965,-1.04,434,-399.9
238.7,7392.326,-1.84,435,-404.7
239.25,7414.375,-1.69,436,-403.8
239.8,7436.413,-0.24,437,-395
240.35,7457.47,-1.53,438,-402.8
240.9,7477.942,-1.77,439,-404.2
241.45,7498.464,-0.93,440,-399.1
242,7518.735,0.03,441,-393.3
242.55,7538.683,-0.93,442,-399.1
243.1,7557.28,0.7,443,-389.2
243.65,7576.218,-0.71,444,-397.7
244.2,7595.221,0.83,445,-388.4
244.75,7614.238,-1.14,446,-400.3
245.3,7633.496,-1.71,447,-403.7
245.85,7654.581,-0.82,448,-398.3
246.4,7675.593,-0.46,449,-396.1
246.95,7694.809,0.43,450,-390.7
247.5,7713.662,-1.88,451,-404.7
248.05,7733.282,-1.14,452,-400.2
248.6,7753.184,0.79,453,-388.5
249.15,7773.049,0.47,454,-390.4
249.7,7792.454,-2.03,455,-405.5
250.25,7812.204,-1.04,456,-399.5
250.8,7833.152,-1.47,457,-402.1
251.35,7854.24,-1.49,458,-402.2
251.9,7874.221,-0.34,459,-395.2
252.45,7893.619,0.26,460,-391.6
253,7913.121,-0.56,461,-396.5
253.55,7932.947,-1.06,462,-399.5
254.1,7952.77,-1.24,463,-400.6
254.65,7973.729,-1.41,464,-401.6
255.2,7994.785,-1.25,465,-400.6
255.75,8016.255,-2.19,466,-406.3
256.3,8037.899,-0.87,467,-398.3
256.85,8060.009,-3.09,468,-411.7
257.4,8082.524,-1.13,469,-399.8
257.95,8104.102,-0.65,470,-396.9
258.5,8124.476,-1.4,471,-401.4
259.05,8145.289,-2.04,472,-405.3
259.6,8168.224,-2.54,473,-408.3
260.15,8191.036,-2.25,474,-406.5
260.7,8213.107,-1.31,475,-400.8
261.25,8235.146,-1.71,476,-403.2
261.8,8255.947,-0.77,477,-397.5
262.35,8276.735,-1.35,478,-401
262.9,8297.714,-1.43,479,-401.5
263.45,8318.74,-1.26,480,-400.4
264,8339.997,-1.24,481,-400.3
264.55,8361.417,-2.4,482,-407.3
265.1,8383.132,-1.69,483,-403
265.65,8405.271,-1.89,484,-404.2
266.2,8426.941,-1.4,485,-401.2
266.75,8447.562,-0.74,486,-397.2
267.3,8468.137,-0.7,487,-396.9
267.85,8488.254,-0.85,488,-397.8
268.4,8508.367,-2.79,489,-409.5
268.95,8528.882,-0.74,490,-397.1
269.5,8549.509,0.38,491,-390.3
270.05,8569.625,-0.81,492,-397.5
270.6,8589.316,-1.54,493,-401.9
271.15,8608.981,0.02,494,-392.4
271.7,8628.544,-1.22,495,-399.9
272.25,8648.094,-1.13,496,-399.3
272.8,8668.166,-0.7,497,-396.7
273.35,8688.308,-1.6,498,-402.1
273.9,8708.861,-1.55,499,-401.8
274.45,8729.698,-0.84,500,-397.5
275,8750.145,-1.29,501,-400.2
275.55,8769.947,-0.44,502,-395
276.1,8789.864,-2,503,-404.4
276.65,8811.455,-1.62,504,-402.1
277.2,8833.032,-0.93,505,-397.9
277.75,8852.477,-0.19,506,-393.4
278.3,8871.724,-0.9,507,-397.7
278.85,8891.245,-0.86,508,-397.4
279.4,8910.985,-0.86,509,-397.4
279.95,8930.559,-1.13,510,-399
280.5,8949.63,0.05,511,-391.8
281.05,8968.698,-0.1,512,-392.7
281.6,8988.21,-1.49,513,-401.1
282.15,9007.796,-0.67,514,-396.1
282.7,9027.308,-0.94,515,-397.7
283.25,9046.756,-0.59,516,-395.6
283.8,9066.201,-1.09,517,-398.6
284.35,9085.629,-0.49,518,-394.9
284.9,9105.045,-0.49,519,-394.9
285.45,9126.032,-2.56,520,-407.4
286,9147.317,-1.9,521,-403.4
286.55,9167.605,-0.06,522,-392.2
287.1,9187.442,-1.42,523,-400.4
287.65,9206.509,0.11,524,-391.1
288.2,9224.434,0.54,525,-388.5
288.75,9242.356,-0.51,526,-394.8
289.3,9261.826,-0.99,527,-397.7
289.85,9281.494,-1.57,528,-401.2
290.4,9300.673,-0.04,529,-391.9
290.95,9319.492,-0.28,530,-393.3
291.5,9338.296,-0.45,531,-394.3
292.05,9357.027,-0.57,532,-395
292.6,9375.744,-0.14,533,-392.4
293.15,9393.957,-0.33,534,-393.5
293.7,9412,0.24,535,-390
294.25,9429.852,NA,536,0.36
294.8,9447.166,0.48,537,-388.5
295.35,9464.468,-0.48,538,-394.3
295.9,9483.601,-2.02,539,-403.6
296.45,9503.578,-0.33,540,-393.3
297,9523.068,-1.11,541,-398
297.55,9541.807,0.04,542,-391
298.1,9560.53,-0.75,543,-395.8
298.65,9578.318,0.79,544,-386.4
299.2,9596.104,-0.1,545,-391.8
299.75,9614.36,-1.16,546,-398.2
300.3,9633.125,-0.08,547,-391.6
300.85,9651.77,-0.38,548,-393.4
301.4,9669.02,1.11,549,-384.4
301.95,9686.269,-0.04,550,-391.3
302.5,9703.604,0.01,551,-391
303.05,9721.025,0.45,552,-388.3
303.6,9738.434,-0.07,553,-391.4
304.15,9755.054,1.33,554,-382.9
304.7,9771.61,0.62,555,-387.2
305.25,9788.95,-2.4,556,-405.5
305.8,9808.651,-0.13,557,-391.7
306.35,9828.34,-0.2,558,-392.1
306.9,9847.209,-1.57,559,-400.4
307.45,9866.012,0.68,560,-386.7
308,9884.241,-0.61,561,-394.5
308.55,9901.976,0.15,562,-389.9
309.1,9919.736,-0.65,563,-394.7
309.65,9938.544,-0.97,564,-396.6
310.2,9957.351,0.35,565,-388.6
310.75,9975.763,-0.36,566,-392.9
311.3,9993.957,-0.75,567,-395.2
311.85,10011.978,0.26,568,-389.1
312.4,10029.344,0.32,569,-388.7
312.95,10046.71,-0.2,570,-391.8
313.5,10064.607,0.29,571,-388.8
314.05,10082.808,-1.18,572,-397.7
314.6,10100.715,0.02,573,-390.4
315.15,10117.385,1.39,574,-382.1
315.7,10134.055,0.43,575,-387.9
316.25,10151.304,-0.02,576,-390.6
316.8,10169.08,-0.47,577,-393.3
317.35,10186.845,0.38,578,-388.1
317.9,10204.65,-0.2,579,-391.6
318.45,10222.457,-1.08,580,-396.9
319,10240.691,-1.38,581,-398.7
319.55,10259.317,0.61,582,-386.6
320.1,10277.819,-0.07,583,-390.7
320.65,10295.429,-0.15,584,-391.2
321.2,10313.039,0.12,585,-389.5
321.75,10331.285,-1.76,586,-400.9
322.3,10349.966,0.26,587,-388.6
322.85,10368.693,-1.27,588,-397.9
323.4,10387.648,-0.47,589,-393
323.95,10406.604,-0.71,590,-394.4
324.5,10425.666,-1.53,591,-399.4
325.05,10444.745,0.31,592,-388.2
325.6,10462.465,0.53,593,-386.8
326.15,10478.709,1.16,594,-383
326.7,10494.955,0.41,595,-387.5
327.25,10511.008,-0.02,596,-390.1
327.8,10527.011,2.12,597,-377.1
328.35,10543.08,-1.23,598,-397.4
328.9,10561.713,-0.12,599,-390.6
329.45,10580.349,-0.55,600,-393.2
330,10599.094,-0.88,601,-395.2
330.55,10617.908,-0.64,602,-393.7
331.1,10636.506,-0.51,603,-392.9
331.65,10654.52,-0.27,604,-391.4
332.2,10672.535,0.86,605,-384.5
332.75,10690.502,-0.77,606,-394.4
333.3,10708.46,-0.84,607,-394.8
333.85,10726.869,-1.01,608,-395.8
334.4,10746.232,-1.08,609,-396.2
334.95,10765.592,-0.96,610,-395.4
335.5,10784.11,-0.35,611,-391.7
336.05,10802.635,-0.22,612,-390.9
336.6,10820.64,0.25,613,-388
337.15,10838.317,-0.51,614,-392.6
337.7,10856.147,-1.36,615,-397.7
338.25,10875.415,-0.8,616,-394.3
338.8,10894.676,-0.33,617,-391.4
339.35,10912.886,0.28,618,-387.7
339.9,10930.782,-0.96,619,-395.2
340.45,10949.215,-1.81,620,-400.3
341,10968.908,-0.66,621,-393.3
341.55,10988.587,-0.12,622,-390
342.1,11006.157,-0.27,623,-390.9
342.65,11023.733,0.3,624,-387.4
343.2,11041.708,-0.08,625,-389.7
343.75,11060.092,-1.45,626,-398
344.3,11078.519,-1.14,627,-396.1
344.85,11097.59,-0.47,628,-392
345.4,11116.669,-1.41,629,-397.7
345.95,11136.475,-1.62,630,-398.9
346.5,11156.549,-0.93,631,-394.7
347.05,11175.188,0.37,632,-386.8
347.6,11192.282,0.53,633,-385.8
348.15,11209.384,0.18,634,-387.9
348.7,11227.602,-0.29,635,-390.7
349.25,11245.94,-2.15,636,-402
349.8,11264.552,-0.61,637,-392.6
350.35,11283.459,-0.32,638,-390.8
350.9,11302.133,-0.95,639,-394.6
351.45,11318.944,1.29,640,-381
352,11335.752,1.11,641,-382.1
352.55,11353.606,-1.77,642,-399.5
353.1,11372.53,-0.78,643,-393.5
353.65,11391.527,-1.59,644,-398.4
354.2,11410.99,-0.77,645,-393.4
354.75,11430.447,-0.37,646,-390.9
355.3,11448.091,0.42,647,-386.1
355.85,11465.341,0.14,648,-387.8
356.4,11482.491,0.79,649,-383.8
356.95,11499.338,0.28,650,-386.9
357.5,11516.182,-0.73,651,-393
358.05,11534.642,-1.33,652,-396.6
358.6,11554.009,-0.92,653,-394.1
359.15,11573.423,-1.16,654,-395.5
359.7,11592.935,-1.15,655,-395.4
360.25,11612.443,-0.19,656,-389.6
360.8,11630.785,-1.05,657,-394.8
361.35,11649.129,0.01,658,-388.3
361.9,11667.362,-1.06,659,-394.8
362.45,11685.518,0.07,660,-387.9
363,11703.75,-1.29,661,-396.1
363.55,11722.744,-0.5,662,-391.3
364.1,11741.746,-0.88,663,-393.6
364.65,11760.407,0.07,664,-387.8
365.2,11778.953,-1.3,665,-396.1
365.75,11798.464,-2.48,666,-403.2
366.3,11819.948,-1.85,667,-399.4
366.85,11841.397,-2.09,668,-400.8
367.4,11862.678,-1.86,669,-399.4
367.95,11883.957,-2.11,670,-400.9
368.5,11905.272,-1.84,671,-399.2
369.05,11926.599,-2.78,672,-404.9
369.6,11949.412,-2.64,673,-404
370.15,11972.286,-1.69,674,-398.2
370.7,11993.394,-1.99,675,-400
371.25,12014.433,-1.96,676,-399.8
371.8,12036.727,-3.02,677,-406.2
372.35,12059.301,-2.57,678,-403.5
372.9,12082.49,-2.91,679,-405.5
373.45,12105.833,-4.44,680,-414.8
374,12130.86,-3.03,681,-406.2
374.55,12156.14,-2.97,682,-405.8
375.1,12180.584,-3.81,683,-410.9
375.65,12204.702,-2.63,684,-403.7
376.2,12227.249,-2.12,685,-400.6
376.75,12249.934,-3.61,686,-409.6
377.3,12273.403,-2.23,687,-401.2
377.85,12297.452,-4.23,688,-413.3
378.4,12323.701,-4.4,689,-414.3
378.95,12349.848,-3.49,690,-408.8
379.5,12375.889,-4.91,691,-417.4
380.05,12401.689,-3.17,692,-406.8
380.6,12427.385,-2.76,693,-404.3
381.15,12452.193,-4.1,694,-412.4
381.7,12477.011,-4.14,695,-412.6
382.25,12503.212,-3.86,696,-410.9
382.8,12530.31,-5.5,697,-420.8
383.35,12559.377,-4.91,698,-417.2
383.9,12588.393,-5.17,699,-418.8
