thisShouldntBeEmpty (),d18O (permil),year (AD),d18O ()
-36.39,-32.15,1609,-28.64
-34.03,-32.62,1608,-30.23
-37.32,-34.05,1607,-32.01
-36.05,-34.21,1606,-31.48
-40.1,-34.96,1605,-31.11
-37.07,-36.06,1604,-32.83
-36.4,-33.45,1603,-31
-39.2,-33.33,1602,-28.82
-34,-34.52,1601,-32.4
-37.32,-33.1,1600,-30.9
-37.52,-36.47,1599,-35.06
-40.55,-36.34,1598,-33.11
-35.63,-34.69,1597,-32.2
-37.73,-35.54,1596,-33.8
-36.66,-35.12,1595,-33.05
-36.85,-34.16,1594,-31.79
-39.65,-35.38,1593,-31.88
-36.05,-35.25,1592,-32.74
-37.22,-33.24,1591,-30.4
-34.9,-32.88,1590,-29.78
-37.18,-33.79,1589,-31.77
-36.64,-34.46,1588,-31.68
-33.52,-32.7,1587,-30.71
-35.01,-32.87,1586,-31.57
-35.36,-32.78,1585,-30.47
-39.4,-35.55,1584,-32.57
-37.2,-34.52,1583,-31.6
-34.84,-35.17,1582,-34.26
-35.39,-33.67,1581,-32.14
-36.87,-33.56,1580,-30.91
-38.06,-33.75,1579,-30.05
-34.6,-33.95,1578,-32.11
-37.58,-34.41,1577,-32.62
-38.96,-36,1576,-33.58
-37.79,-33.73,1575,-29.17
-36.98,-33.04,1574,-28.55
-34.11,-32.66,1573,-30.47
-38.1,-32.91,1572,-29.13
-35.96,-33.9,1571,-31.45
-33.32,-32.73,1570,-30.74
-33.55,-32.38,1569,-31.41
-40.38,-34.91,1568,-31.51
-34.99,-35.26,1567,-33.17
-37.79,-34.8,1566,-32.93
-34.59,-34.77,1565,-33.31
-36.95,-34.99,1564,-33.9
-36.64,-33.34,1563,-29.82
-34.25,-33.88,1562,-32.34
-40.66,-36.78,1561,-34.17
-38.27,-35.72,1560,-32.34
-35.73,-34.59,1559,-32.46
-37.17,-32.97,1558,-29.27
-35.18,-32.82,1557,-29.66
-36.58,-34.01,1556,-31.97
-36.44,-35.56,1555,-33.75
-37.65,-33.75,1554,-31.23
-36.15,-33.76,1553,-30.65
-33.67,-34.04,1552,-33.21
-36.05,-32.8,1551,-30.66
-34.97,-32.91,1550,-29.5
-34.29,-33.08,1549,-32.23
-35.97,-32.93,1548,-30.79
-36.86,-32.82,1547,-28.07
-36.57,-35.21,1546,-33.97
-37.59,-34.24,1545,-31.35
-36.32,-34.56,1544,-32.89
-38.41,-34.19,1543,-29.89
-36.57,-35.02,1542,-32.53
-37.25,-33.08,1541,-29.29
-36.88,-34.46,1540,-32.27
-35.17,-36.04,1539,-35.36
-35.16,-31.95,1538,-29.16
-35.88,-33.72,1537,-31.94
-39.9,-34.97,1536,-31.69
-37.52,-36.17,1535,-33.22
-35.57,-32.31,1534,-29.01
-36.34,-34.25,1533,-32.22
-34.18,-33.27,1532,-31.96
-36.88,-33.71,1531,-30.73
-34.69,-32.29,1530,-29.75
-38.25,-35.3,1529,-33.19
-35.82,-35.32,1528,-34.1
-35.07,-32.78,1527,-30.39
-40.01,-36.11,1526,-34.71
-36.14,-34.74,1525,-30.22
-35.6,-33.78,1524,-32.62
-34.18,-32.85,1523,-31.48
-35.88,-34.12,1522,-32.84
-34.03,-34.51,1521,-33.67
-35.56,-32.25,1520,-29.98
-37.59,-34.48,1519,-32.19
-37.23,-34.94,1518,-32.24
-35.32,-34.05,1517,-32.46
-36.84,-35.11,1516,-33.37
-34.94,-33.07,1515,-30.15
-37.47,-32.5,1514,-29.35
-38.1,-35.75,1513,-33.15
-36.64,-34.18,1512,-31.5
-39.16,-34.45,1511,-30.98
-35.32,-33.27,1510,-29.66
-36.48,-33.18,1509,-30.75
-35.49,-34.31,1508,-32.54
-35.7,-33.47,1507,-30.97
-37.12,-34.68,1506,-32.65
-37.19,-33.39,1505,-29.15
-36.33,-33.84,1504,-31.04
-38.39,-34.93,1503,-32.62
-37.19,-36.01,1502,-33.55
-35.64,-33.52,1501,-31.11
-38.27,-34.92,1500,-32.18
-35.62,-34.21,1499,-31.52
-39.23,-33.51,1498,-29.53
-35.3,-34.44,1497,-31.88
-34.71,-32.58,1496,-30.47
-36.41,-33.73,1495,-31.5
-35.57,-33.51,1494,-31.01
-36.84,-32.82,1493,-29.22
-38.05,-32.44,1492,-27.93
-36.08,-34.37,1491,-31.54
-35.36,-34.42,1490,-32.34
-35.53,-33.69,1489,-32.59
-37.25,-34.37,1488,-31.51
-36.95,-34.31,1487,-31.89
-38.16,-34.74,1486,-31.54
-37.85,-34.34,1485,-31.03
-36,-34.22,1484,-31.85
-38.52,-34.33,1483,-31.05
-37.9,-34.74,1482,-31.04
-36.51,-35.76,1481,-34.3
-36.1,-34.53,1480,-32.72
-36,-32.78,1479,-29.73
-36.09,-34.51,1478,-32.88
-37.69,-33.84,1477,-30.77
-36.32,-35.14,1476,-33.54
-36.16,-35.84,1475,-34.87
-38.97,-33.74,1474,-30.23
-38.86,-34.8,1473,-31.01
-37.31,-34.63,1472,-31.4
-40.24,-35.98,1471,-32.44
-37.23,-36.56,1470,-34.17
-34.26,-34.3,1469,-32.97
-38.86,-34.4,1468,-31.36
-37.78,-33.45,1467,-29.17
-37.5,-32.89,1466,-27.55
-36.38,-34.32,1465,-31.8
-35.53,-32.42,1464,-29.22
-37.92,-34.86,1463,-33.41
-35.9,-33.8,1462,-30.18
-39.53,-34.5,1461,-31.95
-38.06,-36.17,1460,-33.75
-38.14,-34.85,1459,-31.05
-34.22,-32.4,1458,-30.05
-33.84,-31.03,1457,-27.85
-34.73,-31.63,1456,-29.41
-39.63,-33.01,1455,-28.52
-35.98,-34.78,1454,-31.79
-37.22,-34.48,1453,-31.78
-37.53,-31.45,1452,-25.96
-36.57,-33.3,1451,-29.4
-36.17,-33.01,1450,-30.13
-35.83,-34.6,1449,-33.29
-37.98,-34.92,1448,-32.86
-37.82,-36.18,1447,-34.15
-35.75,-35.28,1446,-33.94
-35.7,-35.55,1445,-34.75
-37.71,-34.11,1444,-31.76
-36.49,-33.74,1443,-30.94
-38.98,-35.51,1442,-33.54
-39.74,-34.2,1441,-28.45
-38.32,-33.66,1440,-29.09
-35.09,-34.83,1439,-33.25
-38.29,-33.46,1438,-30.24
-33.71,-33.98,1437,-31.73
-37.75,-33.8,1436,-32.61
-33.75,-32.72,1435,-29.54
-35.94,-33.06,1434,-31.38
-38.5,-34.43,1433,-31.97
-36.29,-35.09,1432,-32.64
-35.67,-32.83,1431,-30.04
-35.55,-33.45,1430,-31.39
-37.94,-34.38,1429,-31.71
-40.21,-35.28,1428,-30.53
-35.39,-35.66,1427,-33.39
-35.28,-33.12,1426,-31.69
-38.32,-33.85,1425,-30.53
-36.05,-33.98,1424,-30.94
-37.28,-34.45,1423,-32.41
-36.39,-33.84,1422,-31
-36.16,-34.34,1421,-32.24
-37.11,-34.22,1420,-30.56
-34.27,-34.99,1419,-34.52
-33.17,-30.65,1418,-28.01
-37.88,-33.49,1417,-31.74
-37.06,-34.72,1416,-31.61
-39.2,-32.9,1415,-27.92
-34.53,-33.59,1414,-30.65
-37.13,-34.2,1413,-32.48
-36.2,-32.63,1412,-29.42
-36.39,-33.21,1411,-29.47
-34.57,-34.46,1410,-32.87
-35.33,-30.23,1409,-26.4
-36.45,-35.13,1408,-34.23
-34.5,-33.08,1407,-30.95
-35.52,-32.74,1406,-30.42
-38.62,-35.77,1405,-33.69
-36.88,-33.6,1404,-29.61
-34.87,-33.24,1403,-31.15
-42.07,-35.43,1402,-31.22
-36.18,-36.13,1401,-34.31
-36.94,-33.97,1400,-31.18
-36.09,-34.06,1399,-31.69
-34.46,-31.93,1398,-28.88
-36.14,-33.2,1397,-30.7
-33.36,-32.05,1396,-29.49
-34.85,-32.41,1395,-30.99
-37.33,-33.71,1394,-31.05
-37.31,-35.5,1393,-33.07
-37.7,-34.1,1392,-30.75
-38.55,-32.05,1391,-26.13
-36.03,-35.23,1390,-33.37
-33.81,-34.27,1389,-32.58
-36.63,-32.25,1388,-30.51
-36.42,-34.5,1387,-32.35
-36.59,-34.91,1386,-33.17
-37.64,-34.31,1385,-31.44
-33.83,-33.51,1384,-31.89
-35.95,-33.81,1383,-32.48
-38.03,-35.66,1382,-33.96
-39.69,-36.62,1381,-34.23
-40.34,-37.45,1380,-34.47
-36.28,-33.98,1379,-30.6
-39.03,-36.28,1378,-34.04
-38.78,-34.51,1377,-30.76
-39.03,-35.71,1376,-32.45
-36.38,-34.71,1375,-32.46
-36.73,-34.26,1374,-31.87
-38.61,-36.19,1373,-33.66
-35.35,-32.39,1372,-28.78
-39.93,-35.21,1371,-33.45
-35.86,-34.93,1370,-31.24
-35.81,-33.42,1369,-31.72
-38.32,-33.48,1368,-29.79
-36.84,-35.06,1367,-32.63
-36.36,-34,1366,-31.64
-39.24,-35.17,1365,-32.86
-39.62,-37.26,1364,-34.4
-35.69,-34.76,1363,-32.6
-35.08,-34.42,1362,-33.3
-36.75,-33.93,1361,-31.88
-36.17,-34.39,1360,-32.14
-36.06,-31.8,1359,-27.6
-34.72,-33.77,1358,-32.12
-36.91,-33.13,1357,-29.56
-38.38,-34.59,1356,-31.38
-34.64,-36.18,1355,-35.35
-37.26,-32.89,1354,-29.9
-36.5,-34.51,1353,-32.84
-40.27,-35.99,1352,-32.05
-35.77,-36.11,1351,-33.83
-36.69,-33.2,1350,-29.67
-36.17,-34.11,1349,-32.15
-33.78,-32.83,1348,-30.8
-35.85,-32.86,1347,-31.06
-35.3,-33.64,1346,-31.88
-37.82,-35.3,1345,-33.21
-37.15,-32.58,1344,-27.89
-36.74,-34.89,1343,-33.23
-35.88,-33.98,1342,-31.4
-38,-34.67,1341,-31.82
-33.79,-33.59,1340,-32.33
-35.09,-32.48,1339,-30.25
-35.54,-34.08,1338,-32.96
-36.99,-33.51,1337,-31.49
-38.5,-34.35,1336,-28
-33.53,-32.11,1335,-30.11
-40.7,-34.81,1334,-31.25
-35.83,-34.45,1333,-31.71
-39.79,-34.99,1332,-31.66
-36.96,-35.7,1331,-33.57
-35.28,-34.83,1330,-32.97
-37.07,-34.35,1329,-33.32
-38.72,-33.39,1328,-28.89
-36.8,-34.52,1327,-31.31
-35.68,-32.83,1326,-29.58
-34.58,-32.04,1325,-28.94
-34.92,-33.35,1324,-32.14
-35.9,-33.75,1323,-31.8
-40.23,-34.48,1322,-30.88
-37.12,-36.14,1321,-33.76
-38.81,-36.94,1320,-35.52
-34.94,-34.76,1319,-33.17
-35.03,-33.51,1318,-32.07
-41.13,-35.21,1317,-31.25
-36.69,-35.46,1316,-32.51
-37.85,-35.15,1315,-33.19
-38.07,-33.3,1314,-28.63
-37.69,-34.03,1313,-29.93
-33.1,-31.24,1312,-28.26
-37.44,-32.69,1311,-29.46
-36.27,-35.23,1310,-33.98
-36.8,-34.78,1309,-32.51
-34.82,-34.27,1308,-33.11
-34.34,-32.19,1307,-29.67
-34.29,-32.41,1306,-30.78
-38.75,-34.17,1305,-31.91
-37.91,-36.07,1304,-33.93
-36.42,-35.65,1303,-34.43
-38.39,-35,1302,-32.72
-34.63,-33.5,1301,-31.4
-37.22,-33.39,1300,-30.98
-35.97,-33.63,1299,-31.08
-40.5,-35.8,1298,-33.37
-32.67,-34.11,1297,-31.83
-37.77,-33.13,1296,-30.03
-33.52,-33.13,1295,-30.87
-38.2,-32.38,1294,-29.21
-40.18,-36.65,1293,-32.92
-37.14,-33.51,1292,-29.65
-37.6,-34.66,1291,-32.08
-36.73,-34.02,1290,-30.69
-37.05,-34.84,1289,-31.82
-41.07,-34.49,1288,-30.69
-36.93,-35,1287,-31.19
-34.38,-33.52,1286,-32.08
-37.69,-32.26,1285,-28.49
-39.88,-36.06,1284,-32.17
-35.24,-34.45,1283,-32.08
-35.63,-34.06,1282,-32.47
-36.19,-34.11,1281,-32.35
-37.56,-33.91,1280,-31.05
-36.58,-33.09,1279,-29.28
-37.3,-34.42,1278,-31.4
-39.8,-33.41,1277,-28.53
-35.99,-34.78,1276,-31.78
-35.76,-34.71,1275,-33.41
-37.5,-33.25,1274,-29.52
-35.77,-33.16,1273,-30.22
-34.77,-32.38,1272,-29.64
-37.23,-34.54,1271,-32.48
-36.38,-34.96,1270,-32.94
-32.78,-31.97,1269,-30.36
-38.69,-35.35,1268,-33.3
-36.37,-34.3,1267,-31.37
-39.15,-34.72,1266,-31.4
-35.29,-34.86,1265,-33.19
-36.58,-34.7,1264,-33.13
-39.96,-34.83,1263,-31.11
-36.86,-35.63,1262,-32.92
-35.99,-34,1261,-31.5
-36.08,-32.58,1260,-29.2
-35.45,-34.23,1259,-32.7
-40.34,-34.47,1258,-30.84
-35.85,-34.2,1257,-30.91
-36.3,-34.21,1256,-32.19
-37.13,-33.92,1255,-31.05
-33.17,-32.87,1254,-31
-35.63,-33.43,1253,-31.84
-39.45,-32.79,1252,-27.97
-34.21,-35.09,1251,-32.71
-34.75,-33.2,1250,-31.6
-30.86,-31.74,1249,-30.78
-36.84,-33.65,1248,-31.38
-38.39,-35.36,1247,-32.95
-37.32,-36.26,1246,-34.32
-35.98,-34.93,1245,-33.52
-34.25,-32.8,1244,-30.6
-39.17,-33.62,1243,-29.42
-34.23,-33.15,1242,-30.89
-36.26,-32.95,1241,-30.51
-36.21,-34.17,1240,-31.93
-36.98,-35.1,1239,-32.86
-36.1,-33.91,1238,-31.31
-36.51,-33.88,1237,-31.84
-38.51,-33.55,1236,-28.7
-38.09,-34.67,1235,-31.33
-36.2,-33.95,1234,-31.29
-36.06,-34.06,1233,-31.98
-38.64,-33.47,1232,-29.75
-36.78,-33.97,1231,-28.46
-39.3,-33.9,1230,-30.85
-41.98,-36.65,1229,-31.82
-37.81,-35.29,1228,-31.47
-36.01,-34.85,1227,-32.68
-39.42,-34.24,1226,-30.67
-38.1,-35.36,1225,-31.61
-36.03,-33.39,1224,-29.75
-32.97,-34.18,1223,-33.46
-36.73,-33.38,1222,-31.32
-34.64,-32.68,1221,-29.62
-31.04,-31.92,1220,-31.08
-37.97,-33.84,1219,-31.31
-35.38,-33.26,1218,-29.87
-37.67,-33.49,1217,-30.05
-35.06,-34.47,1216,-32.98
-36.45,-34.19,1215,-32.16
-36.47,-32.98,1214,-29.86
-34.72,-33.15,1213,-30.96
-35.39,-33.35,1212,-31.37
-35.63,-32.47,1211,-29.8
-38.26,-35.34,1210,-32.65
-36.24,-33.89,1209,-31.12
-32.76,-31.53,1208,-28.81
-36.63,-33.76,1207,-32.07
-36.83,-34.6,1206,-31.68
-37.32,-33.85,1205,-31.04
-35.76,-33.89,1204,-31.06
-36.93,-33.65,1203,-31.3
-35.97,-34.65,1202,-33.21
-37.12,-34.96,1201,-32.76
-39.09,-35.53,1200,-32.65
-34.16,-33.04,1199,-30.26
-39.89,-32.96,1198,-30.04
