d18O (permil),year (AD),depth (cm),d18O (permil)
-0.13,-222.01,80.75,-1.86
-0.29,-233.83,81.25,-1.79
-0.21,-245.66,81.75,-1.31
-0.15,-257.49,82.25,NA
-0.16,-269.31,82.75,-1.63
-0.18,-281.14,83.25,-1.97
0.13,-292.97,83.75,-1.71
-0.17,-304.79,84.25,-1.74
-0.03,-316.62,84.75,-1.71
0.06,-328.45,85.25,-1.56
-0.3,-340.27,85.75,-1.65
-0.01,-352.1,86.25,-1.53
-0.1,-363.93,86.75,-1.74
-0.29,-375.75,87.25,-1.86
-0.26,-387.58,87.75,-1.82
-0.02,-399.4,88.25,-1.8
-0.89,-411.23,88.75,-1.87
-0.31,-423.06,89.25,-1.68
-0.21,-434.88,89.75,-1.97
-0.25,-446.71,90.25,-1.69
-0.29,-458.54,90.75,-2.17
-0.33,-470.36,91.25,-2.15
-0.21,-482.19,91.75,-1.71
-0.43,-494.02,92.25,-1.88
-0.44,-505.84,92.75,-1.91
-0.23,-517.67,93.25,-1.74
-0.22,-529.5,93.75,-1.51
-0.53,-541.32,94.25,-2.09
-0.08,-553.15,94.75,-2.09
-0.37,-564.98,95.25,-1.83
-0.1,-576.8,95.75,-1.51
-0.14,-588.63,96.25,-1.78
-0.16,-600.46,96.75,-1.85
-0.36,-612.28,97.25,-1.82
-0.14,-624.11,97.75,-1.93
-0.19,-635.94,98.25,-1.43
-0.22,-647.76,98.75,-1.67
-0.31,-659.59,99.25,-1.38
-0.18,-671.42,99.75,-1.66
-0.37,-684.31,100.25,-1.75
-0.23,-698.26,100.75,-1.74
-0.26,-712.21,101.25,-1.67
-0.24,-726.17,101.75,-1.51
-0.24,-740.12,102.25,-1.84
-0.33,-754.07,102.75,-1.28
-0.45,-768.03,103.25,-1.64
-0.09,-781.98,103.75,-1.6
-0.12,-795.93,104.25,-1.9
-0.23,-809.89,104.75,-1.3
-0.18,-823.84,105.25,-1.12
-0.31,-837.79,105.75,-1.5
-0.26,-851.75,106.25,-1.49
-0.2,-865.7,106.75,-1.64
-0.58,-879.65,107.25,-1.8
-0.16,-893.61,107.75,-1.85
-0.42,-907.56,108.25,-1.75
-0.2,-921.51,108.75,-1.72
-0.51,-935.47,109.25,-1.57
0,-949.42,109.75,-2.01
-0.16,-963.37,110.25,-1.51
-0.01,-977.33,110.75,-1.78
0.23,-991.28,111.25,-1.56
-0.1,-1005.23,111.75,-1.91
-0.1,-1019.19,112.25,-1.76
0.49,-1033.14,112.75,-1.95
0.11,-1047.1,113.25,-1.63
0.02,-1061.05,113.75,-1.99
-0.12,-1075,114.25,-1.27
-0.36,-1088.96,114.75,-1.88
0.07,-1102.91,115.25,-1.68
-0.13,-1116.86,115.75,-1.62
-0.15,-1130.82,116.25,-2.01
-0.02,-1144.77,116.75,-1.75
-0.08,-1158.72,117.25,-1.75
-0.11,-1172.68,117.75,-1.52
-0.01,-1186.63,118.25,-1.75
-0.29,-1200.58,118.75,-1.71
-0.46,-1214.54,119.25,-1.67
-0.15,-1228.49,119.75,-1.42
-0.11,-1242.44,120.25,-1.88
-0.32,-1256.4,120.75,-1.71
0.06,-1270.35,121.25,-1.69
-0.24,-1284.3,121.75,-1.42
-0.23,-1298.26,122.25,-2
-0.06,-1312.21,122.75,-1.57
-0.28,-1326.16,123.25,-1.73
-0.07,-1340.12,123.75,-1.71
-0.18,-1354.07,124.25,-1.43
-0.11,-1368.02,124.75,-1.44
-0.09,-1381.25,125.25,-1.54
-0.13,-1393.75,125.75,-1.77
-0.4,-1406.25,126.25,-1.84
-0.04,-1418.75,126.75,-1.54
-0.35,-1431.25,127.25,-1.99
-0.07,-1443.75,127.75,-1.2
-0.56,-1456.25,128.25,-1.25
-0.17,-1468.75,128.75,-1.57
-0.02,-1481.25,129.25,-1.8
-0.22,-1493.75,129.75,-1.66
-0.48,-1506.25,130.25,-1.37
-0.16,-1518.75,130.75,-1.33
-0.22,-1531.25,131.25,-1.68
-0.53,-1543.75,131.75,-1.58
-0.32,-1556.25,132.25,-1.54
-0.9,-1568.75,132.75,-1.9
-0.13,-1581.25,133.25,-1.35
-0.14,-1593.75,133.75,-1.45
-0.83,-1606.25,134.25,-1.49
-0.44,-1618.75,134.75,-1.62
-0.21,-1631.25,135.25,-1.01
-0.38,-1643.75,135.75,-1.48
-0.12,-1656.25,136.25,-1.16
-0.18,-1668.75,136.75,-1.72
-0.36,-1681.25,137.25,-1.57
-0.73,-1693.75,137.75,-1.15
-0.24,-1706.25,138.25,-1.84
-0.48,-1718.75,138.75,-1.42
-0.27,-1731.25,139.25,-1.43
-0.15,-1743.75,139.75,-1.32
-0.23,-1756.25,140.25,-1.9
-0.35,-1768.75,140.75,-1.51
-0.63,-1781.25,141.25,-1.75
-0.28,-1793.75,141.75,-1.17
-0.02,-1806.25,142.25,-1.35
-0.09,-1818.75,142.75,-1.58
0.07,-1831.25,143.25,-1.6
-0.14,-1843.75,143.75,-1.69
0,-1856.25,144.25,-1.25
0.1,-1868.75,144.75,-1.53
-0.11,-1881.25,145.25,-1.59
0.11,-1893.75,145.75,-1.46
-0.13,-1906.25,146.25,-1.62
-0.15,-1918.75,146.75,-1.62
-0.32,-1931.25,147.25,-1.84
-0.12,-1943.75,147.75,-2.1
-0.37,-1956.25,148.25,-1.56
-0.02,-1968.75,148.75,-1.78
-0.4,-1981.25,149.25,-1.79
0.67,-1993.75,149.75,-2.04
-0.23,-2004.6,150.25,-1.77
NA,-2013.8,150.75,NA
-0.05,-2023,151.25,-1.79
0.02,-2032.2,151.75,-1.35
-0.02,-2041.4,152.25,-2.17
0.24,-2050.6,152.75,-1.5
-0.1,-2059.8,153.25,-1.8
-0.04,-2069,153.75,-1.83
-0.23,-2078.2,154.25,-1.92
0.13,-2087.4,154.75,-1.94
-0.33,-2096.6,155.25,-2.02
-0.47,-2105.8,155.75,-1.57
-0.18,-2115,156.25,-2
-0.25,-2124.2,156.75,-1.29
-0.35,-2133.4,157.25,-1.75
-0.42,-2142.6,157.75,-1.83
-0.17,-2151.8,158.25,-1.73
-0.04,-2161,158.75,-1.9
-0.39,-2170.2,159.25,NA
-0.05,-2179.4,159.75,-1.9
-0.1,-2188.6,160.25,-2.04
0,-2197.8,160.75,-1.78
-0.54,-2207,161.25,-1.78
-0.18,-2216.2,161.75,-2.02
-0.07,-2225.4,162.25,-1.49
-0.21,-2234.6,162.75,-1.56
-0.48,-2243.8,163.25,-1.09
-0.79,-2253,163.75,-1.33
-0.15,-2262.2,164.25,-1.91
-0.15,-2271.4,164.75,-1.46
-0.24,-2280.6,165.25,-1.79
-0.02,-2289.8,165.75,-1.73
-0.25,-2299,166.25,-1.33
-0.16,-2308.2,166.75,-2.12
-0.07,-2317.4,167.25,-1.99
-0.26,-2326.6,167.75,-1.33
0.08,-2335.8,168.25,-1.43
-0.03,-2345,168.75,-1.76
-0.1,-2354.2,169.25,-1.66
0.05,-2363.4,169.75,-1.66
-0.03,-2372.6,170.25,-1.96
-0.07,-2381.8,170.75,-1.86
-0.03,-2391,171.25,-1.31
-0.12,-2400.2,171.75,-1.39
-0.15,-2409.4,172.25,-1.27
-0.2,-2418.6,172.75,-1.63
-0.17,-2427.8,173.25,-2.04
-0.08,-2437,173.75,-1.59
-0.14,-2446.2,174.25,-1.44
-0.16,-2455.4,174.75,-1.85
-0.18,-2468.17,175.25,-1.55
-0.19,-2484.51,175.75,-1.69
-0.26,-2500.85,176.25,-1.57
-0.06,-2517.19,176.75,-2.11
-0.2,-2533.53,177.25,-1.82
-0.35,-2549.87,177.75,-2.18
-0.12,-2566.21,178.25,-1.81
-0.15,-2582.55,178.75,-2.13
-0.33,-2598.89,179.25,-1.71
-0.11,-2615.23,179.75,-1.59
-0.24,-2631.57,180.25,-1.47
-0.15,-2647.91,180.75,-1.76
NA,-2664.25,181.25,NA
0.05,-2680.59,181.75,-1.3
-0.26,-2696.93,182.25,-1.79
-0.2,-2713.27,182.75,-2.03
-0.28,-2729.61,183.25,-2.11
-0.29,-2745.95,183.75,-2.09
-0.15,-2762.29,184.25,-1.78
-0.49,-2778.63,184.75,-1.92
-0.26,-2794.97,185.25,-1.75
0.01,-2811.31,185.75,-2.3
-0.26,-2827.65,186.25,-1.78
-0.3,-2843.99,186.75,-1.6
-0.07,-2860.33,187.25,-2.12
-0.11,-2876.67,187.75,-1.91
-0.09,-2893.01,188.25,-1.89
-0.23,-2909.35,188.75,-1.94
-0.42,-2925.69,189.25,-1.94
-0.21,-2942.03,189.75,-2.01
-0.3,-2958.37,190.25,-1.97
-0.29,-2974.71,190.75,-1.87
0.02,-2991.05,191.25,-2.16
-0.07,-3007.39,191.75,-1.34
0.05,-3023.73,192.25,-1.57
-0.17,-3040.07,192.75,-2.34
NA,-3056.41,193.25,-1.47
-0.48,-3072.75,193.75,-2.03
-0.09,-3089.09,194.25,-1.77
0.09,-3105.43,194.75,-1.63
-0.11,-3121.77,195.25,-1.89
-0.27,-3138.11,195.75,-1.44
NA,-3154.45,196.25,NA
-0.18,-3170.79,196.75,-1.34
-0.06,-3187.13,197.25,-1.63
0.04,-3203.47,197.75,-1.67
-0.07,-3219.81,198.25,-1.91
-0.33,-3236.15,198.75,-1.9
-0.06,-3252.49,199.25,-1.75
NA,-3268.83,199.75,NA
-0.12,-3286.04,200.25,-1.26
NA,-3304.12,200.75,NA
NA,-3322.19,201.25,NA
-0.14,-3340.27,201.75,-1.77
-0.33,-3358.35,202.25,-2.08
0.36,-3376.42,202.75,-1.81
-0.37,-3394.5,203.25,-1.86
-0.39,-3412.58,203.75,-1.61
-0.29,-3430.65,204.25,-2.12
-0.19,-3448.73,204.75,-1.97
-0.09,-3466.81,205.25,-2.2
NA,-3484.88,205.75,NA
-0.12,-3502.96,206.25,-1.82
0,-3521.04,206.75,-2.04
-0.15,-3539.12,207.25,-1.6
0.06,-3557.19,207.75,-2.1
-0.11,-3575.27,208.25,-1.67
-0.01,-3593.35,208.75,-2.01
-0.02,-3611.42,209.25,-1.75
0.08,-3629.5,209.75,-2.11
0.1,-3647.58,210.25,-1.59
-0.1,-3665.65,210.75,-1.88
-0.04,-3683.73,211.25,-2.13
0.23,-3701.81,211.75,-1.97
-0.02,-3719.88,212.25,-2.18
0.14,-3737.96,212.75,-1.88
0.02,-3756.04,213.25,-2.27
0.09,-3774.12,213.75,-1.71
-0.08,-3792.19,214.25,-2.06
-0.02,-3810.27,214.75,-1.73
-0.02,-3828.35,215.25,-1.96
-0.14,-3846.42,215.75,-1.99
-0.15,-3864.5,216.25,-2.13
0.03,-3882.58,216.75,-1.74
-0.15,-3900.65,217.25,-1.97
0,-3918.73,217.75,-2.18
-0.12,-3936.81,218.25,-2.37
NA,-3954.88,218.75,NA
-0.49,-3972.96,219.25,-2.43
-0.03,-3991.04,219.75,-2.54
-0.28,-4009.12,220.25,-2.45
-0.05,-4027.19,220.75,-1.97
0.04,-4045.27,221.25,-1.95
-0.09,-4063.35,221.75,-1.96
NA,-4081.42,222.25,NA
-0.11,-4099.5,222.75,-2.11
-0.07,-4117.58,223.25,-2.06
-0.11,-4135.65,223.75,-2.01
0.12,-4153.73,224.25,-1.28
0.08,-4171.81,224.75,-1.63
0.14,-4189.88,225.25,-1.4
0.02,-4207.96,225.75,-1.76
