dD (permil),year (AD),depth (m)
-143.12,1057.5,106.81
-140.3,1052.5,106.83
-138.61,1047.5,106.86
-139.82,1042.5,106.89
-140.8,1037.5,106.91
-139.74,1032.5,106.94
-138.95,1027.5,106.97
-137.25,1022.5,106.99
-136.09,1017.5,107.01
-137.1,1012.5,107.04
-139.85,1007.5,107.06
-139.72,1002.5,107.08
-136.26,997.5,107.11
