d18O (permil),year (AD),"depth (mm
)"
-6.33,1951.5,377
-5.56,1951.42,378
-5.7,1951.33,379
-5.56,1951.25,380
-5.58,1951.17,381
-5.81,1951.08,382
-6.18,1951,383
-6,1950.92,384
-6.16,1950.75,385
-5.87,1950.66,386
-5.79,1950.57,387
-5.66,1950.48,388
-5.63,1950.39,389
-5.55,1950.3,390
-5.39,1950.2,391
-5.41,1950.11,392
-5.82,1950.02,393
-6.23,1949.93,394
-6.36,1949.75,395
-6.07,1949.68,396
-5.82,1949.62,397
-5.94,1949.55,398
-5.71,1949.48,399
-5.68,1949.42,400
-5.59,1949.35,401
-5.3,1949.28,402
-5.43,1949.22,403
-5.69,1949.15,404
-5.97,1949.08,405
-5.93,1949.02,406
-6.02,1948.95,407
-5.96,1948.88,408
-6.17,1948.75,409
-6.08,1948.64,410
-5.78,1948.53,411
-5.65,1948.42,412
-5.6,1948.31,413
-5.27,1948.19,414
-5.61,1948.08,415
-5.87,1947.97,416
-6.28,1947.75,417
-6.1,1947.67,418
-6.12,1947.6,419
-5.98,1947.52,420
-5.64,1947.44,421
-5.61,1947.37,422
-5.34,1947.29,423
-5.09,1947.21,424
-5.43,1947.13,425
-5.42,1947.06,426
-5.92,1946.98,427
-6.3,1946.9,428
-6.47,1946.75,429
-6.21,1946.67,430
-6.36,1946.6,431
-6.1,1946.52,432
-6.12,1946.44,433
-5.78,1946.37,434
-5.66,1946.29,435
-5.75,1946.21,436
-5.79,1946.13,437
-5.78,1946.06,438
-6.33,1945.98,439
-6.47,1945.9,440
-6.64,1945.75,441
-6.5,1945.67,442
-6.57,1945.6,443
-6.18,1945.52,444
-5.93,1945.44,445
-5.72,1945.37,446
-5.47,1945.29,447
-5.22,1945.21,448
-5.28,1945.13,449
-5.46,1945.06,450
-5.77,1944.98,451
-5.98,1944.9,452
-6.1,1944.75,453
-5.62,1944.65,454
-5.89,1944.55,455
-5.76,1944.45,456
-5.5,1944.35,457
-5.42,1944.25,458
-5.47,1944.15,459
-5.53,1944.05,460
-6.24,1943.95,461
-6.49,1943.75,462
-6.21,1943.68,463
-6.04,1943.61,464
-6.08,1943.54,465
-6.07,1943.46,466
-5.93,1943.39,467
-5.43,1943.32,468
-5.6,1943.25,469
-5.43,1943.18,470
-5.51,1943.11,471
-5.97,1943.04,472
-6.08,1942.96,473
-6.1,1942.89,474
-6.12,1942.75,475
-6.01,1942.67,476
-5.97,1942.58,477
-5.81,1942.5,478
-5.69,1942.42,479
-5.76,1942.33,480
-5.64,1942.25,481
-5.61,1942.17,482
-5.71,1942.08,483
-5.73,1942,484
-6,1941.92,485
-6.14,1941.75,486
-6.05,1941.69,487
-5.88,1941.63,488
-5.95,1941.57,489
-5.78,1941.51,490
-5.86,1941.46,491
-5.75,1941.4,492
-5.72,1941.34,493
-5.43,1941.28,494
-5.53,1941.22,495
-5.59,1941.16,496
-5.38,1941.1,497
-5.57,1941.04,498
-5.84,1940.99,499
-5.9,1940.93,500
-5.81,1940.87,501
-6.2,1940.75,502
-6.04,1940.67,503
-5.93,1940.6,504
-5.64,1940.52,505
-5.51,1940.44,506
-5.41,1940.37,507
-5.51,1940.29,508
-5.16,1940.21,509
-5.19,1940.13,510
-5.42,1940.06,511
-5.86,1939.98,512
-6.11,1939.9,513
-6.12,1939.75,514
-6.09,1939.67,515
-6.1,1939.58,516
-6.11,1939.5,517
-5.96,1939.42,518
-5.78,1939.33,519
-5.34,1939.25,520
-5.72,1939.17,521
-5.58,1939.08,522
-5.99,1939,523
-6.08,1938.92,524
-6.59,1938.75,525
-6.34,1938.68,526
-6.37,1938.61,527
-6.23,1938.54,528
-6.16,1938.46,529
-6.01,1938.39,530
-5.8,1938.32,531
-5.61,1938.25,532
-5.64,1938.18,533
-5.89,1938.11,534
-6.11,1938.04,535
-6.31,1937.96,536
-6.41,1937.89,537
-6.66,1937.75,538
-6.46,1937.68,539
-6.47,1937.62,540
-6.3,1937.55,541
-6.1,1937.48,542
-6.34,1937.42,543
-6.34,1937.35,544
-6.36,1937.28,545
-6.18,1937.22,546
-6.01,1937.15,547
-5.73,1937.08,548
-5.55,1937.02,549
-5.51,1936.95,550
-5.58,1936.88,551
-6.24,1936.75,552
-6.24,1936.67,553
-6.22,1936.6,554
-6.32,1936.52,555
-6.07,1936.44,556
-5.51,1936.37,557
-5.76,1936.29,558
-5.66,1936.21,559
-5.51,1936.13,560
-5.52,1936.06,561
-6.22,1935.98,562
-6.49,1935.9,563
-6.62,1935.75,564
-6.28,1935.67,565
-6.17,1935.6,566
-5.92,1935.52,567
-5.67,1935.44,568
-5.37,1935.37,569
-5.32,1935.29,570
-5.45,1935.21,571
-5.45,1935.13,572
-5.76,1935.06,573
-6.16,1934.98,574
-6.12,1934.9,575
-6.27,1934.75,576
-6.11,1934.69,577
-6.15,1934.63,578
-5.93,1934.57,579
-6.39,1934.51,580
-5.53,1934.46,581
-5.48,1934.4,582
-5.48,1934.34,583
-5.35,1934.28,584
-5.4,1934.22,585
-5.32,1934.16,586
-5.77,1934.1,587
-5.96,1934.04,588
-6.15,1933.99,589
-6.1,1933.93,590
-6.19,1933.87,591
-6.28,1933.75,592
-6.23,1933.66,593
-6.14,1933.57,594
-5.72,1933.48,595
-6.14,1933.39,596
-5.38,1933.3,597
-5.63,1933.2,598
-5.88,1933.11,599
-6.21,1933.02,600
-6.29,1932.93,601
-6.36,1932.75,602
-6.24,1932.67,603
-6.14,1932.6,604
-5.99,1932.52,605
-5.68,1932.44,606
-5.52,1932.37,607
-5.56,1932.29,608
-5.41,1932.21,609
-5.54,1932.13,610
-5.52,1932.06,611
-5.73,1931.98,612
-5.95,1931.9,613
-6.24,1931.75,614
-6.23,1931.67,615
-6.18,1931.6,616
-6.05,1931.52,617
-6.09,1931.44,618
-6.14,1931.37,619
-5.68,1931.29,620
-5.52,1931.21,621
-5.6,1931.13,622
-5.7,1931.06,623
-5.8,1930.98,624
-6.31,1930.9,625
-6.81,1930.75,626
-6.58,1930.68,627
-6.49,1930.61,628
-6.52,1930.54,629
-6.42,1930.46,630
-6.25,1930.39,631
-5.9,1930.32,632
-5.94,1930.25,633
-5.58,1930.18,634
-5.42,1930.11,635
-5.6,1930.04,636
-6.04,1929.96,637
-6.3,1929.89,638
-6.47,1929.75,639
-6.23,1929.67,640
-6.29,1929.6,641
-6.58,1929.52,642
-6.3,1929.44,643
-6.16,1929.37,644
-5.92,1929.29,645
-5.58,1929.21,646
-5.6,1929.13,647
-5.78,1929.06,648
-6.2,1928.98,649
-6.47,1928.9,650
-6.41,1928.75,651
-6.44,1928.68,652
-6.49,1928.61,653
-6.29,1928.54,654
-6.33,1928.46,655
-6.16,1928.39,656
-5.78,1928.32,657
-5.42,1928.25,658
-5.49,1928.18,659
-5.78,1928.11,660
-5.68,1928.04,661
-5.93,1927.96,662
-6.32,1927.89,663
-6.58,1927.75,664
-6.1,1927.68,665
-5.93,1927.61,666
-5.85,1927.54,667
-5.81,1927.46,668
-5.81,1927.39,669
-5.66,1927.32,670
-5.46,1927.25,671
-5.73,1927.18,672
-5.87,1927.11,673
-6.26,1927.04,674
-6.36,1926.96,675
-6.34,1926.89,676
-6.46,1926.75,677
-6.31,1926.66,678
-6.11,1926.57,679
-5.88,1926.48,680
-5.82,1926.39,681
-5.54,1926.3,682
-5.1,1926.2,683
-5.35,1926.11,684
-5.96,1926.02,685
-6.39,1925.93,686
-6.41,1925.75,687
-6.15,1925.67,688
-5.93,1925.6,689
-6.08,1925.52,690
-5.89,1925.44,691
-5.68,1925.37,692
-5.46,1925.29,693
-5.23,1925.21,694
-5.36,1925.13,695
-5.56,1925.06,696
-5.38,1924.98,697
-5.55,1924.9,698
-5.84,1924.75,699
-5.87,1924.68,700
-5.75,1924.62,701
-5.87,1924.55,702
-5.95,1924.48,703
-5.96,1924.42,704
-5.82,1924.35,705
-5.32,1924.28,706
-5.23,1924.22,707
-5.25,1924.15,708
-5.31,1924.08,709
-5.54,1924.02,710
-5.91,1923.95,711
-6.16,1923.88,712
-6.2,1923.75,713
-5.9,1923.67,714
-5.7,1923.6,715
-6,1923.52,716
-5.79,1923.44,717
-5.62,1923.37,718
-5.47,1923.29,719
-5.21,1923.21,720
-5.39,1923.13,721
-5.34,1923.06,722
-5.52,1922.98,723
-6.15,1922.9,724
-7.13,1922.75,725
-6.57,1922.68,726
-6.62,1922.61,727
-6.24,1922.54,728
-5.82,1922.46,729
-5.4,1922.39,730
-5.13,1922.32,731
-5.05,1922.25,732
-5.05,1922.18,733
-5.3,1922.11,734
-5.67,1922.04,735
-5.54,1921.96,736
-5.44,1921.89,737
-6.18,1921.75,738
-5.64,1921.64,739
-5.41,1921.53,740
-5.26,1921.42,741
-5.13,1921.31,742
-5.32,1921.19,743
-5.78,1921.08,744
-5.71,1920.97,745
-6.08,1920.75,746
-6.06,1920.68,747
-5.5,1920.62,748
-5.44,1920.55,749
-5.38,1920.48,750
-5.74,1920.42,751
-5.5,1920.35,752
-5.55,1920.28,753
-5.35,1920.22,754
-5.68,1920.15,755
-5.9,1920.08,756
-6.1,1920.02,757
-6.41,1919.95,758
-6.34,1919.88,759
-6.36,1919.75,760
-6.13,1919.67,761
-6.02,1919.58,762
-5.93,1919.5,763
-5.71,1919.42,764
-5.31,1919.33,765
-5.59,1919.25,766
-5.41,1919.17,767
-5.52,1919.08,768
-6.09,1919,769
-6.24,1918.92,770
-6.33,1918.75,771
-6.24,1918.66,772
-6.33,1918.57,773
-5.99,1918.48,774
-5.7,1918.39,775
-5.57,1918.3,776
-5.47,1918.2,777
-5.45,1918.11,778
-6.03,1918.02,779
-6.22,1917.93,780
-6.29,1917.75,781
-5.97,1917.65,782
-5.68,1917.55,783
-5.76,1917.45,784
-5.57,1917.35,785
-5.59,1917.25,786
-5.67,1917.15,787
-6.62,1917.05,788
-6.31,1916.95,789
-6.83,1916.75,790
-6.36,1916.67,791
-6.11,1916.6,792
-6.03,1916.52,793
-5.87,1916.44,794
-6,1916.37,795
-5.83,1916.29,796
-5.59,1916.21,797
-5.72,1916.13,798
-5.97,1916.06,799
-5.85,1915.98,800
-6.09,1915.9,801
-6.29,1915.75,802
-6.02,1915.67,803
-5.88,1915.6,804
-5.87,1915.52,805
-5.93,1915.44,806
-5.63,1915.37,807
-5.5,1915.29,808
-5.4,1915.21,809
-5.44,1915.13,810
-5.65,1915.06,811
-5.96,1914.98,812
-6.27,1914.9,813
-6.38,1914.75,814
-6.31,1914.66,815
-6.44,1914.57,816
-5.94,1914.48,817
-5.63,1914.39,818
-5.51,1914.3,819
-5.47,1914.2,820
-5.32,1914.11,821
-5.82,1914.02,822
-6.09,1913.93,823
-6.17,1913.75,824
-6.02,1913.68,825
-6.18,1913.62,826
-6.22,1913.55,827
-5.66,1913.48,828
-5.9,1913.42,829
-5.62,1913.35,830
-5.54,1913.28,831
-5.3,1913.22,832
-5.22,1913.15,833
-5.41,1913.08,834
-5.75,1913.02,835
-5.84,1912.95,836
-6.07,1912.88,837
-6.25,1912.75,838
-5.88,1912.66,839
-6.12,1912.57,840
-5.81,1912.48,841
-5.65,1912.39,842
-5.87,1912.3,843
-5.33,1912.2,844
-5.44,1912.11,845
-5.64,1912.02,846
-6.05,1911.93,847
-6.41,1911.75,848
-6.23,1911.68,849
-5.95,1911.62,850
-5.96,1911.55,851
-5.85,1911.48,852
-5.58,1911.42,853
-5.27,1911.35,854
-5.45,1911.28,855
-5.17,1911.22,856
-6.06,1911.15,857
-5.8,1911.08,858
-6.15,1911.02,859
-5.88,1910.95,860
-6.24,1910.88,861
-6.6,1910.75,862
-6.22,1910.67,863
-6.23,1910.6,864
-6.21,1910.52,865
-6.21,1910.44,866
-6.12,1910.37,867
-5.87,1910.29,868
-5.66,1910.21,869
-5.52,1910.13,870
-5.47,1910.06,871
-5.71,1909.98,872
-5.88,1909.9,873
-6.08,1909.75,874
-6,1909.67,875
-6,1909.6,876
-5.87,1909.52,877
-5.78,1909.44,878
-5.62,1909.37,879
-5.49,1909.29,880
-5.53,1909.21,881
-5.05,1909.13,882
-5.88,1909.06,883
-5.99,1908.98,884
-6.15,1908.9,885
-6.25,1908.75,886
-6.17,1908.67,887
-6.2,1908.58,888
-6.07,1908.5,889
-5.74,1908.42,890
-5.46,1908.33,891
-5.07,1908.25,892
-5.1,1908.17,893
-5.29,1908.08,894
-5.63,1908,895
-5.85,1907.92,896
-5.95,1907.75,897
-5.92,1907.68,898
-5.77,1907.61,899
-5.88,1907.54,900
-5.78,1907.46,901
-5.47,1907.39,902
-5.62,1907.32,903
-5.32,1907.25,904
-5.63,1907.18,905
-5.6,1907.11,906
-5.54,1907.04,907
-5.83,1906.96,908
-6.2,1906.89,909
-6.39,1906.75,910
-6.3,1906.68,911
-6.24,1906.61,912
-6.11,1906.54,913
-5.98,1906.46,914
-6.17,1906.39,915
-5.92,1906.32,916
-5.68,1906.25,917
-5.52,1906.18,918
-5.54,1906.11,919
-5.46,1906.04,920
-5.61,1905.96,921
-5.85,1905.89,922
-6.17,1905.75,923
-6.22,1905.68,924
-6.14,1905.62,925
-6.08,1905.55,926
-6.04,1905.48,927
-6.04,1905.42,928
-6.04,1905.35,929
-5.95,1905.28,930
-5.9,1905.22,931
-6,1905.15,932
-5.97,1905.08,933
-6.04,1905.02,934
-6.11,1904.95,935
-6.31,1904.88,936
-6.34,1904.75,937
-6.47,1904.67,938
-6.33,1904.6,939
-6.4,1904.52,940
-5.96,1904.44,941
-6.21,1904.37,942
-6.09,1904.29,943
-5.76,1904.21,944
-5.55,1904.13,945
-5.41,1904.06,946
-5.75,1903.98,947
-5.73,1903.9,948
-6.11,1903.75,949
-6.22,1903.65,950
-6.13,1903.55,951
-5.95,1903.45,952
-5.74,1903.35,953
-5.76,1903.25,954
-5.56,1903.15,955
-5.78,1903.05,956
-6.31,1902.95,957
-6.22,1902.75,958
-6.04,1902.64,959
-5.87,1902.53,960
-5.24,1902.42,961
-5.19,1902.31,962
-5.29,1902.19,963
-5.7,1902.08,964
-5.98,1901.97,965
-6.03,1901.75,966
-5.91,1901.67,967
-5.91,1901.58,968
-5.79,1901.5,969
-5.83,1901.42,970
-5.52,1901.33,971
-5.46,1901.25,972
-5.55,1901.17,973
-5.37,1901.08,974
-4.89,1901,975
-5.47,1900.92,976
-6.32,1900.75,977
-6.18,1900.7,978
-6.02,1900.64,979
-5.92,1900.59,980
-6.21,1900.54,981
-6.17,1900.49,982
-5.99,1900.43,983
-5.82,1900.38,984
-5.68,1900.33,985
-5.49,1900.28,986
-5.61,1900.22,987
-5.89,1900.17,988
-5.99,1900.12,989
-6.14,1900.07,990
-6.09,1900.01,991
-6.22,1899.96,992
-6.39,1899.91,993
-6.31,1899.86,994
-6.49,1899.75,995
-6.38,1899.66,996
-6.16,1899.57,997
-5.81,1899.48,998
-5.61,1899.39,999
-5.66,1899.3,1000
-5.68,1899.2,1001
-5.92,1899.11,1002
-5.97,1899.02,1003
-6.34,1898.93,1004
-6.5,1898.75,1005
-6.29,1898.67,1006
-6.57,1898.58,1007
-6.43,1898.5,1008
-6.26,1898.42,1009
-5.94,1898.33,1010
-5.66,1898.25,1011
-5.55,1898.17,1012
-5.65,1898.08,1013
-5.85,1898,1014
-6.36,1897.92,1015
-6.61,1897.75,1016
-6.43,1897.68,1017
-6.47,1897.62,1018
-6.34,1897.55,1019
-6.18,1897.48,1020
-6.12,1897.42,1021
-5.94,1897.35,1022
-5.89,1897.28,1023
-5.65,1897.22,1024
-5.54,1897.15,1025
-5.77,1897.08,1026
-6.09,1897.02,1027
-5.93,1896.95,1028
-6.07,1896.88,1029
-6.31,1896.75,1030
-5.98,1896.67,1031
-5.95,1896.6,1032
-6.25,1896.52,1033
-6.18,1896.44,1034
-5.77,1896.37,1035
-5.48,1896.29,1036
-5.32,1896.21,1037
-5.41,1896.13,1038
-5.56,1896.06,1039
-5.9,1895.98,1040
-6.19,1895.9,1041
-6.24,1895.75,1042
-6.14,1895.67,1043
-6.18,1895.6,1044
-6.11,1895.52,1045
-6,1895.44,1046
-5.76,1895.37,1047
-5.51,1895.29,1048
-5.61,1895.21,1049
-5.59,1895.13,1050
-5.84,1895.06,1051
-6.21,1894.98,1052
-6.35,1894.9,1053
-6.66,1894.75,1054
-6.77,1894.68,1055
-6.46,1894.61,1056
-6.42,1894.54,1057
-6.08,1894.46,1058
-5.85,1894.39,1059
-5.67,1894.32,1060
-5.56,1894.25,1061
-5.6,1894.18,1062
-5.72,1894.11,1063
-5.9,1894.04,1064
-5.88,1893.96,1065
-5.79,1893.89,1066
-6.15,1893.75,1067
-6.12,1893.65,1068
-5.61,1893.55,1069
-5.37,1893.45,1070
-5.26,1893.35,1071
-5.57,1893.25,1072
-5.78,1893.15,1073
-5.77,1893.05,1074
-5.89,1892.95,1075
-6.08,1892.75,1076
-6.09,1892.66,1077
-5.92,1892.57,1078
-5.68,1892.48,1079
-5.56,1892.39,1080
-5.73,1892.3,1081
-5.97,1892.2,1082
-6.24,1892.11,1083
-6.31,1892.02,1084
-6.28,1891.93,1085
-6.55,1891.75,1086
-6.34,1891.66,1087
-5.86,1891.57,1088
-5.7,1891.48,1089
-5.74,1891.39,1090
-5.89,1891.3,1091
-6.03,1891.2,1092
-6.14,1891.11,1093
-6.35,1891.02,1094
-6.32,1890.93,1095
-6.34,1890.75,1096
-6.36,1890.67,1097
-6.43,1890.58,1098
-6.14,1890.5,1099
-5.84,1890.42,1100
-5.65,1890.33,1101
-5.66,1890.25,1102
-5.8,1890.17,1103
-5.87,1890.08,1104
-6.02,1890,1105
-6.21,1889.92,1106
-6.3,1889.75,1107
-6.24,1889.67,1108
-5.98,1889.58,1109
-6.02,1889.5,1110
-6,1889.42,1111
-5.83,1889.33,1112
-5.75,1889.25,1113
-5.59,1889.17,1114
-5.57,1889.08,1115
-5.9,1889,1116
-6.22,1888.92,1117
-6.27,1888.75,1118
-6.23,1888.67,1119
-6.03,1888.6,1120
-5.97,1888.52,1121
-6.06,1888.44,1122
-5.82,1888.37,1123
-5.53,1888.29,1124
-5.49,1888.21,1125
-5.72,1888.13,1126
-5.71,1888.06,1127
-6.03,1887.98,1128
-6.21,1887.9,1129
-6.33,1887.75,1130
-6.19,1887.68,1131
-6.06,1887.61,1132
-5.96,1887.54,1133
-5.86,1887.46,1134
-5.55,1887.39,1135
-5.73,1887.32,1136
-5.56,1887.25,1137
-5.4,1887.18,1138
-5.23,1887.11,1139
-5.42,1887.04,1140
-5.54,1886.96,1141
-5.65,1886.89,1142
-5.94,1886.75,1143
-5.92,1886.68,1144
-5.77,1886.61,1145
-5.52,1886.46,1147
-5.04,1886.32,1149
-5.24,1886.25,1150
-5.29,1886.18,1151
-5.59,1886.11,1152
-5.91,1886.04,1153
-6.1,1885.96,1154
-6.2,1885.89,1155
-6.24,1885.75,1156
-6.13,1885.64,1157
-5.68,1885.53,1158
-5.57,1885.42,1159
-5.59,1885.31,1160
-5.41,1885.19,1161
-5.53,1885.08,1162
-6.04,1884.97,1163
-6.02,1884.75,1164
-5.84,1884.66,1165
