year (AD),d18O (permil),d18O (permil),d18O (permil)
1160,-1.7,-2.1,-1.33
1165,-1.69,-2.09,-1.33
1170,-1.68,-2.08,-1.33
1175,-1.68,-2.07,-1.32
1180,-1.68,-2.06,-1.33
1185,-1.68,-2.07,-1.33
1190,-1.69,-2.07,-1.34
1195,-1.7,-2.09,-1.34
1200,-1.72,-2.12,-1.34
1205,-1.73,-2.15,-1.35
1210,-1.76,-2.18,-1.37
1215,-1.79,-2.21,-1.39
1220,-1.83,-2.24,-1.42
1225,-1.86,-2.27,-1.44
1230,-1.9,-2.3,-1.47
1235,-1.93,-2.32,-1.51
1240,-1.96,-2.33,-1.55
1245,-1.98,-2.34,-1.6
1250,-1.99,-2.35,-1.63
1255,-2,-2.36,-1.64
1260,-2.01,-2.36,-1.65
1265,-2,-2.36,-1.64
1270,-1.99,-2.35,-1.62
1275,-1.98,-2.35,-1.61
1280,-1.96,-2.34,-1.59
1285,-1.95,-2.32,-1.58
1290,-1.94,-2.32,-1.56
1295,-1.94,-2.32,-1.56
1300,-1.93,-2.32,-1.55
1305,-1.94,-2.33,-1.55
1310,-1.94,-2.34,-1.55
1315,-1.95,-2.34,-1.55
1320,-1.95,-2.35,-1.56
1325,-1.96,-2.36,-1.56
1330,-1.97,-2.37,-1.57
1335,-1.98,-2.37,-1.58
1340,-1.99,-2.38,-1.58
1345,-2,-2.39,-1.59
1350,-2.01,-2.39,-1.6
1355,-2.02,-2.4,-1.61
1360,-2.03,-2.41,-1.62
1365,-2.04,-2.42,-1.63
1370,-2.05,-2.44,-1.64
1375,-2.06,-2.45,-1.66
1380,-2.07,-2.46,-1.67
1385,-2.08,-2.47,-1.68
1390,-2.09,-2.48,-1.7
1395,-2.11,-2.49,-1.71
1400,-2.12,-2.5,-1.73
1405,-2.13,-2.52,-1.74
1410,-2.14,-2.53,-1.76
1415,-2.16,-2.54,-1.77
1420,-2.17,-2.56,-1.79
1425,-2.19,-2.57,-1.81
1430,-2.2,-2.59,-1.82
1435,-2.22,-2.61,-1.84
1440,-2.23,-2.62,-1.86
1445,-2.25,-2.64,-1.87
1450,-2.27,-2.67,-1.89
1455,-2.29,-2.68,-1.91
1460,-2.31,-2.71,-1.92
1465,-2.33,-2.72,-1.94
1470,-2.35,-2.75,-1.96
1475,-2.37,-2.77,-1.98
1480,-2.39,-2.78,-2
1485,-2.42,-2.79,-2.01
1490,-2.44,-2.81,-2.03
1495,-2.45,-2.83,-2.06
1500,-2.47,-2.84,-2.09
1505,-2.48,-2.86,-2.1
1510,-2.49,-2.86,-2.11
1515,-2.5,-2.88,-2.13
1520,-2.51,-2.89,-2.14
1525,-2.52,-2.9,-2.14
1530,-2.53,-2.9,-2.15
1535,-2.53,-2.9,-2.16
1540,-2.54,-2.91,-2.16
1545,-2.54,-2.91,-2.16
1550,-2.54,-2.92,-2.16
1555,-2.54,-2.92,-2.15
1560,-2.54,-2.91,-2.15
1565,-2.53,-2.92,-2.14
1570,-2.53,-2.91,-2.14
1575,-2.52,-2.91,-2.13
1580,-2.52,-2.91,-2.12
1585,-2.51,-2.9,-2.12
1590,-2.5,-2.89,-2.11
1595,-2.49,-2.88,-2.11
1600,-2.49,-2.87,-2.1
1605,-2.48,-2.86,-2.1
1610,-2.47,-2.86,-2.1
1615,-2.46,-2.85,-2.1
1620,-2.46,-2.84,-2.1
1625,-2.45,-2.84,-2.1
1630,-2.45,-2.82,-2.09
1635,-2.44,-2.81,-2.08
1640,-2.44,-2.81,-2.09
1645,-2.44,-2.81,-2.08
1650,-2.44,-2.81,-2.07
1655,-2.44,-2.8,-2.08
1660,-2.44,-2.81,-2.07
1665,-2.45,-2.81,-2.07
1670,-2.45,-2.82,-2.07
1675,-2.45,-2.83,-2.07
1680,-2.46,-2.84,-2.06
1685,-2.47,-2.86,-2.07
1690,-2.48,-2.88,-2.07
1695,-2.49,-2.89,-2.07
1700,-2.49,-2.91,-2.07
1705,-2.5,-2.93,-2.08
1710,-2.51,-2.94,-2.08
1715,-2.52,-2.96,-2.09
1720,-2.53,-2.97,-2.1
1725,-2.54,-2.99,-2.11
1730,-2.55,-3,-2.11
1735,-2.56,-3.01,-2.12
1740,-2.57,-3.01,-2.13
1745,-2.57,-3.01,-2.13
1750,-2.57,-3.02,-2.13
1755,-2.57,-3.01,-2.14
1760,-2.57,-3.01,-2.13
1765,-2.57,-3.01,-2.12
1770,-2.57,-3.01,-2.12
1775,-2.56,-3.01,-2.11
1780,-2.55,-3.01,-2.1
1785,-2.55,-3,-2.08
1790,-2.54,-2.99,-2.07
1795,-2.52,-2.98,-2.05
1800,-2.51,-2.97,-2.01
1805,-2.49,-2.95,-1.99
1810,-2.48,-2.94,-1.96
1815,-2.46,-2.92,-1.93
1820,-2.44,-2.9,-1.9
1825,-2.41,-2.88,-1.85
1830,-2.39,-2.86,-1.81
1835,-2.36,-2.85,-1.77
1840,-2.33,-2.83,-1.72
1845,-2.29,-2.8,-1.69
1850,-2.26,-2.77,-1.64
1855,-2.22,-2.74,-1.6
1860,-2.18,-2.72,-1.56
1865,-2.13,-2.7,-1.52
1870,-2.08,-2.67,-1.47
1875,-2.03,-2.63,-1.42
1880,-1.98,-2.59,-1.38
1885,-1.93,-2.55,-1.33
1890,-1.88,-2.51,-1.29
1895,-1.83,-2.46,-1.26
1900,-1.77,-2.41,-1.23
1905,-1.72,-2.35,-1.19
1910,-1.66,-2.28,-1.17
1915,-1.61,-2.2,-1.14
1920,-1.57,-2.13,-1.12
1925,-1.52,-2.05,-1.09
1930,-1.48,-1.97,-1.07
1935,-1.45,-1.89,-1.06
1940,-1.41,-1.82,-1.04
1945,-1.39,-1.77,-1.01
1950,-1.37,-1.75,-0.99
1955,-1.35,-1.74,-0.97
1960,-1.33,-1.71,-0.95
1965,-1.3,-1.67,-0.92
1970,-1.26,-1.62,-0.92
1975,-1.23,-1.57,-0.89
1980,-1.2,-1.55,-0.85
1985,-1.18,-1.54,-0.81
1990,-1.15,-1.53,-0.78
1995,-1.12,-1.5,-0.73
2000,-1.09,-1.48,-0.69
2005,-1.05,-1.45,-0.63
2010,-1.05,-1.47,-0.64
