TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,"paleoDataNotes
",climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
RjZiC2a3uvh,M39_008,MarineSediment,"Cacho, Isabel ; Grimalt, Joan O. ; Canals, Miquel ; Sbaffi, Laura ; Shackleton, Nick J. ; Schoenfeld, Joachim ; Zahn, Rainer",2001,10.1029/2000PA000502,NA,NA,10.2312/reports-ifg.2001.14,NA,39.38,-7.0767,-576,M39_008,NA,0,21497,alkenone,NA,temperature,surface.temp,degC,sst_uk37,NA,T,sea@surface,NA,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M39_008.html
RULOqqCg75A,M75_3_137_3,MarineSediment,"Wang, Yiming V. ; Leduc, Guillaume ; Regenberg, Marcus ; Andersen, Nils ; Larsen, Thomas ; Blanz, Thomas ; Schneider, Ralph R.",2013,10.1002/palo.20053,NA,NA,NA,NA,-18.2412,37.8685,-1339,M75_3_137_3,NA,101,36199,alkenone,NA,temperature,surface.temp,degC,SST_degC,UK37 reproducibility 0.015,T,sea@surface,NA,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M75_3_137_3.html
RcA6vLnL9kR,M77_2_059_1,MarineSediment,"Nuernberg, Dirk ; Boeschen, Tebke ; Doering, Kristin ; Mollier-Vogel, Elfi ; Raddatz, Jacek ; Schneider, Ralph",2015,10.1002/2014PA002706,"Mollier-Vogel, Elfi ; Leduc, Guillaume ; Boeschen, Tebke ; Martinez, Philippe ; Schneider, Ralph R.",2013,10.1016/j.quascirev.2013.06.021,NA,-3.9502,-81.3205,-997,M77_2_059_1,NA,63,17295,alkenone,NA,temperature,surface.temp,degC,SST_degC_Calculated_from_UK'37_Prahl,after Prahl and Wakeham (1987),T,sea@surface,NA,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M77_2_059_1.html
RxsPWmbc8Uw,MD03_2607,MarineSediment,"Lopes dos Santos, Raquel A. ; Spooner, Michelle I. ; Barrows, Timothy T. ; De Deckker, Patrick ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2013,10.1002/palo.20035,"Lopes dos Santos, Raquel A. ; De Deckker, Patrick ; Hopmans, Ellen C. ; Magee, John W. ; Mets, Anchelique ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2013,10.1038/ngeo1856,NA,-36.9607,137.4065,-865,MD03_2607,NA,1100,134800,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC_Calculated_from_UK'37_Prahl,after Prahl and Wakeham (1987),T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,after Prahl and Wakeham (1987),Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD03_2607.html
RPSqWYd5jOI,MD97_2151,MarineSediment,"Zhao, Meixun ; Huang, Chi-Yue ; Wang, Chia-Chun ; Wei, Ganjian",2006,10.1016/j.palaeo.2005.11.033,"Yamamoto, M. ; Sai, H. ; Chen, M.-T. ; Zhao, M.",2013,10.5194/cp-9-2777-2013,NA,8.728,109.869,-1598,MD97_2151,NA,Inf,-Inf,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC,calculated after Pelejero and Grimalt (1997),T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD97_2151.html
Rh47NU9GjOt,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,210,11280,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC,"Calculated from UK37 (Prahl et al., 1988); SST = (UK37-0.039)/0.034",T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
RfOqYf6ktxg,SO90_56KA,MarineSediment,"Doose-Rolinski, Heidi ; Rogalla, Ulf ; Scheeder, Georg ; Lueckge, Andreas ; von Rad, Ulrich",2001,10.1029/2000PA000511,"von Rad, Ulrich ; Schaaf, Michael ; Michels, Klaus H. ; Schulz, Hartmut ; Berger, Wolfgang H. ; Sirocko, Frank",1999,10.1006/qres.1998.2016,NA,24.833,65.916,-695,SO90_56KA,NA,6,4883,alkenone,NA,planktic.d18O,surface.temp,degC,SST_1_12_degC,"Calculated from UK37 (Sonzogni et al., 1998)",T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO90_56KA.html
R0CEJwOB6lD,SU81_18,MarineSediment,"Bard, Edouard ; Fairbanks, Richard ; Arnold, Maurice ; Maurice, Pierre ; Duprat, Josette ; Moyes, Jean ; Duplessy, Jean-Claude",1989,10.1016/0033-5894(89)90045-8,"Bard, E.",2000,10.1126/science.289.5483.1321,NA,37.77,-10.18,-3135,SU81_18,NA,400,31439,alkenone,NA,IRD,surface.temp,degC,SST (1-12) [¬∞C] (Calculated from UK'37 (Prahl ...),(Calculated from UK'37 (Prahl ...),T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SU81_18.html
GH7ecfa0de,18287-3.Kienast.2001,MarineSediment,"Kienast, M.",2001,10.1126/science.1057131,NA,NA,NA,NA,5.7,110.7,-598,18287-3,unassigned,3389,14885,alkenone,NA,temperature,NA,degC,NA,NA,T,SST@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/18287-3.Kienast.2001.html
GH77052c58,74KL_TEX86.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,NA,NA,NA,NA,14.3,57.3,-3212,74KL,unassigned,200,14800,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/74KL_TEX86.Huguet.2006.html
GH4c7e3422,74KL_UK37.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,NA,NA,NA,NA,14.3,57.3,-3212,74KL,unassigned,200,14800,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/74KL_UK37.Huguet.2006.html
GH877588cc,AD9117.Guinta.2001,MarineSediment,"GIUNTA, SIMONA ; EMEIS, KAY-CHRISTIAN ; NEGRI, ALESSANDRA",NA,10.13130/2039-4942/5447,NA,NA,NA,NA,40.9,18.6,-844,AD91-17,unassigned,1990,11370,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/AD9117.Guinta.2001.html
LPDdd0e97b8,AMP112.vanderBilt.2016,LakeSediment,"van der Bilt, Willem G.M. ; D'Andrea, William J. ; Bakke, Jostein ; Balascio, Nicholas L. ; Werner, Johannes P. ; Gjerde, Marthe ; Bradley, Raymond S.",2018,10.1016/j.quascirev.2016.10.006,NA,NA,NA,https://doi.org/10.1594/PANGAEA.868935,35,10.74,0,AMP112,unassigned,1144.5,12353.2,alkenone,NA,temperature,SST,degC,"Temperature, relative [K] (T rel) * PI: van der Bilt, Willem G M (https://orcid.org/0000-0003-3157-451X, willemvanderbilt@gmail.com) * METHOD: Calculated from UK37 (D'Andrea et al., 2016) (URI: https://doi.org/10.1016/j.gca.2015.10.031) * COMMENT: Calculated using the Group I calibration slope presented by D'Andrea et al. (2016). As we could not calibrate UK37 values to in-situ temperature observations for this study (no overlap with instrumental period) - we present the relative values generating by this algorithm.","METHOD: Calculated from UK37 (D'Andrea et al., 2016) (URI: https://doi.org/10.1016/j.gca.2015.10.031) * COMMENT: Calculated using the Group I calibration slope presented by D'Andrea et al. (2016). As we could not calibrate UK37 values to in-situ temperature observations for this study (no overlap with instrumental period) - we present the relative values generating by this algorithm.",T,sea@surface,Summer,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/AMP112.vanderBilt.2016.html
WEB0c142d5f,BrayaSo.vonGunten.2012,LakeSediment,"von Gunten, Lucien ; D'Andrea, William J. ; Bradley, Raymond S. ; Huang, Yongsong",2012,10.1038/srep00609,NA,NA,NA,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/greenland/braya-so2012.txt,66.9875,-51.0333,170,NA,NA,-55,6949,alkenone,NA,temperature,temp,degC,NA,NA,T,water@surface,Summer,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BrayaSo.vonGunten.2012.html
GH2d963782,BS7938,MarineSediment,"Cacho, Isabel ; Grimalt, Joan O. ; Canals, Miquel ; Sbaffi, Laura ; Shackleton, Nick J. ; Schoenfeld, Joachim ; Zahn, Rainer",2001,10.1029/2000PA000502,NA,NA,NA,NA,38.4,13.6,-1489,BS79-38,unassigned,867,24517,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BS7938.html
GH157a6cbf,CH0798GGC19,MarineSediment,"Sachs, Julian P.",2007,10.1029/2006GL028495,NA,NA,NA,NA,36.9,-74.6,-1049,CH07-98-GGC19,unassigned,520,11900,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/CH0798GGC19.html
GH3417a779,"Composit_MD012421,KR0206",MarineSediment,"Isono, Dai ; Yamamoto, Masanobu ; Irino, Tomohisa ; Oba, Tadamichi ; Murayama, Masafumi ; Nakamura, Toshio ; Kawahata, Hodaka",2009,10.1130/G25667A.1,NA,NA,NA,NA,36,141.8,-2224,MD01-2421KR02-06St.AGCKR02-06,unassigned,-41,12010,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,"http://lipdverse.org/globalHolocene/0_23_0/Composit_MD012421,KR0206.html"
LPDc9f78438dp,Core17940,MarineSediment,"Pelejero, Carles ; Grimalt, Joan O. ; Heilig, Stephanie ; Kienast, Markus ; Wang, Luejiang",1999,10.1029/1998PA900015,NA,NA,NA,NA,20.1,117.4,-1968,Core17940,unassigned,13.5,14515,alkenone,NA,temperature,temp,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Core17940.html
GH12a83820,D13822,MarineSediment,"Rodrigues, Teresa ; Grimalt, Joan O. ; Abrantes, Fatima G. ; Flores, Jose A. ; Lebreiro, Susana M.",2009,10.1029/2008GC002367,NA,NA,NA,NA,38.6,-9.5,-88,D13822,unassigned,442,11497.7,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,seasonality not specified in text but infered from general discussion,http://lipdverse.org/globalHolocene/0_23_0/D13822.html
WEB7f30ec1a,Ew0408-85JC.Praetorius.2015,MarineSediment,"Praetorius, S. K. ; Mix, A. C. ; Walczak, M. H. ; Wolhowe, M. D. ; Addison, J. A. ; Prahl, F. G.",2015,10.1038/nature15753,NA,NA,NA,NA,59.55,-144.15,-682,Ew0408-85JC,WNA,680,17390,alkenone,NA,temperature,Temperature,degC,NA,NA,T,sea@surface,NA,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Ew0408-85JC.Praetorius.2015.html
GH5252e1e6,GeoB10235.Kim.2002,MarineSediment,NEEDS AUTHORS!,NA,10.1016/S0012-821X(01)00545-6,NA,NA,NA,NA,-17.2,11,NA,GeoB1023-5,unassigned,310,12710,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB10235.Kim.2002.html
GH6edd69de,GeoB33131.Lamy.2002,MarineSediment,"Lamy, Frank ; Ruehlemann, Carsten ; Hebbeln, Dierk ; Wefer, Gerold",2002,10.1029/2001PA000727,NA,NA,NA,NA,-41,-74.3,NA,GeoB3313-1,unassigned,283.255,6989.938,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB33131.Lamy.2002.html
GH73ebe4aa,GeoB3910.Jaeschke.2007,MarineSediment,"Jaeschke, Andrea ; Ruehlemann, Carsten ; Arz, Helge ; Heil, Gerrit ; Lohmann, Gerrit",2007,10.1029/2006PA001391,NA,NA,NA,NA,-4.2,-36.3,-2362,GeoB3910,unassigned,1310,14930,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB3910.Jaeschke.2007.html
GH0207d98d,GeoB59012.Kim.2004,MarineSediment,"Kim, Jung-Hyun ; Rimbu, Norel ; Lorenz, Stephan J. ; Lohmann, Gerrit ; Nam, Seung-Il ; Schouten, Stefan ; Ruehlemann, Carsten ; Schneider, Ralph R.",2004,10.1016/j.quascirev.2004.08.010,NA,NA,NA,NA,36.4,-7.1,-574,GeoB5901-2,unassigned,1130,9612.5,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB59012.Kim.2004.html
GHfa7d77a6,GeoB65181.Schefu.2005,MarineSediment,"SchefuSS, Enno ; Schouten, Stefan ; Schneider, Ralph R.",2005,10.1038/nature03945,NA,NA,NA,NA,-5.6,11.2,-962,GeoB6518-1,unassigned,30,14690,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB65181.Schefu.2005.html
LPDae761fd0xxxx,GeoB71392.Kaiser.2008,MarineSediment,"Kaiser, Jerome ; SchefuSS, Enno ; Lamy, Frank ; Mohtadi, Mahyar ; Hebbeln, Dierk",2008,10.1016/j.quascirev.2008.08.025,NA,NA,NA,NA,-30.2,-72,NA,GeoB7139-2,unassigned,1160,14950,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB71392.Kaiser.2008.html
LPD5c89a1b5,HAP0212.vanderBilt.2016,LakeSediment,"van der Bilt, Willem G.M. ; D'Andrea, William J. ; Bakke, Jostein ; Balascio, Nicholas L. ; Werner, Johannes P. ; Gjerde, Marthe ; Bradley, Raymond S.",2018,10.1016/j.quascirev.2016.10.006,NA,NA,NA,https://doi.org/10.1594/PANGAEA.868936,79.2593,11.5178,12,HAP0212,unassigned,533.7,11117.3,alkenone,NA,temperature,NA,degC,"Temperature, relative [K] (T rel) * PI: van der Bilt, Willem G M (https://orcid.org/0000-0003-3157-451X, willemvanderbilt@gmail.com) * METHOD: Calculated from UK37 (D'Andrea et al., 2016) (URI: https://doi.org/10.1016/j.gca.2015.10.031) * COMMENT: Calculated using the Group I calibration slope presented by D'Andrea et al. (2016). As we could not calibrate UK37 values to in-situ temperature observations for this study (no overlap with instrumental period) - we present the relative values generating by this algorithm.","METHOD: Calculated from UK37 (D'Andrea et al., 2016) (URI: https://doi.org/10.1016/j.gca.2015.10.031) * COMMENT: Calculated using the Group I calibration slope presented by D'Andrea et al. (2016). As we could not calibrate UK37 values to in-situ temperature observations for this study (no overlap with instrumental period) - we present the relative values generating by this algorithm.",T,lake water,Summer,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/HAP0212.vanderBilt.2016.html
PYT041CE8JO,JR51-GC35.Bendle.2007,MarineSediment,NA,2007,10.1177/0959683607073269,NA,NA,NA,NA,67.59,-17.56,NA,JR51-GC35,NA,61.87,10170.63,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,ANN,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/JR51-GC35.Bendle.2007.html
LPDbfac52bb,LakeQinghai.Hou.2016,LakeSediment,"Hou, Juzhi ; Huang, Yongsong ; Zhao, Jiangtao ; Liu, Zhonghui ; Colman, Steve ; An, Zhisheng",2016,10.1002/2015GL067317,NA,NA,NA,NA,36.8112,100.137,3192,Lake Qinghai,unassigned,0,15629,alkenone,NA,temperature,Temp,degC,lake surface temperature,NA,T,lake@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/LakeQinghai.Hou.2016.html
GH65fb71b9,M25and4KL11.Emeis.2003,LakeSediment,"Emeis, Kay-Christian ; Struck, Ulrich ; Blanz, Thomas ; Kohly, Alexander ; Voβ, Maren",2003,10.1191/0959683603hl634rp,NA,NA,NA,NA,36.7,17.7,-3376,M25/4-KL11,unassigned,150,11160,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,winter,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M25and4KL11.Emeis.2003.html
GH0d9380d7,M350034.Rhlemann,MarineSediment,"Ruehlemann, Carsten ; Mulitza, Stefan ; Mueller, Peter J. ; Wefer, Gerold ; Zahn, Rainer",1999,10.1038/990069,NA,NA,NA,NA,12.1,-61.2,-1299,M35003-4,unassigned,0,14680,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M350034.Rhlemann.html
GH17927ad5,M39008.Cacho.2001,LakeSediment,"Cacho, Isabel ; Grimalt, Joan O. ; Canals, Miquel ; Sbaffi, Laura ; Shackleton, Nick J. ; Schoenfeld, Joachim ; Zahn, Rainer",2001,10.1029/2000PA000502,NA,NA,NA,NA,36.38,-7.1,-576,M39-008,unassigned,1457.5,14672.255,alkenone,NA,temperature,NA,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M39008.Cacho.2001.html
GBG100dogCow,M40-4-SL78.Emeis.2003,MarineSediment,"Emeis, Kay-Christian ; Dawson, Alastair G.",2003,10.1191/0959683603hl622ed,NA,NA,NA,https://doi.pangaea.de/10.1594/PANGAEA.438795,37.036,13.19,-470,M40-4-SL78,unassigned,20,11380,alkenone,NA,temperature,SST,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/M40-4-SL78.Emeis.2003.html
