TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,units,paleoDataNotes,climateVariable,climateVariableDetail,seasonality,direction,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
Rcp0PNTLUmK,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,2000,578000,,planktic foraminifera calcite,planktic.d18O,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
GH7ecfa0de,18287-3.Kienast.2001,MarineSediment,"Kienast, M.",2001,10.1126/science.1057131,,,,,5.7,110.7,-598,18287-3,unassigned,3389,14885,alkenone,,temperature,degC,,T,SST@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/18287-3.Kienast.2001.html
GHff2ff8c2,18287-3.Kienast.2001,MarineSediment,"Kienast, M.",2001,10.1126/science.1057131,,,,,5.7,110.7,-598,18287-3,unassigned,3389,14885,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/18287-3.Kienast.2001.html
RFEy4KwK5eY,2004_804_009_PC,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2008,10.1139/E08-043,,,,,74.19,-81.195,781,2004_804_009_PC,,2034.7,10821,diocyst,dinocyst assemblages,temperature,degC,,T,,,,,,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_25_5/2004_804_009_PC.html
RREXlsg2KKc,2004_804_009_PC,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2008,10.1139/E08-043,,,,,74.19,-81.195,781,2004_804_009_PC,,2034.7,10821,dioncyst,dinocyst assemblages,temperature,degC,,T,,,,,,FALSE,RV,"failed age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_25_5/2004_804_009_PC.html
PYTGVVDEA4T,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,LOOKUP,,temperature,degC,,T,sea@surface,Summer,positive,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYTK94D1X7I,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,,,salinity,psu,,S,SSS,Summer,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYTMC1PJUGV,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,,,Sea_Ice_months,months/year,,ICE,sea@surface,ANN,,,,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYTBK1NM7UX,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,,,Sea_Ice_conc,0-10,,ICE,sea@surface,ANN,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYTZMVDIZTV,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,,,productivity,gcm2,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYTXHBYD399,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,,,A,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
PYT93BAHDDE,2005-804.Ledu.2013,MarineSediment,"Ledu, David ; Rochon, Andre ; de Vernal, Anne ; St-Onge, Guillaume",2013,10.1016/j.quascirev.2010.06.018,,,,,68.9925,-106.5735,-118,2005-804,,1023.6,7730.8,LOOKUP,,temperature,degC,,T,sea@surface,winter+summer,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/2005-804.Ledu.2013.html
Rlf3YywN7Sz,3MPond.Pellatt.2000,LakeSediment,"Barber, Keith ; Brown, Alastair ; Langdon, Peter ; Hughes, Paul",2013,10.1007/s10933-012-9656-8,,,,,49.9833,-121.2167,1950,3M Pond,,0,10714.278,chironomid,,temperature,degC,,T,,July air,positive,WA-PLS,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/3MPond.Pellatt.2000.html
GH67107ce2,74KL_TEX86.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,,,,,14.3,57.3,-3212,74KL,unassigned,200,14800,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/74KL_TEX86.Huguet.2006.html
GH77052c58,74KL_TEX86.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,,,,,14.3,57.3,-3212,74KL,unassigned,200,14800,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/74KL_TEX86.Huguet.2006.html
GH1f0ccd16,74KL_UK37.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,,,,,14.3,57.3,-3212,74KL,unassigned,200,14800,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/74KL_UK37.Huguet.2006.html
GH4c7e3422,74KL_UK37.Huguet.2006,MarineSediment,"Huguet, Carme ; Kim, Jung-Hyun ; Sinninghe Damste, Jaap S. ; Schouten, Stefan",2006,10.1029/2005PA001215,,,,,14.3,57.3,-3212,74KL,unassigned,200,14800,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/74KL_UK37.Huguet.2006.html
LPD5769e44e,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,hole,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPDe51c2779dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,section,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPD292174f8dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,interval,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPD02c025e9dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,radiocarbonDatesAD0x2FBC,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPD05340dbbdp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,d18O,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPDcb260002dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,d18O,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPD28794972dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,d18O,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPD1028d531dp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,0.01,10,,,d18O,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
LPDf4934b2cdp,893A.Kennet.2007,MarineSediment,"Kennett, Douglas J. ; Kennett, James P. ; Erlandson, Jon M. ; Cannariato, Kevin G.",2007,10.1016/j.quascirev.2006.07.019,,,,,34.2875,-120.036,-588,893A,WNA,8.97,10001.922,foraminifera,,bulloidesTemp,degC,ODP893,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,*seasonality not specified explicitly by author but infered from general discussion in text.,http://lipdverse.org/globalHolocene/0_25_5/893A.Kennet.2007.html
GHef885e61,A7.Sun.2005,MarineSediment,"Sun, Youbin ; Oppo, Delia W. ; Xiang, Rong ; Liu, Weiguo ; Gao, Shu",2005,10.1029/2004PA001061,,,,,27.8,127,-1262,A7,unassigned,1084,14975,,,Mg/Ca,mmol/mol,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/A7.Sun.2005.html
GHc64612ff,A7.Sun.2005,MarineSediment,"Sun, Youbin ; Oppo, Delia W. ; Xiang, Rong ; Liu, Weiguo ; Gao, Shu",2005,10.1029/2004PA001061,,,,,27.8,127,-1262,A7,unassigned,1084,14975,Mg/Ca,,temperature,degC,; paleoData_proxy changed - was originally MgCa,T,sea@surface,Summer,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/A7.Sun.2005.html
M2Lupm3c8kbP,Abalone.Cole.1994,LakeSediment,"Mathewes, Rolf W. ; Heusser, Linda E.",1981,10.1139/b81-100,,,,,33.96,-119.98,0,,WNA,-40,6113.9,pollen,,temperature,degC,,T,air@surface,warmest month,,MAT,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/Abalone.Cole.1994.html
M2Luu75cnkxP,Abalone.Cole.1994,LakeSediment,"Mathewes, Rolf W. ; Heusser, Linda E.",1981,10.1139/b81-100,,,,,33.96,-119.98,0,,WNA,-40,6113.9,pollen,,temperature,degC,,T,air@surface,coldest month,positive,MAT,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/Abalone.Cole.1994.html
M2Lhfelk1bfP,Abalone.Cole.1994,LakeSediment,"Mathewes, Rolf W. ; Heusser, Linda E.",1981,10.1139/b81-100,,,,,33.96,-119.98,0,,WNA,-40,6113.9,pollen,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,MAT,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/Abalone.Cole.1994.html
M2Leedqkm0xP,Abalone.Cole.1994,LakeSediment,"Mathewes, Rolf W. ; Heusser, Linda E.",1981,10.1139/b81-100,,,,,33.96,-119.98,0,,WNA,-40,6113.9,pollen,,precipitation,mm,unpublished precip,P,@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,MAT,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/Abalone.Cole.1994.html
GHa369c1ec,AD9117.Guinta.2001,MarineSediment,"GIUNTA, SIMONA ; EMEIS, KAY-CHRISTIAN ; NEGRI, ALESSANDRA",,10.13130/2039-4942/5447,,,,,40.9,18.6,-844,AD91-17,unassigned,1990,11370,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/AD9117.Guinta.2001.html
GH877588cc,AD9117.Guinta.2001,MarineSediment,"GIUNTA, SIMONA ; EMEIS, KAY-CHRISTIAN ; NEGRI, ALESSANDRA",,10.13130/2039-4942/5447,,,,,40.9,18.6,-844,AD91-17,unassigned,1990,11370,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/AD9117.Guinta.2001.html
LPD8e619296,Aden.Tierney.2013,MarineSediment,"Tierney, J. E. ; deMenocal, P. B.",2013,10.1126/science.1240411,,,,https://www.ncdc.noaa.gov/paleo/study/15537,11.955,44.3,-869,Gulf of Aden,unassigned,-21,39019,dD,,dD,permil,,M,,,negative,,,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/Aden.Tierney.2013.html
LPDa059f740,Aden.Tierney.2013,MarineSediment,"Tierney, J. E. ; deMenocal, P. B.",2013,10.1126/science.1240411,,,,https://www.ncdc.noaa.gov/paleo/study/15537,11.955,44.3,-869,Gulf of Aden,unassigned,-21,39019,,,dD,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/Aden.Tierney.2013.html
PYTT52RRIXK,agassiz.Vinther.2009,GlacierIce,"Vinther, B. M. ; Buchardt, S. L. ; Clausen, H. B. ; Dahl-Jensen, D. ; Johnsen, S. J. ; Fisher, D. A. ; Koerner, R. M. ; Raynaud, D. ; Lipenkov, V. ; Andersen, K. K. ; Blunier, T. ; Rasmussen, S. O. ; Steffensen, J. P. ; Svensson, A. M.",2009,10.1038/nature08355,,,,,80.7,-73.1,1730,agassiz,,0,11640,d18O,,d18O,permil v smow,,T,air@surface,ANN,positive,,Temp12k,TRUE,DK,not sure which to use,http://lipdverse.org/globalHolocene/0_25_5/agassiz.Vinther.2009.html
PYTJZTFTNZI,agassiz.Vinther.2009,GlacierIce,"Vinther, B. M. ; Buchardt, S. L. ; Clausen, H. B. ; Dahl-Jensen, D. ; Johnsen, S. J. ; Fisher, D. A. ; Koerner, R. M. ; Raynaud, D. ; Lipenkov, V. ; Andersen, K. K. ; Blunier, T. ; Rasmussen, S. O. ; Steffensen, J. P. ; Svensson, A. M.",2009,10.1038/nature08355,,,,,80.7,-73.1,1730,agassiz,,0,10000,d18O,,d18O,permil v smow,,T,air@surface,ANN,positive,,Temp12k,TRUE,DK,not sure which to use,http://lipdverse.org/globalHolocene/0_25_5/agassiz.Vinther.2009.html
PYTZZK6DD6Y,agassiz.Vinther.2009,GlacierIce,"Vinther, B. M. ; Buchardt, S. L. ; Clausen, H. B. ; Dahl-Jensen, D. ; Johnsen, S. J. ; Fisher, D. A. ; Koerner, R. M. ; Raynaud, D. ; Lipenkov, V. ; Andersen, K. K. ; Blunier, T. ; Rasmussen, S. O. ; Steffensen, J. P. ; Svensson, A. M.",2009,10.1038/nature08355,,,,,80.7,-73.1,1730,agassiz,,-34,11316,,,ice_melt_fraction,percent,,T,air@surface,Summer,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/agassiz.Vinther.2009.html
PYTPGT6SKN4,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,,,hobdob,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
PYTHL70XHKP,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,pollen,,uncertainty.temperature,degC,,T,air@surface,7,positive,,,TRUE-1,,,http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
PYTMUTG3NU9,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,pollen,,uncertainty.temperature,degC,,T,air@surface,7,positive,,,TRUE-2,,,http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
PYTBPHOL9XL,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,,,SunFracMin,unitless,,SUN,surface,6 7 8 9,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
PYTRO9SKJ1N,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,,,SunFracMax,unitless,,SUN,surface,6 7 8 9,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
RAdkAjjn94R,akvaquak.Frechette.2009,LakeSediment,"Frechette, B. ; de Vernal, A.",2009,10.5194/cp-5-347-2009,,,,,66.7833,-63.95,17,akvaquak,,10,8334,pollen,,uncertainty.temperatureComposite,degC,,T,air@surface,7,positive,,Temp12k,TRUE,,"; this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/globalHolocene/0_25_5/akvaquak.Frechette.2009.html
RpANZbbke0R,AlanenLaanijarvi.Heinrichs.2005,LakeSediment,"Heinrichs, Markus ; Peglar, Sylvia ; Bigler, Christian ; Birks, H",2005,10.1080/03009480510012881,,,49.2,6.3,67.97,20.48,365,Alanen Laanijarvi,,-45,8565.18,chironomid,,OriginalSampleID,,,,,,,,,FALSE,SE; RV,"fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_25_5/AlanenLaanijarvi.Heinrichs.2005.html
Ry0uq7BMis9,AlanenLaanijarvi.Heinrichs.2005,LakeSediment,"Heinrichs, Markus ; Peglar, Sylvia ; Bigler, Christian ; Birks, H",2005,10.1080/03009480510012881,,,49.2,6.3,67.97,20.48,365,Alanen Laanijarvi,,-45,8565.18,chironomid,,temperature,degC,,T,,7,positive,WA-PLS,,FALSE,SE; RV,"fails age control, gap >3000 years; removed unreliable values",http://lipdverse.org/globalHolocene/0_25_5/AlanenLaanijarvi.Heinrichs.2005.html
RbQ8xy5Ca4l,AlanenLaanijarvi.Heinrichs.2005,LakeSediment,"Heinrichs, Markus ; Peglar, Sylvia ; Bigler, Christian ; Birks, H",2005,10.1080/03009480510012881,,,49.2,6.3,67.97,20.48,365,Alanen Laanijarvi,,-45,8565.18,chironomid,,uncertainty,,,,,,,,,FALSE,SE; RV,"fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_25_5/AlanenLaanijarvi.Heinrichs.2005.html
RhfDXHC3UTf,AlanenLaanijarvi.Heinrichs.2005,LakeSediment,"Heinrichs, Markus ; Peglar, Sylvia ; Bigler, Christian ; Birks, H",2005,10.1080/03009480510012881,,,49.2,6.3,67.97,20.48,365,Alanen Laanijarvi,,-45,8565.18,chironomid,,uncertainty,,,,,,,,,FALSE,SE; RV,"fails age control, gap >3000 years",http://lipdverse.org/globalHolocene/0_25_5/AlanenLaanijarvi.Heinrichs.2005.html
