year (AD),depth (cm),d18O (permil),temperature (degC),d18O (permil),Mg_Ca (mmol/mol),core ()
1504.66,29.5,-0.58,27.43,-3.13,4.24,34GGC
1500.59,30.5,-0.59,27.36,-3.12,4.21,34GGC
1496.53,31.5,NA,NA,-3.26,NA,34GGC
1492.47,32.5,NA,NA,-3.2,NA,34GGC
1484.54,66,-0.14,28.9,-2.99,5.12,32GGC
1484.34,34.5,-0.32,28.01,-2.99,4.48,34GGC
1480.28,35.5,-0.39,28.32,-3.12,4.61,34GGC
1476.22,36.5,-0.19,28.52,-2.96,4.7,34GGC
1472.16,37.5,-0.39,28.65,-3.2,4.76,34GGC
1449.15,76,NA,NA,-2.85,NA,32GGC
1447.78,43.5,-0.24,27.42,-2.79,4.23,34GGC
1447,71,-0.16,27.5,-2.73,4.52,32GGC
1443.72,44.5,-0.45,27.7,-3.05,4.35,34GGC
1439.66,45.5,NA,NA,-2.98,NA,34GGC
1439.31,81,NA,NA,-2.77,NA,32GGC
1435.59,46.5,-0.59,27.99,-3.25,4.47,34GGC
1431.53,47.5,NA,NA,-3.37,NA,34GGC
1427.47,48.5,-0.47,28.03,-3.14,4.49,34GGC
1423.41,49.5,-0.32,27.92,-2.97,4.44,34GGC
1419.62,91,NA,NA,-2.98,NA,32GGC
1419.34,50.5,-0.3,28.9,-3.15,4.87,34GGC
1415.62,86,-0.18,27.94,-2.84,4.7,32GGC
1415.28,51.5,-0.71,27.84,-3.35,4.4,34GGC
1411.22,52.5,-0.66,27.67,-3.26,4.33,34GGC
1409.77,96,NA,NA,-3.03,NA,32GGC
1407.16,53.5,-0.5,27.88,-3.14,4.42,34GGC
1394.97,56.5,-0.37,28.28,-3.09,4.59,34GGC
1392.6,97,-0.37,27.64,-2.96,4.57,32GGC
1390.91,57.5,-0.34,28.76,-3.16,4.81,34GGC
1386.84,58.5,-0.38,27.4,-2.92,4.22,34GGC
1386.32,100,-0.31,28.18,-3.02,4.8,32GGC
1384.23,101,-0.1,27.71,-2.7,4.6,32GGC
1382.78,59.5,NA,NA,-3.15,NA,34GGC
1380.23,111,NA,NA,-2.78,NA,32GGC
1373.77,106,-0.12,28.5,-2.89,4.94,32GGC
1366.53,63.5,-0.09,28.3,-2.82,4.6,34GGC
1362.47,64.5,NA,NA,-3.38,NA,34GGC
1360.54,121,NA,NA,-2.93,NA,32GGC
1358.57,122,NA,NA,-2.95,NA,32GGC
1358.41,65.5,-0.3,27.63,-2.89,4.32,34GGC
1354.94,115,-0.1,28.16,-2.8,4.79,32GGC
1352.85,116,-0.45,28.24,-3.17,4.82,32GGC
1350.69,126,NA,NA,-2.88,NA,32GGC
1350.28,67.5,-0.35,28.44,-3.11,4.66,34GGC
1342.16,69.5,-0.43,27.78,-3.05,4.38,34GGC
1340.85,131,NA,NA,-3.03,NA,32GGC
1334.03,71.5,-0.09,28.28,-2.81,4.6,34GGC
1332.97,135,NA,NA,-3.05,NA,32GGC
1317.78,75.5,-0.31,28.15,-3.01,4.54,34GGC
1301.53,79.5,-0.42,28.21,-3.13,4.56,34GGC
1293.41,81.5,NA,NA,-3.11,NA,34GGC
1286.91,141,NA,NA,-2.9,NA,32GGC
1285.28,83.5,NA,NA,-3.28,NA,34GGC
1277.16,85.5,NA,NA,-2.97,NA,34GGC
1269.27,143,NA,NA,-2.99,NA,32GGC
1260.91,89.5,-0.31,27.97,-2.97,4.46,34GGC
1252.78,91.5,0.08,28.77,-2.75,4.81,34GGC
1244.66,93.5,NA,NA,-3.03,NA,34GGC
1236.53,95.5,NA,NA,-3.17,NA,34GGC
1228.41,97.5,NA,NA,-2.99,NA,34GGC
1221.23,146,-0.1,28.69,-2.9,5.02,32GGC
1220.28,99.5,-0.28,27.59,-2.86,4.3,34GGC
1212.16,101.5,NA,NA,-3.13,NA,34GGC
1207.55,150,NA,NA,-2.99,NA,32GGC
1198.73,151,NA,NA,-3.24,NA,32GGC
1198.55,104.5,-3.1,NA,NA,NA,34GGC
1193.06,105.5,NA,NA,-3.11,NA,34GGC
1181.15,107.5,-0.29,28.94,-3.15,4.89,34GGC
1169.23,109.5,-0.08,29.14,-2.98,4.99,34GGC
1154.64,156,NA,NA,-3.09,NA,32GGC
1145.4,113.5,-0.24,28.63,-3.04,4.75,34GGC
1133.48,115.5,-0.3,28.86,-3.14,4.85,34GGC
1121.56,117.5,-0.5,28.5,-3.27,4.69,34GGC
1110.55,161,NA,NA,-2.97,NA,32GGC
1109.65,119.5,-0.59,27.76,-3.21,4.37,34GGC
1097.73,121.5,-0.06,29.01,-2.94,4.92,34GGC
1085.81,123.5,-0.21,27.87,-2.85,4.42,34GGC
1073.9,125.5,NA,NA,-2.89,NA,34GGC
1066.45,166,NA,NA,-3,NA,32GGC
1050.06,129.5,NA,NA,-2.71,NA,34GGC
1038.15,131.5,-0.38,28.58,-3.17,4.73,34GGC
1014.31,135.5,-0.14,28.54,-2.92,4.71,34GGC
1002.4,137.5,-0.06,28.43,-2.82,4.66,34GGC
996.8,171,-0.36,28.34,-3.09,4.87,32GGC
990.48,139.5,-0.41,28.15,-3.11,4.54,34GGC
978.56,141.5,NA,NA,-3.2,NA,34GGC
978.27,176,NA,NA,-2.87,NA,32GGC
966.65,143.5,-0.41,28.05,-3.09,4.49,34GGC
960.89,175,-0.25,27.76,-2.87,4.62,32GGC
954.73,145.5,NA,NA,-3.17,NA,34GGC
930.9,149.5,-0.54,28.33,-3.27,4.62,34GGC
918.98,151.5,-0.05,29.03,-2.93,4.93,34GGC
916,180,-0.13,28.59,-2.92,4.98,32GGC
907.06,153.5,-0.3,28.71,-3.11,4.78,34GGC
903.8,181,-0.31,27.88,-2.95,4.67,32GGC
883.23,157.5,NA,NA,-3.01,NA,34GGC
871.31,159.5,-0.55,27.62,-3.14,4.32,34GGC
870.64,186,NA,NA,-2.96,NA,32GGC
859.4,161.5,NA,28.84,NA,4.84,34GGC
835.56,165.5,-0.23,28.74,-3.05,4.8,34GGC
823.65,167.5,-0.05,27.62,-2.64,4.32,34GGC
811.73,169.5,-0.24,28.46,-3,4.67,34GGC
799.81,171.5,-0.43,28.07,-3.11,4.5,34GGC
787.9,173.5,NA,NA,-2.9,NA,34GGC
781.8,191,-0.34,27.59,-2.92,4.55,32GGC
775.98,175.5,NA,NA,-3.2,NA,34GGC
764.06,177.5,-0.14,28.54,-2.92,4.71,34GGC
752.15,179.5,-0.65,28.23,-3.36,4.57,34GGC
740.23,181.5,NA,NA,-2.8,NA,34GGC
728.31,183.5,NA,NA,-3.26,NA,34GGC
720.8,196,-0.64,27.96,-3.3,4.7,32GGC
716.4,185.5,NA,NA,-2.75,NA,34GGC
704.48,187.5,NA,NA,-3.06,NA,34GGC
692.56,189.5,NA,NA,-2.82,NA,34GGC
680.65,191.5,-0.42,28.49,-3.19,4.68,34GGC
668.73,193.5,0.09,28.84,-2.75,4.84,34GGC
659.8,201,-0.55,27.88,-3.19,4.67,32GGC
656.81,195.5,-0.26,28.44,-3.02,4.66,34GGC
644.9,197.5,NA,NA,-3.31,NA,34GGC
632.98,199.5,-0.39,27.45,-2.94,4.24,34GGC
616.57,203.5,-0.38,27.97,-3.04,4.46,34GGC
608.9,205.5,-0.18,28.85,-3.02,4.85,34GGC
601.23,207.5,NA,NA,-3.28,NA,34GGC
598.8,206,-0.42,28.18,-3.12,4.8,32GGC
593.55,209.5,-0.2,28.18,-2.9,4.55,34GGC
585.88,211.5,-0.28,28.53,-3.06,4.71,34GGC
578.21,213.5,-0.26,28.4,-3.01,4.64,34GGC
570.53,215.5,0.15,29.4,-2.81,5.11,34GGC
562.86,217.5,-0.2,28.01,-2.87,4.48,34GGC
555.19,219.5,-0.5,27.33,-3.03,4.2,34GGC
547.51,221.5,-0.21,28.78,-3.04,4.82,34GGC
539.84,223.5,-0.54,27.71,-3.15,4.35,34GGC
537.8,211,-0.57,27.97,-3.23,4.71,32GGC
532.17,225.5,NA,NA,-3.15,NA,34GGC
524.5,227.5,-0.14,28.56,-2.92,4.72,34GGC
516.82,229.5,-0.44,28.4,-3.19,4.65,34GGC
509.15,231.5,-0.45,27.45,-3,4.25,34GGC
501.48,233.5,NA,NA,-3.06,NA,34GGC
486.13,237.5,-0.09,28.5,-2.86,4.69,34GGC
478.46,239.5,-0.23,28.29,-2.96,4.6,34GGC
476.8,216,-0.4,28.4,-3.15,4.89,32GGC
470.78,241.5,-0.15,28.74,-2.97,4.8,34GGC
463.11,243.5,-0.23,27.99,-2.89,4.47,34GGC
455.44,245.5,-0.2,28.62,-3,4.74,34GGC
447.76,247.5,-0.45,28.3,-3.18,4.6,34GGC
440.09,249.5,NA,NA,-3.12,NA,34GGC
432.42,251.5,-0.87,27.36,-3.4,4.21,34GGC
424.75,253.5,-0.08,28.83,-2.92,4.84,34GGC
417.07,255.5,-0.34,28.25,-3.06,4.58,34GGC
415.8,221,-0.44,27.89,-3.08,4.68,32GGC
401.73,259.5,-0.28,28.25,-3,4.58,34GGC
394.05,261.5,NA,NA,-3.27,NA,34GGC
386.38,263.5,-0.54,28.54,-3.32,4.71,34GGC
378.71,265.5,-0.14,28.71,-2.95,4.78,34GGC
371.03,267.5,-0.18,28.84,-3.02,4.84,34GGC
355.69,271.5,NA,NA,-3.08,NA,34GGC
354.8,226,-0.11,28.91,-2.96,5.13,32GGC
348.01,273.5,NA,NA,-2.92,NA,34GGC
340.34,275.5,-0.46,28.29,-3.19,4.6,34GGC
333.65,231,NA,NA,-2.93,NA,32GGC
332.67,277.5,-0.18,29,-3.05,4.92,34GGC
325,279.5,-0.25,29.07,-3.14,4.95,34GGC
317.32,281.5,-0.32,28.46,-3.08,4.67,34GGC
306,230,0.07,29.02,-2.8,5.18,32GGC
294.3,287.5,-0.33,28.56,-3.11,4.72,34GGC
278.96,291.5,-0.44,27.67,-3.04,4.33,34GGC
271.28,293.5,NA,28.83,NA,4.84,34GGC
270.17,241,NA,NA,-3.1,NA,32GGC
268.96,236,-0.14,29.29,-3.08,5.3,32GGC
263.61,295.5,-0.01,28.54,-2.79,4.71,34GGC
255.94,297.5,NA,28.65,NA,4.76,34GGC
248.26,299.5,-0.02,28.2,-2.73,4.56,34GGC
240.59,301.5,NA,28.67,NA,4.77,34GGC
232.92,303.5,-0.34,28.71,-3.15,4.79,34GGC
207.22,246,-0.19,28.69,-2.99,5.02,32GGC
206.7,251,NA,NA,-3.32,NA,32GGC
204.05,307.5,-0.3,28.05,-2.98,4.49,34GGC
188.65,309.5,-0.32,28.55,-3.1,4.71,34GGC
173.25,311.5,-0.14,28.86,-2.98,4.85,34GGC
157.86,313.5,NA,28.93,NA,4.89,34GGC
143.22,261,NA,NA,-3.12,NA,32GGC
142.46,315.5,NA,NA,-3.17,NA,34GGC
139.3,257,-0.5,28.09,-3.18,4.76,32GGC
127.06,317.5,-0.19,29.27,-3.12,5.04,34GGC
117.83,265,NA,NA,-3.07,NA,32GGC
111.66,319.5,-0.16,29,-3.03,4.92,34GGC
111.48,266,NA,NA,-3.25,NA,32GGC
96.26,321.5,-0.35,28.11,-3.04,4.52,34GGC
80.86,323.5,-0.46,28.09,-3.14,4.51,34GGC
65.46,325.5,-0.06,28.31,-2.79,4.61,34GGC
52.87,271,-0.31,28.71,-3.13,5.04,32GGC
50.07,327.5,-0.44,28.54,-3.22,4.71,34GGC
48,276,NA,NA,-2.96,NA,32GGC
19.27,331.5,-0.23,28.34,-2.97,4.62,34GGC
3.87,333.5,-0.45,28.2,-3.16,4.56,34GGC
-57.73,341.5,-0.35,28.43,-3.1,4.66,34GGC
-73.12,343.5,NA,NA,-3.46,NA,34GGC
-134.72,351.5,NA,28.97,NA,4.9,34GGC
-165.52,355.5,NA,NA,-2.91,NA,34GGC
-180.92,357.5,-0.68,28.07,-3.36,4.5,34GGC
-211.71,361.5,NA,NA,-2.92,NA,34GGC
-242.51,365.5,NA,NA,NA,NA,34GGC
-257.91,367.5,-0.16,28.28,-2.88,4.6,34GGC
-304.1,373.5,-0.36,28.58,-3.15,4.72,34GGC
-334.9,377.5,NA,29.06,NA,4.95,34GGC
-350.3,379.5,NA,NA,-2.88,NA,34GGC
-365.7,381.5,NA,NA,-2.91,NA,34GGC
