year (AD),depth (cm),d18O (permil),d18O (permil),temperature (degC),Mg_Ca (mmol/mol)
1075,117,0.44,-3.1,30.59,5.96
1068,118,0.14,-2.98,28.57,4.97
1060,119,0.17,-3,28.81,5.08
1052,120,0.62,-2.74,29.75,5.53
1044,121,0.52,-2.92,30.13,5.72
1036,122,0.22,-2.98,28.96,5.15
1028,123,0.48,-2.88,29.71,5.51
1020,124,0.18,-3.14,29.56,5.44
1012,125,0.05,-3,28.24,4.82
1005,126,0.19,-2.95,28.67,5.02
997.1212121,127,NA,-2.9,NA,NA
989,128,0.22,-3.21,30.05,5.68
981,129,0.11,-3.13,29.17,5.25
973,130,0.38,-2.98,29.72,5.51
965,131,NA,NA,29.45,5.38
957,132,0.49,-2.77,29.27,5.29
949,133,0.38,-2.96,29.62,5.47
942,134,0.35,-2.88,29.1,5.21
934,135,0.36,-2.86,29.05,5.19
926,136,0.29,-2.85,28.68,5.02
918,137,0.48,-2.77,29.19,5.26
910,138,0.53,-2.87,29.9,5.6
895,139,0.23,-2.93,28.78,5.07
879,140,0.25,-3.16,29.99,5.65
864,141,0.38,-2.88,29.26,5.29
849,142,0.68,-2.71,29.87,5.59
833,143,0.53,-2.62,28.74,5.05
818,144,0.26,-3.02,29.34,5.33
803,145,0.26,-3.04,29.46,5.38
787,146,0.48,-2.83,29.49,5.4
772,147,0.25,-3.06,29.51,5.41
757,148,NA,-2.95,NA,NA
726,150,0.35,-3,29.66,5.48
711,151,0.06,-3.19,29.2,5.26
695,152,0.16,-3.11,29.28,5.3
680,153,0.26,-3.02,29.36,5.34
650,155,0.04,-3.08,28.59,4.98
634,156,0.2,-3.13,29.59,5.45
619,157,0.21,-3.01,29.07,5.2
604,158,-0.12,-3.34,29.08,5.2
588,159,0.3,-3.07,29.78,5.54
573,160,0.3,-2.93,29.09,5.21
558,161,0.66,-2.6,29.24,5.28
542,162,0.38,-3,29.82,5.56
527,163,0.27,-2.93,28.98,5.16
512,164,0.38,-2.82,28.96,5.15
496,165,0.54,-2.68,29.04,5.19
481,166,0.13,-3.19,29.54,5.42
466,167,0.15,-3.05,28.96,5.15
450,168,0.14,-3.1,29.16,5.24
435,169,0.38,-2.95,29.59,5.45
420,170,0.05,-3.21,29.24,5.28
404,171,0.22,-3.06,29.33,5.33
389,172,-0.07,-3.12,28.23,4.82
374,173,-0.06,-3.23,28.8,5.08
358,174,0.17,-3.08,29.18,5.25
343,175,0.27,-3.06,29.59,5.45
328,176,0.1,-3.19,29.4,5.36
312,177,0.3,-3.07,29.78,5.54
297,178,-0.01,-3.18,28.84,5.09
282,179,0.39,-3.07,30.22,5.77
266,180,0.15,-3.09,29.16,5.24
251,181,0.12,-3.2,29.53,5.42
236,182,0.35,-2.87,29.04,5.19
220,183,0.15,-3.14,29.38,5.35
205,184,0.01,-3.15,28.76,5.06
190,185,0.11,-3.21,29.53,5.42
175,186,0.32,-2.92,29.15,5.24
159,187,0.2,-3.2,29.92,5.62
144,188,0.06,-3.24,29.45,5.38
129,189,0.11,-3.2,29.48,5.4
113,190,0.02,-3.24,29.23,5.28
98,191,0.13,-3.18,29.5,5.41
83,192,0.06,-3.19,29.18,5.25
67,193,NA,NA,29.23,5.28
52,194,0.19,-3.06,29.2,5.26
37,195,0.25,-3.04,29.39,5.35
21,196,0.12,-3.2,29.52,5.42
6,197,0.18,-3.11,29.39,5.35
-9,198,0.35,-3.05,29.94,5.63
-25,199,0.16,-3.05,28.99,5.16
-40,200,0.2,-2.98,28.89,5.12
-55,201,NA,NA,29.03,5.18
