year (AD),depth (cm),d18O (permil),d13C (permil)
-2640,134.5,-5.59,-5.59
-2675,135.5,-5.54,-5.54
-2710,136.5,-5.77,-5.77
-2745,137.5,-5.59,-5.59
-2780,138.5,-5.62,-5.62
-2815,139.5,-5.55,-5.55
-2850,140.5,-5.7,-5.7
-2885,141.5,-5.85,-5.85
-2920,142.5,-5.82,-5.82
-2955,143.5,-5.82,-5.82
-2990,144.5,-5.84,-5.84
-3025,145.5,-5.77,-5.77
-3067,146.5,-5.87,-5.87
-3118,147.5,-5.85,-5.85
-3168,148.5,-5.79,-5.79
-3218,149.5,-5.75,-5.75
-3269,150.5,-5.77,-5.77
-3319,151.5,-5.68,-5.68
-3369,152.5,-5.58,-5.58
-3420,153.5,-5.86,-5.86
-3470,154.5,-5.79,-5.79
-3520,155.5,-5.79,-5.79
-3571,156.5,-5.84,-5.84
-3621,157.5,-5.88,-5.88
-3671,158.5,-5.68,-5.68
-3722,159.5,-5.69,-5.69
-3772,160.5,-5.83,-5.83
-3809,161.5,-5.78,-5.78
-3832,162.5,-5.91,-5.91
-3855,163.5,-5.85,-5.85
-3878,164.5,-5.57,-5.57
-3901,165.5,-5.51,-5.51
-3924,166.5,-5.55,-5.55
-3947,167.5,-5.69,-5.69
-3970,168.5,-5.52,-5.52
-3994,169.5,-5.87,-5.87
-4017,170.5,-5.92,-5.92
-4040,171.5,-5.82,-5.82
-4063,172.5,-5.88,-5.88
-4086,173.5,-5.78,-5.78
-4109,174.5,-5.7,-5.7
-4132,175.5,-5.68,-5.68
-4155,176.5,-5.84,-5.84
-4178,177.5,-5.93,-5.93
-4201,178.5,-6,-6
-4224,179.5,-5.98,-5.98
-4247,180.5,-6.09,-6.09
-4279,181.5,-6.22,-6.22
-4319,182.5,-6.14,-6.14
-4359,183.5,-6.08,-6.08
-4399,184.5,-6.17,-6.17
-4438,185.5,-6.2,-6.2
-4478,186.5,-6.2,-6.2
-4518,187.5,-5.98,-5.98
-4558,188.5,-6.06,-6.06
-4598,189.5,-5.94,-5.94
-4638,190.5,-6.14,-6.14
-4677,191.5,-5.91,-5.91
-4717,192.5,-5.99,-5.99
-4757,193.5,-5.99,-5.99
-4797,194.5,-5.95,-5.95
-4837,195.5,-5.8,-5.8
-4877,196.5,-5.8,-5.8
-4917,197.5,-5.81,-5.81
-4956,198.5,-5.86,-5.86
-4996,199.5,-5.71,-5.71
