year (AD),thisShouldntBeEmpty (),d18O (permil),d18O ()
1907,-40.72,-35.69,-32.71
1906,-39.63,-36.48,-31.46
1905,-41.64,-36.38,-33.1
1904,-38.74,-34.89,-30.1
1903,-38.31,-35.38,-31.89
1902,-36.19,-32.58,-28.46
1901,-35.75,-33.98,-32.25
1900,-39.48,-35.74,-33.02
1899,-35.97,-34.22,-31.26
1898,-38.62,-34.11,-31.09
1897,-36.89,-34.86,-31.82
1896,-36.59,-34.14,-31.64
1895,-35.5,-32.89,-29.86
1894,-38.64,-33.24,-28.6
1893,-35.2,-32.44,-28.92
1892,-36.62,-33.96,-31.36
1891,-37.34,-33.67,-30.33
1890,-37.98,-34.72,-31.63
1889,-38.68,-33.92,-29.77
1888,-35.17,-33.37,-30.75
1887,-38.17,-33.8,-30.95
1886,-40.12,-35.75,-31.84
1885,-40.52,-35.82,-31.28
1884,-37.73,-35.3,-31.95
1883,-38.33,-34.69,-30.7
1882,-39.85,-35.53,-31.79
1881,-37.87,-36.23,-33.76
1880,-36.09,-32.37,-28.67
1879,-36.44,-35.09,-33.74
1878,-37.1,-34.08,-31.54
1877,-38.08,-34.67,-30.95
1876,-35.14,-33.3,-31.38
1875,-35.01,-33.05,-30.85
1874,-40.13,-33.31,-28.52
1873,-34.63,-34.28,-32.05
1872,-36.52,-31.97,-28.51
1871,-37.33,-33.97,-30.04
1870,-41.37,-33.95,-29.7
1869,-35.98,-36.41,-33.55
1868,-33.78,-33.9,-33.1
1867,-37.93,-33.45,-31.6
1866,-36.58,-34.12,-30.72
1865,-35.87,-34.06,-32.29
1864,-39.14,-34.77,-31.47
1863,-40.1,-36.96,-33.9
1862,-36.99,-34.85,-31.68
1861,-37.48,-34.67,-32.07
1860,-37.63,-35.47,-33.53
1859,-36.72,-35.14,-33.17
1858,-38.22,-35.76,-33.7
1857,-37.86,-34.51,-31.3
1856,-35.19,-34.49,-32.74
1855,-36.45,-33.19,-30.68
1854,-36.92,-34.84,-32.72
1853,-35.51,-34.3,-32.29
1852,-33.87,-32.92,-31.59
1851,-35.26,-32.89,-31.16
1850,-37.37,-34.43,-32.43
1849,-38.39,-35.06,-31.82
1848,-36.73,-34.58,-31.67
1847,-35.05,-33.54,-31.49
1846,-38.07,-34.77,-32.24
1845,-39.04,-34.18,-29.42
1844,-36.18,-33.4,-29.89
1843,-34.79,-33.82,-32.06
1842,-38.8,-32.53,-27.41
1841,-35.05,-32.93,-29.6
1840,-34.82,-32.74,-30.79
1839,-36.24,-33.34,-30.75
1838,-36.55,-32.71,-29.27
1837,-37.96,-33.82,-30.29
1836,-38.51,-36.56,-34.66
1835,-36.28,-34.58,-32.16
1834,-38.5,-33.41,-29.77
1833,-36.34,-35.66,-33.91
1832,-37.18,-33.37,-30
1831,-34.78,-33.39,-30.87
1830,-36.43,-34.29,-33.24
1829,-37.24,-34.49,-31.9
1828,-36.46,-33.9,-30.99
1827,-37.68,-33.61,-30.21
1826,-39.73,-35.97,-32.8
1825,-38.58,-33.87,-28.95
1824,-35.47,-35.48,-33.78
1823,-39.2,-36.32,-35.48
1822,-42.14,-33.86,-26.84
1821,-36.22,-35.28,-31.65
1820,-36.17,-32.51,-28.9
1819,-39.61,-34.09,-30.78
1818,-38.19,-35.24,-31.14
1817,-38.23,-35.02,-31.61
1816,-37.55,-33.16,-29.04
1815,-36.13,-34.33,-31.69
1814,-40.04,-34.73,-31.58
1813,-39.18,-36.41,-33.84
1812,-37.22,-35.63,-33.69
1811,-39.43,-34.91,-30.76
1810,-35.7,-34.65,-30.58
1809,-36.6,-33.62,-31.71
1808,-35.71,-33.68,-31.43
1807,-37.58,-34.84,-32.54
1806,-36.89,-34.61,-32.03
1805,-34.81,-31.75,-28.21
1804,-37.51,-34.08,-31.88
1803,-39.57,-35.02,-31.61
1802,-36.05,-37.7,-36.56
1801,-37.27,-33,-29.07
1800,-34.76,-33.11,-30.67
1799,-35.76,-31.71,-28.03
1798,-36.07,-33.81,-31.77
1797,-36.55,-34.61,-32.28
1796,-37.89,-34.5,-32.24
1795,-37.51,-34.75,-32.21
1794,-37.87,-33.59,-29.7
1793,-38.65,-35.64,-32.39
1792,-36.53,-33.9,-30.6
1791,-39.62,-33.8,-28.56
1790,-36.45,-33.23,-29.16
1789,-36.24,-34.85,-32.53
1788,-37.57,-33.55,-30.42
1787,-34.43,-33.31,-30
1786,-37.49,-32.27,-30.02
1785,-35.65,-34.18,-32.37
1784,-36.39,-35.12,-32.95
1783,-37.78,-32.95,-29.42
1782,-36.09,-33.49,-29.74
1781,-38.02,-34.48,-32.27
1780,-34.89,-34.39,-32.86
1779,-38.05,-33.64,-30.46
1778,-39.09,-36.72,-34.55
1777,-36.31,-34.79,-32.26
1776,-38.6,-33.64,-29.99
1775,-34.87,-33.64,-30.54
1774,-36.41,-34.18,-33.2
1773,-37.48,-36.02,-34.5
1772,-33.01,-33.38,-32.11
1771,-38.17,-33.13,-30.72
1770,-39.12,-35.49,-31.98
1769,-36.05,-35.29,-32.97
1768,-36.57,-33.24,-30.3
1767,-35.9,-34.68,-33.2
1766,-36.33,-33.54,-30.96
1765,-35.12,-33.2,-30.55
1764,-36.01,-32.12,-28.98
1763,-37.44,-33.15,-28.83
1762,-37.45,-33.34,-29.5
1761,-39.36,-35.12,-31.64
1760,-35.63,-33.76,-30.77
1759,-38.49,-35.83,-34.01
1758,-37.12,-35.35,-32.75
1757,-37.67,-34,-30.82
1756,-39.26,-35.54,-31.88
1755,-36.4,-33.6,-30.34
1754,-37.07,-34.9,-32.8
1753,-35.99,-33.28,-30.22
1752,-36.08,-33.49,-30.73
1751,-36.92,-33.9,-31.66
1750,-38.3,-34.65,-30.31
1749,-39.12,-35.42,-32.6
1748,-34.31,-33.29,-31.43
1747,-38.5,-34.97,-32.46
1746,-37.69,-33.37,-29.01
1745,-35.64,-34.88,-33.31
1744,-37.32,-35.07,-33.42
1743,-37.38,-34.76,-32.35
1742,-36.68,-33.37,-29.99
1741,-39.74,-34.89,-31.55
1740,-34.28,-33.6,-31.85
1739,-36.83,-32.98,-30.09
1738,-39.5,-35.61,-32.76
1737,-39.62,-36.11,-32.07
1736,-35.74,-33.44,-30.58
1735,-40.25,-36.37,-32.89
1734,-35.84,-35.24,-32.99
1733,-36.07,-32.5,-29.6
1732,-35.09,-33.91,-31.91
1731,-33.39,-32.1,-29.77
1730,-34.6,-33.17,-32.62
1729,-34.55,-31.77,-29.28
1728,-35.33,-33.36,-31.39
1727,-35.89,-32.14,-29.01
1726,-36.58,-34.06,-31.53
1725,-37.06,-33.25,-29.85
1724,-40.14,-35.1,-31.13
1723,-38.55,-34.58,-30.1
1722,-36.11,-34.45,-30.81
1721,-38.68,-34.73,-33.32
1720,-37.16,-34.24,-30.61
1719,-36.92,-34.71,-32.29
1718,-37.58,-33.35,-29.62
1717,-33.12,-35.27,-34.14
1716,-35.26,-31.65,-29.08
1715,-37.2,-33.59,-30.38
1714,-35.12,-34.04,-30.68
1713,-37.14,-32.35,-30.13
1712,-35.63,-33.73,-31.43
1711,-36.23,-32.07,-28.11
1710,-33.16,-33.17,-31.42
1709,-36.94,-32.98,-30.58
1708,-36.35,-34.45,-32.32
1707,-37.82,-34.5,-31.74
1706,-36.4,-34.37,-31.9
1705,-39.92,-34.92,-31.16
1704,-38.4,-34.59,-29.83
1703,-40.24,-34.83,-30.19
1702,-36.93,-34.62,-31.67
1701,-38.41,-34.57,-31.67
1700,-35.67,-33.35,-29.76
1699,-37.49,-33.98,-30.94
1698,-36.15,-35,-33.57
1697,-37.7,-35.28,-33.51
1696,-37.01,-35.57,-34.04
1695,-36.28,-34.27,-31.85
1694,-37.09,-34.53,-32.51
1693,-37.95,-35.24,-32.73
1692,-36.38,-34.49,-31.99
1691,-38.41,-34.72,-31.32
1690,-36.63,-34.91,-32.76
1689,-40.28,-35.55,-32.57
1688,-38.86,-35.26,-30.84
1687,-35.87,-34.72,-32.69
1686,-36.98,-34.51,-32.54
1685,-36.83,-33.53,-29.73
1684,-32.62,-32.05,-30.28
1683,-35.79,-32.75,-30.48
1682,-38.08,-34.77,-32.1
1681,-38.14,-34.74,-31.35
1680,-40.13,-36.88,-33.8
1679,-36.85,-33.86,-30.9
1678,-36.64,-34.5,-31.65
1677,-38.96,-34.93,-31.96
1676,-35.54,-35.6,-33.66
1675,-34.16,-32.02,-29.5
1674,-33.36,-31.92,-30.06
1673,-37.25,-33.38,-31.18
1672,-36.08,-34,-31.53
1671,-39.09,-35.74,-33.53
1670,-36.37,-34.42,-31.04
1669,-37.15,-34.99,-32.86
1668,-40.26,-35.27,-31.67
1667,-33.67,-31.67,-26.22
1666,-35.37,-32.03,-30.05
1665,-35,-32.99,-30.62
1664,-37.51,-34.23,-32.04
1663,-33.86,-32.51,-30.18
1662,-37.73,-34.01,-31.92
1661,-37.24,-35.07,-32.62
1660,-35.61,-34.25,-32.38
1659,-38.86,-34.38,-31.08
1658,-36.22,-34.14,-31.35
1657,-33.34,-31.94,-29.59
1656,-40.5,-33.4,-29.46
1655,-35.79,-34.88,-31.55
1654,-37.61,-35.63,-33.73
1653,-38.1,-34.07,-30.74
1652,-36.45,-33.53,-29.94
1651,-36.49,-33.95,-31.24
1650,-34.51,-34.44,-32.93
1649,-33.77,-32.32,-30.96
1648,-35.08,-33.96,-33.3
1647,-36.57,-34.63,-33.62
1646,-35.82,-33.31,-29.8
1645,-37.15,-33.54,-31.34
1644,-39.07,-35.57,-31.65
1643,-37.66,-35.3,-33.21
1642,-40.98,-36.07,-31.86
1641,-35.97,-34.86,-31.61
1640,-36.98,-34.23,-32.66
1639,-34.93,-33.75,-31.54
1638,-39.06,-33.8,-29.97
1637,-38.7,-34.4,-30.4
1636,-40.12,-36.22,-32.1
1635,-35.83,-33.69,-31.28
1634,-39.83,-33.61,-28.65
1633,-38.96,-34.69,-29.62
1632,-36.8,-35.63,-33.85
1631,-38.97,-34.79,-31.35
1630,-35.37,-34.36,-31.34
1629,-37.54,-32.58,-28.88
1628,-36.21,-33.12,-29.8
1627,-35.72,-34.6,-32.93
1626,-37.37,-35.07,-33.58
1625,-38.49,-35.11,-32.14
1624,-37.56,-35.44,-32.55
1623,-36.71,-33.99,-31.21
1622,-36.36,-33.74,-30.8
1621,-34.96,-32.78,-30.37
1620,-37.02,-33.51,-30.78
1619,-35.64,-33.73,-31.17
1618,-34.68,-33.43,-31.82
1617,-36.54,-33.43,-30.66
1616,-38.44,-33.87,-30.5
1615,-35.23,-34.31,-31.87
1614,-36.56,-34.45,-32.64
1613,-35.56,-32.9,-29.87
1612,-34.8,-32.95,-30.66
1611,-36.9,-34.11,-32.24
1610,-35.51,-33.74,-31.31
1609,-36.39,-32.15,-28.64
1608,-34.03,-32.62,-30.23
1607,-37.32,-34.05,-32.01
1606,-36.05,-34.21,-31.48
1605,-40.1,-34.96,-31.11
1604,-37.07,-36.06,-32.83
1603,-36.4,-33.45,-31
1602,-39.2,-33.33,-28.82
1601,-34,-34.52,-32.4
1600,-37.32,-33.1,-30.9
1599,-37.52,-36.47,-35.06
1598,-40.55,-36.34,-33.11
1597,-35.63,-34.69,-32.2
1596,-37.73,-35.54,-33.8
1595,-36.66,-35.12,-33.05
1594,-36.85,-34.16,-31.79
1593,-39.65,-35.38,-31.88
1592,-36.05,-35.25,-32.74
1591,-37.22,-33.24,-30.4
1590,-34.9,-32.88,-29.78
1589,-37.18,-33.79,-31.77
1588,-36.64,-34.46,-31.68
1587,-33.52,-32.7,-30.71
1586,-35.01,-32.87,-31.57
1585,-35.36,-32.78,-30.47
1584,-39.4,-35.55,-32.57
1583,-37.2,-34.52,-31.6
1582,-34.84,-35.17,-34.26
1581,-35.39,-33.67,-32.14
1580,-36.87,-33.56,-30.91
1579,-38.06,-33.75,-30.05
1578,-34.6,-33.95,-32.11
1577,-37.58,-34.41,-32.62
1576,-38.96,-36,-33.58
1575,-37.79,-33.73,-29.17
1574,-36.98,-33.04,-28.55
1573,-34.11,-32.66,-30.47
1572,-38.1,-32.91,-29.13
1571,-35.96,-33.9,-31.45
1570,-33.32,-32.73,-30.74
1569,-33.55,-32.38,-31.41
1568,-40.38,-34.91,-31.51
1567,-34.99,-35.26,-33.17
1566,-37.79,-34.8,-32.93
1565,-34.59,-34.77,-33.31
1564,-36.95,-34.99,-33.9
1563,-36.64,-33.34,-29.82
1562,-34.25,-33.88,-32.34
1561,-40.66,-36.78,-34.17
1560,-38.27,-35.72,-32.34
1559,-35.73,-34.59,-32.46
1558,-37.17,-32.97,-29.27
1557,-35.18,-32.82,-29.66
1556,-36.58,-34.01,-31.97
1555,-36.44,-35.56,-33.75
1554,-37.65,-33.75,-31.23
1553,-36.15,-33.76,-30.65
1552,-33.67,-34.04,-33.21
1551,-36.05,-32.8,-30.66
1550,-34.97,-32.91,-29.5
1549,-34.29,-33.08,-32.23
1548,-35.97,-32.93,-30.79
1547,-36.86,-32.82,-28.07
1546,-36.57,-35.21,-33.97
1545,-37.59,-34.24,-31.35
1544,-36.32,-34.56,-32.89
1543,-38.41,-34.19,-29.89
1542,-36.57,-35.02,-32.53
1541,-37.25,-33.08,-29.29
1540,-36.88,-34.46,-32.27
1539,-35.17,-36.04,-35.36
1538,-35.16,-31.95,-29.16
1537,-35.88,-33.72,-31.94
1536,-39.9,-34.97,-31.69
1535,-37.52,-36.17,-33.22
1534,-35.57,-32.31,-29.01
1533,-36.34,-34.25,-32.22
1532,-34.18,-33.27,-31.96
1531,-36.88,-33.71,-30.73
1530,-34.69,-32.29,-29.75
1529,-38.25,-35.3,-33.19
1528,-35.82,-35.32,-34.1
1527,-35.07,-32.78,-30.39
1526,-40.01,-36.11,-34.71
1525,-36.14,-34.74,-30.22
1524,-35.6,-33.78,-32.62
1523,-34.18,-32.85,-31.48
1522,-35.88,-34.12,-32.84
1521,-34.03,-34.51,-33.67
1520,-35.56,-32.25,-29.98
1519,-37.59,-34.48,-32.19
1518,-37.23,-34.94,-32.24
1517,-35.32,-34.05,-32.46
1516,-36.84,-35.11,-33.37
1515,-34.94,-33.07,-30.15
1514,-37.47,-32.5,-29.35
1513,-38.1,-35.75,-33.15
1512,-36.64,-34.18,-31.5
1511,-39.16,-34.45,-30.98
1510,-35.32,-33.27,-29.66
1509,-36.48,-33.18,-30.75
1508,-35.49,-34.31,-32.54
1507,-35.7,-33.47,-30.97
1506,-37.12,-34.68,-32.65
1505,-37.19,-33.39,-29.15
1504,-36.33,-33.84,-31.04
1503,-38.39,-34.93,-32.62
1502,-37.19,-36.01,-33.55
1501,-35.64,-33.52,-31.11
1500,-38.27,-34.92,-32.18
1499,-35.62,-34.21,-31.52
1498,-39.23,-33.51,-29.53
1497,-35.3,-34.44,-31.88
1496,-34.71,-32.58,-30.47
1495,-36.41,-33.73,-31.5
1494,-35.57,-33.51,-31.01
1493,-36.84,-32.82,-29.22
1492,-38.05,-32.44,-27.93
1491,-36.08,-34.37,-31.54
1490,-35.36,-34.42,-32.34
1489,-35.53,-33.69,-32.59
1488,-37.25,-34.37,-31.51
1487,-36.95,-34.31,-31.89
1486,-38.16,-34.74,-31.54
1485,-37.85,-34.34,-31.03
1484,-36,-34.22,-31.85
1483,-38.52,-34.33,-31.05
1482,-37.9,-34.74,-31.04
1481,-36.51,-35.76,-34.3
1480,-36.1,-34.53,-32.72
1479,-36,-32.78,-29.73
1478,-36.09,-34.51,-32.88
1477,-37.69,-33.84,-30.77
1476,-36.32,-35.14,-33.54
1475,-36.16,-35.84,-34.87
1474,-38.97,-33.74,-30.23
1473,-38.86,-34.8,-31.01
1472,-37.31,-34.63,-31.4
1471,-40.24,-35.98,-32.44
1470,-37.23,-36.56,-34.17
1469,-34.26,-34.3,-32.97
1468,-38.86,-34.4,-31.36
1467,-37.78,-33.45,-29.17
1466,-37.5,-32.89,-27.55
1465,-36.38,-34.32,-31.8
1464,-35.53,-32.42,-29.22
1463,-37.92,-34.86,-33.41
1462,-35.9,-33.8,-30.18
1461,-39.53,-34.5,-31.95
1460,-38.06,-36.17,-33.75
1459,-38.14,-34.85,-31.05
1458,-34.22,-32.4,-30.05
1457,-33.84,-31.03,-27.85
1456,-34.73,-31.63,-29.41
1455,-39.63,-33.01,-28.52
1454,-35.98,-34.78,-31.79
1453,-37.22,-34.48,-31.78
1452,-37.53,-31.45,-25.96
1451,-36.57,-33.3,-29.4
1450,-36.17,-33.01,-30.13
1449,-35.83,-34.6,-33.29
1448,-37.98,-34.92,-32.86
1447,-37.82,-36.18,-34.15
1446,-35.75,-35.28,-33.94
1445,-35.7,-35.55,-34.75
1444,-37.71,-34.11,-31.76
1443,-36.49,-33.74,-30.94
1442,-38.98,-35.51,-33.54
1441,-39.74,-34.2,-28.45
1440,-38.32,-33.66,-29.09
1439,-35.09,-34.83,-33.25
1438,-38.29,-33.46,-30.24
1437,-33.71,-33.98,-31.73
1436,-37.75,-33.8,-32.61
1435,-33.75,-32.72,-29.54
1434,-35.94,-33.06,-31.38
1433,-38.5,-34.43,-31.97
1432,-36.29,-35.09,-32.64
1431,-35.67,-32.83,-30.04
1430,-35.55,-33.45,-31.39
1429,-37.94,-34.38,-31.71
1428,-40.21,-35.28,-30.53
1427,-35.39,-35.66,-33.39
1426,-35.28,-33.12,-31.69
1425,-38.32,-33.85,-30.53
1424,-36.05,-33.98,-30.94
1423,-37.28,-34.45,-32.41
1422,-36.39,-33.84,-31
1421,-36.16,-34.34,-32.24
1420,-37.11,-34.22,-30.56
1419,-34.27,-34.99,-34.52
1418,-33.17,-30.65,-28.01
1417,-37.88,-33.49,-31.74
1416,-37.06,-34.72,-31.61
1415,-39.2,-32.9,-27.92
1414,-34.53,-33.59,-30.65
1413,-37.13,-34.2,-32.48
1412,-36.2,-32.63,-29.42
1411,-36.39,-33.21,-29.47
1410,-34.57,-34.46,-32.87
1409,-35.33,-30.23,-26.4
1408,-36.45,-35.13,-34.23
1407,-34.5,-33.08,-30.95
1406,-35.52,-32.74,-30.42
1405,-38.62,-35.77,-33.69
1404,-36.88,-33.6,-29.61
1403,-34.87,-33.24,-31.15
1402,-42.07,-35.43,-31.22
1401,-36.18,-36.13,-34.31
1400,-36.94,-33.97,-31.18
1399,-36.09,-34.06,-31.69
1398,-34.46,-31.93,-28.88
1397,-36.14,-33.2,-30.7
1396,-33.36,-32.05,-29.49
1395,-34.85,-32.41,-30.99
1394,-37.33,-33.71,-31.05
1393,-37.31,-35.5,-33.07
1392,-37.7,-34.1,-30.75
1391,-38.55,-32.05,-26.13
1390,-36.03,-35.23,-33.37
1389,-33.81,-34.27,-32.58
1388,-36.63,-32.25,-30.51
1387,-36.42,-34.5,-32.35
1386,-36.59,-34.91,-33.17
1385,-37.64,-34.31,-31.44
1384,-33.83,-33.51,-31.89
1383,-35.95,-33.81,-32.48
1382,-38.03,-35.66,-33.96
1381,-39.69,-36.62,-34.23
1380,-40.34,-37.45,-34.47
1379,-36.28,-33.98,-30.6
1378,-39.03,-36.28,-34.04
1377,-38.78,-34.51,-30.76
1376,-39.03,-35.71,-32.45
1375,-36.38,-34.71,-32.46
1374,-36.73,-34.26,-31.87
1373,-38.61,-36.19,-33.66
1372,-35.35,-32.39,-28.78
1371,-39.93,-35.21,-33.45
1370,-35.86,-34.93,-31.24
1369,-35.81,-33.42,-31.72
1368,-38.32,-33.48,-29.79
1367,-36.84,-35.06,-32.63
1366,-36.36,-34,-31.64
1365,-39.24,-35.17,-32.86
1364,-39.62,-37.26,-34.4
1363,-35.69,-34.76,-32.6
1362,-35.08,-34.42,-33.3
1361,-36.75,-33.93,-31.88
1360,-36.17,-34.39,-32.14
1359,-36.06,-31.8,-27.6
1358,-34.72,-33.77,-32.12
1357,-36.91,-33.13,-29.56
1356,-38.38,-34.59,-31.38
1355,-34.64,-36.18,-35.35
1354,-37.26,-32.89,-29.9
1353,-36.5,-34.51,-32.84
1352,-40.27,-35.99,-32.05
1351,-35.77,-36.11,-33.83
1350,-36.69,-33.2,-29.67
1349,-36.17,-34.11,-32.15
1348,-33.78,-32.83,-30.8
1347,-35.85,-32.86,-31.06
1346,-35.3,-33.64,-31.88
1345,-37.82,-35.3,-33.21
1344,-37.15,-32.58,-27.89
1343,-36.74,-34.89,-33.23
1342,-35.88,-33.98,-31.4
1341,-38,-34.67,-31.82
1340,-33.79,-33.59,-32.33
1339,-35.09,-32.48,-30.25
1338,-35.54,-34.08,-32.96
1337,-36.99,-33.51,-31.49
1336,-38.5,-34.35,-28
1335,-33.53,-32.11,-30.11
1334,-40.7,-34.81,-31.25
1333,-35.83,-34.45,-31.71
1332,-39.79,-34.99,-31.66
1331,-36.96,-35.7,-33.57
1330,-35.28,-34.83,-32.97
1329,-37.07,-34.35,-33.32
1328,-38.72,-33.39,-28.89
1327,-36.8,-34.52,-31.31
1326,-35.68,-32.83,-29.58
1325,-34.58,-32.04,-28.94
1324,-34.92,-33.35,-32.14
1323,-35.9,-33.75,-31.8
1322,-40.23,-34.48,-30.88
1321,-37.12,-36.14,-33.76
1320,-38.81,-36.94,-35.52
1319,-34.94,-34.76,-33.17
1318,-35.03,-33.51,-32.07
1317,-41.13,-35.21,-31.25
1316,-36.69,-35.46,-32.51
1315,-37.85,-35.15,-33.19
1314,-38.07,-33.3,-28.63
1313,-37.69,-34.03,-29.93
1312,-33.1,-31.24,-28.26
1311,-37.44,-32.69,-29.46
1310,-36.27,-35.23,-33.98
1309,-36.8,-34.78,-32.51
1308,-34.82,-34.27,-33.11
1307,-34.34,-32.19,-29.67
1306,-34.29,-32.41,-30.78
1305,-38.75,-34.17,-31.91
1304,-37.91,-36.07,-33.93
1303,-36.42,-35.65,-34.43
1302,-38.39,-35,-32.72
1301,-34.63,-33.5,-31.4
1300,-37.22,-33.39,-30.98
1299,-35.97,-33.63,-31.08
1298,-40.5,-35.8,-33.37
1297,-32.67,-34.11,-31.83
1296,-37.77,-33.13,-30.03
1295,-33.52,-33.13,-30.87
1294,-38.2,-32.38,-29.21
1293,-40.18,-36.65,-32.92
1292,-37.14,-33.51,-29.65
1291,-37.6,-34.66,-32.08
1290,-36.73,-34.02,-30.69
1289,-37.05,-34.84,-31.82
1288,-41.07,-34.49,-30.69
1287,-36.93,-35,-31.19
1286,-34.38,-33.52,-32.08
1285,-37.69,-32.26,-28.49
1284,-39.88,-36.06,-32.17
1283,-35.24,-34.45,-32.08
1282,-35.63,-34.06,-32.47
1281,-36.19,-34.11,-32.35
1280,-37.56,-33.91,-31.05
1279,-36.58,-33.09,-29.28
1278,-37.3,-34.42,-31.4
1277,-39.8,-33.41,-28.53
1276,-35.99,-34.78,-31.78
1275,-35.76,-34.71,-33.41
1274,-37.5,-33.25,-29.52
1273,-35.77,-33.16,-30.22
1272,-34.77,-32.38,-29.64
1271,-37.23,-34.54,-32.48
1270,-36.38,-34.96,-32.94
1269,-32.78,-31.97,-30.36
1268,-38.69,-35.35,-33.3
1267,-36.37,-34.3,-31.37
1266,-39.15,-34.72,-31.4
1265,-35.29,-34.86,-33.19
1264,-36.58,-34.7,-33.13
1263,-39.96,-34.83,-31.11
1262,-36.86,-35.63,-32.92
1261,-35.99,-34,-31.5
1260,-36.08,-32.58,-29.2
1259,-35.45,-34.23,-32.7
1258,-40.34,-34.47,-30.84
1257,-35.85,-34.2,-30.91
1256,-36.3,-34.21,-32.19
1255,-37.13,-33.92,-31.05
1254,-33.17,-32.87,-31
1253,-35.63,-33.43,-31.84
1252,-39.45,-32.79,-27.97
1251,-34.21,-35.09,-32.71
1250,-34.75,-33.2,-31.6
1249,-30.86,-31.74,-30.78
1248,-36.84,-33.65,-31.38
1247,-38.39,-35.36,-32.95
1246,-37.32,-36.26,-34.32
1245,-35.98,-34.93,-33.52
1244,-34.25,-32.8,-30.6
1243,-39.17,-33.62,-29.42
1242,-34.23,-33.15,-30.89
1241,-36.26,-32.95,-30.51
1240,-36.21,-34.17,-31.93
1239,-36.98,-35.1,-32.86
1238,-36.1,-33.91,-31.31
1237,-36.51,-33.88,-31.84
1236,-38.51,-33.55,-28.7
1235,-38.09,-34.67,-31.33
1234,-36.2,-33.95,-31.29
1233,-36.06,-34.06,-31.98
1232,-38.64,-33.47,-29.75
1231,-36.78,-33.97,-28.46
1230,-39.3,-33.9,-30.85
1229,-41.98,-36.65,-31.82
1228,-37.81,-35.29,-31.47
1227,-36.01,-34.85,-32.68
1226,-39.42,-34.24,-30.67
1225,-38.1,-35.36,-31.61
1224,-36.03,-33.39,-29.75
1223,-32.97,-34.18,-33.46
1222,-36.73,-33.38,-31.32
1221,-34.64,-32.68,-29.62
1220,-31.04,-31.92,-31.08
1219,-37.97,-33.84,-31.31
1218,-35.38,-33.26,-29.87
1217,-37.67,-33.49,-30.05
1216,-35.06,-34.47,-32.98
1215,-36.45,-34.19,-32.16
1214,-36.47,-32.98,-29.86
1213,-34.72,-33.15,-30.96
1212,-35.39,-33.35,-31.37
1211,-35.63,-32.47,-29.8
1210,-38.26,-35.34,-32.65
1209,-36.24,-33.89,-31.12
1208,-32.76,-31.53,-28.81
1207,-36.63,-33.76,-32.07
1206,-36.83,-34.6,-31.68
1205,-37.32,-33.85,-31.04
1204,-35.76,-33.89,-31.06
1203,-36.93,-33.65,-31.3
1202,-35.97,-34.65,-33.21
1201,-37.12,-34.96,-32.76
1200,-39.09,-35.53,-32.65
1199,-34.16,-33.04,-30.26
1198,-39.89,-32.96,-30.04
