year (AD),"depth (mm
)",d18O (permil)
1769.75,2248,-6.14
1769.64,2249,-5.92
1769.53,2250,-5.61
1769.42,2251,-5.46
1769.31,2252,-5.34
1769.19,2253,-5.53
1769.08,2254,-5.82
1768.97,2255,-5.61
1768.75,2256,-6.06
1768.64,2257,-5.85
1768.53,2258,-5.82
1768.42,2259,-5.79
1768.31,2260,-5.06
1768.19,2261,-5.21
1768.08,2262,-5.48
1767.97,2263,-5.9
1767.75,2264,-6.05
1767.65,2265,-5.8
1767.55,2266,-5.99
1767.45,2267,-5.64
1767.35,2268,-5.45
1767.25,2269,-5.11
1767.15,2270,-5.23
1767.05,2271,-5.63
1766.95,2272,-5.91
1766.75,2273,-6.12
1766.65,2274,-6.08
1766.55,2275,-6.17
1766.45,2276,-5.85
1766.35,2277,-5.75
1766.25,2278,-5.27
1766.15,2279,-5.23
1766.05,2280,-5.51
1765.95,2281,-5.85
1765.75,2282,-6.15
1765.66,2283,-6.1
1765.57,2284,-5.84
1765.48,2285,-5.98
1765.39,2286,-5.71
1765.3,2287,-5.66
1765.2,2288,-5.85
1765.11,2289,-5.96
1765.02,2290,-5.86
1764.93,2291,-5.91
1764.75,2292,-6.02
1764.63,2293,-5.64
1764.5,2294,-5.44
1764.38,2295,-5.47
1764.25,2296,-6
1764.13,2297,-5.98
1764,2298,-5.98
1763.75,2299,-5.95
1763.61,2300,-5.67
1763.46,2301,-5.37
1763.32,2302,-5.08
1763.18,2303,-5.43
1763.04,2304,-6.01
1762.75,2305,-5.98
1762.63,2306,-5.95
1762.5,2307,-5.88
1762.38,2308,-5.58
1762.25,2309,-5.16
1762.13,2310,-5.49
1762,2311,-5.87
1761.75,2312,-6.01
1761.63,2313,-5.88
1761.5,2314,-5.69
1761.38,2315,-5.07
1761.25,2316,-4.97
1761.13,2317,-5.46
1761,2318,-5.84
1760.75,2319,-6.14
1760.64,2320,-6.01
1760.53,2321,-5.73
1760.42,2322,-5.43
1760.31,2323,-5.35
1760.19,2324,-5.55
1760.08,2325,-5.71
1759.97,2326,-5.74
1759.75,2327,-5.88
1759.63,2328,-5.84
1759.5,2329,-5.79
1759.38,2330,-5.54
1759.25,2331,-5.3
1759.13,2332,-5.51
1759,2333,-5.79
1758.75,2334,-5.88
1758.63,2335,-5.87
1758.5,2336,-5.6
1758.38,2337,-5.28
1758.25,2338,-5.44
1758.13,2339,-5.92
1758,2340,-5.95
1757.75,2341,-5.99
1757.63,2342,-5.89
1757.5,2343,-5.59
1757.38,2344,-5.54
1757.25,2345,-5.66
1757.13,2346,-5.59
1757,2347,-5.94
1756.75,2348,-5.94
1756.63,2349,-5.81
1756.5,2350,-5.47
1756.38,2351,-5.12
1756.25,2352,-5.15
1756.13,2353,-5.41
1756,2354,-6.15
1755.75,2355,-6.3
1755.65,2356,-6.08
1755.55,2357,-5.75
1755.45,2358,-5.43
1755.35,2359,-5.18
1755.25,2360,-5.43
1755.15,2361,-5.88
1755.05,2362,-6.2
1754.95,2363,-6.15
1754.75,2364,-6.18
1754.64,2365,-5.95
1754.53,2366,-5.46
1754.42,2367,-5.33
1754.31,2368,-5.42
1754.19,2369,-5.55
1754.08,2370,-5.72
1753.97,2371,-5.67
1753.75,2372,-5.85
1753.64,2373,-5.79
1753.53,2374,-5.38
1753.42,2375,-5.16
1753.31,2376,-5.09
1753.19,2377,-5.44
1753.08,2378,-5.84
1752.97,2379,-5.86
1752.75,2380,-5.96
1752.63,2381,-5.84
1752.5,2382,-5.29
1752.38,2383,-5.12
1752.25,2384,-5.49
1752.13,2385,-5.64
1752,2386,-5.86
1751.75,2387,-5.98
1751.63,2388,-5.58
1751.5,2389,-5.48
1751.38,2390,-5.02
1751.25,2391,-4.97
1751.13,2392,-5.27
1751,2393,-5.63
1750.75,2394,-5.82
1750.64,2395,-5.79
1750.53,2396,-5.28
1750.42,2397,-5.3
1750.31,2398,-5.31
1750.19,2399,-5.9
1750.08,2400,-6.08
1749.97,2401,-5.95
1749.75,2402,-6.11
1749.61,2403,-5.98
1749.46,2404,-5.71
1749.32,2405,-5.73
1749.04,2407,-6.04
1748.75,2408,-6.12
1748.65,2409,-5.94
1748.55,2410,-5.92
1748.45,2411,-5.5
1748.35,2412,-5.38
1748.25,2413,-5.3
1748.15,2414,-5.26
1748.05,2415,-5.68
1747.95,2416,-6.3
1747.75,2417,-6.55
1747.64,2418,-6.39
1747.53,2419,-6.23
1747.42,2420,-6.09
1747.31,2421,-5.65
1747.19,2422,-5.62
1747.08,2423,-5.74
1746.97,2424,-6
1746.75,2425,-6.29
1746.63,2426,-6.22
1746.5,2427,-6.07
1746.38,2428,-5.76
1746.25,2429,-5.53
1746.13,2430,-5.22
1746,2431,-5.87
1745.75,2432,-6.14
1745.64,2433,-5.73
1745.53,2434,-5.74
1745.42,2435,-5.66
1745.31,2436,-5.37
1745.19,2437,-5.26
1745.08,2438,-5.65
1744.97,2439,-6.04
1744.86,2440,-6.2
1744.75,2441,-6.2
1744.65,2442,-6.03
1744.55,2443,-6.16
1744.45,2444,-5.84
1744.35,2445,-5.61
1744.25,2446,-5.29
1744.15,2447,-5.52
1744.05,2448,-5.6
1743.95,2449,-5.72
1743.75,2450,-5.85
1743.65,2451,-5.72
1743.55,2452,-5.71
1743.45,2453,-5.57
1743.35,2454,-5.37
1743.25,2455,-5.28
1743.15,2456,-5.46
1743.05,2457,-5.88
1742.95,2458,-6.04
1742.75,2459,-6.2
1742.65,2460,-6.1
1742.55,2461,-6.02
1742.45,2462,-5.75
1742.35,2463,-5.51
1742.25,2464,-5.36
1742.15,2465,-5.47
1742.05,2466,-5.82
1741.95,2467,-5.89
1741.75,2468,-6.08
1741.64,2469,-5.9
1741.53,2470,-5.68
1741.42,2471,-5.75
1741.31,2472,-5.59
1741.19,2473,-5.71
1741.08,2474,-5.64
1740.97,2475,-6.03
1740.75,2476,-6.1
1740.65,2477,-5.94
1740.55,2478,-5.61
1740.45,2479,-5.46
1740.35,2480,-5.31
1740.25,2481,-5.22
1740.15,2482,-5.54
1740.05,2483,-5.86
1739.95,2484,-5.8
1739.75,2485,-5.98
1739.61,2486,-5.94
1739.46,2487,-5.63
1739.32,2488,-5.25
1739.18,2489,-5.23
1739.04,2490,-5.31
1738.75,2491,-5.86
1738.63,2492,-5.65
1738.5,2493,-5.7
1738.38,2494,-5.44
1738.25,2495,-5.33
1738.13,2496,-5.51
1738,2497,-5.83
1737.75,2498,-6.07
1737.65,2499,-5.94
1737.55,2500,-5.67
1737.45,2501,-5.66
1737.35,2502,-5.52
1737.25,2503,-5.48
1737.15,2504,-5.57
1737.05,2505,-5.93
1736.95,2506,-6
1736.75,2507,-6.03
1736.67,2508,-5.91
1736.58,2509,-5.65
1736.5,2510,-5.35
1736.42,2511,-5.33
1736.33,2512,-5.15
1736.25,2513,-4.95
1736.17,2514,-5.75
1736.08,2515,-5.97
1736,2516,-5.82
1735.92,2517,-5.8
1735.75,2518,-5.89
1735.65,2519,-5.16
1735.55,2520,-5.42
1735.45,2521,-5.26
1735.25,2523,-5.28
1735.15,2524,-5.74
1735.05,2525,-5.63
1734.92,2526,-5.69
1734.75,2527,-5.87
1734.63,2528,-5.46
1734.5,2529,-5.48
1734.38,2530,-5.2
1734.25,2531,-5.34
1734.13,2532,-5.76
1734,2533,-6.15
1733.75,2534,-6.19
1733.55,2536,-5.55
1733.45,2537,-5.37
1733.35,2538,-5.12
1733.25,2539,-5.4
1733.15,2540,-5.66
1733.05,2541,-5.95
1732.95,2542,-5.87
1732.75,2543,-5.89
1732.63,2544,-5.36
1732.5,2545,-5.31
1732.38,2546,-5.44
1732.25,2547,-5.82
1732.13,2548,-5.94
1732,2549,-5.86
1731.75,2550,-6.08
1731.65,2551,-5.85
1731.55,2552,-5.49
1731.45,2553,-5.16
1731.35,2554,-5.11
1731.25,2555,-5.39
1731.15,2556,-5.95
1731.05,2557,-6.07
1730.95,2558,-5.8
1730.75,2559,-6.02
1730.63,2560,-5.78
1730.5,2561,-5.51
1730.38,2562,-5.24
1730.25,2563,-5.51
1730.13,2564,-6.06
1730,2565,-5.93
1729.75,2566,-5.98
1729.64,2567,-5.88
1729.53,2568,-5.55
1729.42,2569,-5.59
1729.31,2570,-5.52
1729.19,2571,-5.42
1729.08,2572,-6.09
1728.97,2573,-6.24
1728.75,2574,-6.48
1728.65,2575,-6.26
1728.55,2576,-5.79
1728.45,2577,-5.52
1728.35,2578,-5.54
1728.25,2579,-5.51
1728.15,2580,-5.82
1728.05,2581,-6.1
1727.95,2582,-6.02
1727.75,2583,-6.06
1727.61,2584,-5.97
1727.46,2585,-5.64
1727.32,2586,-5.51
1727.18,2587,-5.47
1727.04,2588,-5.74
1726.89,2589,-5.76
1726.75,2590,-5.89
1726.63,2591,-5.84
1726.5,2592,-5.52
1726.38,2593,-5.25
1726.25,2594,-5.45
1726.13,2595,-5.57
1726,2596,-5.92
1725.75,2597,-5.93
1725.63,2598,-5.69
1725.5,2599,-5.76
1725.38,2600,-5.55
1725.25,2601,-5.24
1725.13,2602,-5.15
1725,2603,-5.17
1724.75,2604,-5.34
1724.63,2605,-5.15
1724.5,2606,-4.9
1724.38,2607,-5.38
1724.25,2608,-5.21
1724.13,2609,-5
1724,2610,-5.44
1723.75,2611,-5.79
1723.64,2612,-5.54
1723.53,2613,-4.98
1723.42,2614,-5.06
1723.31,2615,-4.92
1723.19,2616,-5.39
1723.08,2617,-5.76
1722.97,2618,-5.96
1722.75,2619,-5.99
1722.61,2620,-5.6
1722.46,2621,-5.27
1722.32,2622,-4.95
1722.18,2623,-5.21
1722.04,2624,-5.97
1721.75,2625,-6.05
1721.63,2626,-5.55
1721.5,2627,-5.14
1721.38,2628,-4.96
1721.25,2629,-5.42
1721.13,2630,-5.85
1721,2631,-5.79
1720.75,2632,-6
1720.61,2633,-5.82
1720.46,2634,-5.38
1720.32,2635,-5.45
1720.18,2636,-5.39
1720.04,2637,-6.04
1719.75,2638,-6.04
1719.65,2639,-5.85
1719.55,2640,-5.54
1719.45,2641,-5.52
1719.35,2642,-5.54
1719.25,2643,-5.48
1719.15,2644,-5.47
1719.05,2645,-5.73
1718.95,2646,-5.89
1718.75,2647,-6.08
1718.64,2648,-5.92
1718.53,2649,-6.01
1718.42,2650,-5.19
1718.31,2651,-5.03
1718.19,2652,-5.58
1718.08,2653,-5.87
1717.97,2654,-5.97
1717.75,2655,-6.08
1717.61,2656,-5.6
1717.46,2657,-5.41
1717.32,2658,-5.23
1717.18,2659,-5.42
1717.04,2660,-5.6
1716.75,2661,-6.03
1716.67,2662,-5.95
1716.58,2663,-5.5
1716.5,2664,-5.01
1716.42,2665,-5.07
1716.33,2666,-4.9
1716.25,2667,-4.76
1716.17,2668,-5.4
1716.08,2669,-5.34
1716,2670,-5.69
1715.92,2671,-6.03
1715.75,2672,-6.15
1715.64,2673,-5.58
1715.53,2674,-5.33
1715.42,2675,-5.13
1715.31,2676,-5.31
1715.19,2677,-5.64
1715.08,2678,-5.92
1714.97,2679,-5.98
1714.75,2680,-6.01
1714.64,2681,-5.7
1714.53,2682,-5.37
1714.42,2683,-4.89
1714.31,2684,-5.42
1714.19,2685,-5.37
1714.08,2686,-5.78
1713.97,2687,-5.67
1713.75,2688,-5.75
1713.64,2689,-5.4
1713.53,2690,-5.04
1713.42,2691,-5.25
1713.31,2692,-5.33
1713.19,2693,-5.77
1713.08,2694,-5.68
1712.97,2695,-5.93
1712.75,2696,-6.29
1712.63,2697,-5.96
1712.5,2698,-5.72
1712.38,2699,-5.35
1712.25,2700,-5.31
1712.13,2701,-5.41
1712,2702,-5.87
1711.75,2703,-6.35
1711.65,2704,-5.79
1711.55,2705,-5.79
1711.45,2706,-5.6
1711.35,2707,-5.28
1711.25,2708,-5.54
1711.15,2709,-5.41
1711.05,2710,-6.17
1710.95,2711,-5.78
1710.75,2712,-6.05
1710.67,2713,-5.91
1710.6,2714,-5.76
1710.52,2715,-5.42
1710.44,2716,-5.36
1710.37,2717,-5.54
1710.29,2718,-5.5
1710.21,2719,-5.5
1710.13,2720,-5.43
1710.06,2721,-5.77
1709.98,2722,-5.64
1709.9,2723,-5.75
1709.75,2724,-6.01
1709.64,2725,-5.68
1709.53,2726,-5.79
1709.42,2727,-5.5
1709.31,2728,-5.4
1709.19,2729,-5.3
1709.08,2730,-5.64
1708.97,2731,-5.64
1708.75,2732,-5.7
1708.63,2733,-5.7
1708.5,2734,-5.63
1708.38,2735,-5.1
1708.25,2736,-5.09
1708.13,2737,-5.09
1708,2738,-5.74
1707.75,2739,-5.78
