year (AD),age (BP),d13C (permil),Sr/Ca (mmol/mol),d18O (permil),sample_number (missing)
-1999,3949,-5.92,0.026,-5.98,109
-2022,3972,-5.72,0.026,-5.95,110
-2044,3994,-6.02,0.026,-6.03,111
-2067,4017,-6.3,0.025,-6.19,112
-2090,4040,-6.16,0.025,-6.16,113
-2113,4063,-6.17,0.025,-5.88,114
-2135,4085,-6.06,0.025,-6.11,115
-2158,4108,-6.33,0.026,-5.94,116
-2181,4131,-6.26,0.026,-5.92,117
-2204,4154,-6.16,0.025,-5.99,118
-2226,4176,-6.35,0.025,-5.91,119
-2249,4199,-6.62,0.025,-5.97,120
-2274,4224,-6.11,0.026,-5.61,121
-2301,4251,-5.76,0.026,-5.48,122
-2328,4278,-5.61,0.025,-5.65,123
-2355,4305,-6.16,0.025,-5.4,124
-2383,4333,-5.93,0.026,-5.76,125
-2410,4360,-5.9,0.026,-5.66,126
-2437,4387,-5.78,0.026,-5.97,127
-2464,4414,-5.53,0.027,-5.77,128
-2491,4441,-5.11,0.027,-6.04,129
-2518,4468,-5.48,0.027,-6.03,130
-2545,4495,-5.61,0.026,-5.74,131
-2573,4523,-6.05,0.026,-5.75,132
-2604,4554,-6.18,0.026,-5.77,133
-2639,4589,-5.5,0.026,-5.59,134
-2674,4624,-5.49,0.026,-5.54,135
-2709,4659,-6.26,0.025,-5.77,136
-2744,4694,-5.99,0.025,-5.59,137
-2779,4729,-6.17,0.026,-5.62,138
-2814,4764,-5.98,0.025,-5.55,139
-2849,4799,-5.87,0.025,-5.7,140
-2884,4834,-5.61,0.026,-5.85,141
-2919,4869,-5.61,0.026,-5.82,142
-2954,4904,-5.77,0.025,-5.82,143
-2989,4939,-6.02,0.025,-5.84,144
-3024,4974,-5.84,0.026,-5.77,145
-3066,5016,-6.06,0.025,-5.87,146
-3117,5067,-5.69,0.026,-5.85,147
-3167,5117,-5.41,0.026,-5.79,148
-3217,5167,-5.5,0.025,-5.75,149
-3268,5218,-5.53,0.025,-5.77,150
-3318,5268,-5.46,0.025,-5.68,151
-3368,5318,-5.26,0.025,-5.58,152
-3419,5369,-5.52,0.027,-5.86,153
-3469,5419,-5.56,0.028,-5.79,154
-3519,5469,-5.63,0.028,-5.79,155
-3570,5520,-5.62,0.028,-5.84,156
-3620,5570,-5.56,0.027,-5.88,157
-3670,5620,-5.41,0.027,-5.68,158
-3721,5671,-5.25,0.028,-5.69,159
-3771,5721,-5.35,0.028,-5.83,160
-3808,5758,-5.45,0.028,-5.78,161
-3831,5781,-5.17,0.029,-5.91,162
-3854,5804,-5.55,0.028,-5.85,163
-3877,5827,-5.45,0.028,-5.57,164
-3900,5850,-5.78,0.028,-5.51,165
-3923,5873,-5.79,0.027,-5.55,166
-3946,5896,-5.75,0.028,-5.69,167
-3969,5919,-5.65,0.028,-5.52,168
-3993,5943,-5.67,0.027,-5.87,169
-4016,5966,-5.92,0.026,-5.92,170
-4039,5989,-5.79,0.026,-5.82,171
-4062,6012,-5.81,0.025,-5.88,172
-4085,6035,-5.76,0.027,-5.78,173
-4108,6058,-5.77,0.026,-5.7,174
-4131,6081,-5.73,0.027,-5.68,175
-4154,6104,-5.77,0.026,-5.84,176
-4177,6127,-5.78,0.026,-5.93,177
-4200,6150,-5.48,0.026,-6,178
-4223,6173,-5.47,0.027,-5.98,179
-4246,6196,-5.38,0.026,-6.09,180
-4278,6228,-5.39,0.027,-6.22,181
-4318,6268,-5.37,0.027,-6.14,182
-4358,6308,-5.33,0.026,-6.08,183
-4398,6348,-5.08,0.026,-6.17,184
-4437,6387,-5.14,0.026,-6.2,185
-4477,6427,-5.12,0.026,-6.2,186
-4517,6467,-5.21,0.026,-5.98,187
-4557,6507,-5.22,0.026,-6.06,188
-4597,6547,-5.08,0.027,-5.94,189
-4637,6587,-5.06,0.026,-6.14,190
-4676,6626,-5.14,0.027,-5.91,191
-4716,6666,-5.02,0.026,-5.99,192
-4756,6706,-4.88,0.026,-5.99,193
-4796,6746,-5.05,0.026,-5.95,194
-4836,6786,-5.01,0.028,-5.8,195
-4876,6826,-5.06,0.028,-5.8,196
-4916,6866,-5.02,0.028,-5.81,197
-4955,6905,-4.83,0.029,-5.86,198
-4995,6945,-4.61,0.031,-5.71,199
