year (AD),age (BP),depth (m),C31dDSmow-ice (permil),MAAT (degC),C31dD (permil),C31dDsd (unitless),C31d13C_PDB (permil),C31d13Csd (unitless),MBT (unitless),MBTsd (unitless),CBT (unitless),CBTsd (unitless),pH (pH)
-15716.7,17666.7,3.75,-121.55,16.12,-114.43,0.37,-25.24,0.04,0.59,NA,0.51,NA,6.9
-16058.4,18008.4,3.8,-125.87,15.92,-118.72,0.02,-25.49,0.03,0.58,0,0.51,0,6.89
-16400,18350,3.85,-121.59,15.95,-114.35,0.15,-25.37,0.09,0.57,NA,0.47,NA,6.97
-16673.3,18623.3,3.89,-121.53,15.13,-114.27,0.3,-25.5,0.1,0.54,NA,0.43,NA,7.05
-17010.4,18960.4,3.95,-123.09,15.72,-115.83,1.55,-26.28,0.1,0.57,0,0.48,0,6.96
-17260.8,19210.8,4,-120.79,15.77,-113.52,0.26,-25.6,0.31,0.58,NA,0.53,NA,6.86
-17511.3,19461.3,4.05,-120.94,15.17,-113.67,2.9,-26.38,0.22,0.55,NA,0.47,NA,6.97
-17811.8,19761.8,4.11,-122.98,15.45,-115.75,0.23,-25.7,0.01,0.56,0,0.48,0,6.96
-18012.2,19962.2,4.15,-121.82,15.82,-114.59,1.66,-25.9,0.04,0.57,NA,0.45,NA,7.02
-18262.6,20212.6,4.2,-117.21,15.01,-109.96,0.08,-25.78,0.2,0.56,NA,0.54,NA,6.83
-18513.1,20463.1,4.25,-125.82,15.63,-118.67,0.68,-25.85,0.52,0.57,0,0.51,0,6.89
-18763.5,20713.5,4.3,-123.74,15.3,-116.58,0.26,-26.03,0.11,0.56,NA,0.52,NA,6.87
-19014,20964,4.35,-117.4,15.27,-110.2,0.88,-25.48,0.36,0.56,NA,0.49,NA,6.93
-19264.4,21214.4,4.4,-121.39,15.71,-114.23,0.09,-25.76,0.1,0.57,0,0.49,0,6.93
-19590,21540,4.465,-124.19,16.07,-117.08,1.16,-25.45,0.06,0.58,NA,0.47,NA,6.98
-19765.3,21715.3,4.5,-123.08,15.8,-115.99,0.59,-25.71,0.07,0.56,0.01,0.44,0,7.03
-20029.3,21979.3,4.55,-122.88,16.04,-115.82,1.02,-25.67,0.04,0.57,NA,0.46,NA,7
-20302.2,22252.2,4.6,-122.51,15.66,-115.48,0.2,-25.86,0.08,0.57,NA,0.47,NA,6.97
-20575.2,22525.2,4.65,-125.4,15.17,-118.42,0.29,-25.97,0.1,0.56,0.01,0.52,0.04,6.87
-20902.7,22852.7,4.71,-125.17,14.33,-118.2,0.42,-26.23,0.02,0.54,NA,0.58,NA,6.76
-21121,23071,4.75,-124.1,15.17,-117.15,1.11,-26.05,0.11,0.55,0.01,0.48,0.02,6.95
-21394,23344,4.8,-128.84,15.47,-121.95,3.43,-26.12,0.07,0.56,0,0.46,0.01,7
-21721.5,23671.5,4.86,-123.29,15.26,-116.42,2.44,-25.67,0.06,0.56,NA,0.5,NA,6.91
-21885.3,23835.3,4.89,-118.69,15.85,-111.8,1.17,-25.4,0.1,0.57,0,0.46,0,6.99
-22212.8,24162.8,4.95,-109.43,16.09,-102.52,0.23,-25.22,0.09,0.57,0,0.44,0,7.04
-22461.2,24411.2,5,-116.5,15.42,-109.67,0.03,-25.11,0.22,0.55,NA,0.42,NA,7.06
-22693.1,24643.1,5.05,-107.55,15.59,-100.68,0.07,-25.01,0.08,0.58,NA,0.56,NA,6.8
-22925.1,24875.1,5.1,-120.16,15.89,-113.42,0.65,-25.16,0.24,0.58,0,0.53,0.01,6.85
-23157,25107,5.15,-121.82,15.61,-115.12,1.05,-25.49,0.18,0.56,0,0.48,0.06,6.96
-23389,25339,5.2,-120.16,15.64,-113.47,0.13,-25.43,0.01,0.57,0,0.49,0.01,6.93
-23620.9,25570.9,5.25,-122.3,15.86,-115.68,0.35,-25.28,0.14,0.57,0.03,0.46,0.03,6.99
-23852.9,25802.9,5.3,-123.36,16.31,-116.77,0.8,-25.21,0.45,0.59,NA,0.49,NA,6.94
-24084.9,26034.9,5.35,-128.06,16.19,-121.54,1.95,-25.3,0.23,0.59,NA,0.5,NA,6.92
-24350,26300,5.415,-115.51,15.95,-108.94,0.06,-25.04,0.09,0.58,0,0.49,0,6.94
-24385.2,26335.2,5.45,-121.78,15.6,-115.26,0.1,-25.46,0.16,0.56,NA,0.48,NA,6.96
-24425.4,26375.4,5.49,-122.57,15.98,-116.07,0.81,-25.65,0.05,0.58,NA,0.52,NA,6.88
-24485.7,26435.7,5.55,-111.41,15.8,-104.83,0.81,-25.3,0.14,0.58,0,0.52,0.01,6.87
-24536,26486,5.6,-121.79,16.12,-115.3,0.75,-25.39,0.29,0.59,NA,0.54,NA,6.84
-24586.2,26536.2,5.65,-125.89,15.76,-119.43,2.56,-25,0.28,0.57,0.02,0.48,0.02,6.95
-24636.4,26586.4,5.7,-125.29,15.98,-118.85,0.29,-25.44,0.03,0.57,NA,0.45,NA,7.01
-24666.6,26616.6,5.73,-116.21,15.93,-109.7,0.24,-25.39,0.02,0.58,0,0.49,0.01,6.94
