age (BP),temperature (degC),uncertainty.temperature (missing),temperature (degC),uncertainty.temperature (degC)
12260,-44.8,-42.7,-46.9,-44.88
12270,-44.79,-42.69,-46.89,-44.89
12280,-44.82,-42.72,-46.92,-44.9
12290,-44.87,-42.77,-46.97,-44.91
12300,-44.94,-42.84,-47.04,-44.91
12310,-45.03,-42.93,-47.13,-44.91
12320,-45.12,-43.02,-47.22,-44.91
12330,-45.2,-43.1,-47.3,-44.91
12340,-45.28,-43.18,-47.38,-44.9
12350,-45.33,-43.23,-47.43,-44.9
12360,-45.36,-43.26,-47.46,-44.89
12370,-45.36,-43.26,-47.46,-44.87
12380,-45.32,-43.22,-47.42,-44.86
12390,-45.25,-43.15,-47.35,-44.85
12400,-45.15,-43.05,-47.25,-44.83
12410,-45.02,-42.92,-47.12,-44.81
12420,-44.87,-42.77,-46.97,-44.79
12430,-44.72,-42.62,-46.82,-44.76
12440,-44.56,-42.46,-46.66,-44.74
12450,-44.41,-42.31,-46.51,-44.71
12460,-44.28,-42.18,-46.38,-44.68
12470,-44.17,-42.07,-46.27,-44.65
12480,-44.09,-41.99,-46.19,-44.61
12490,-44.03,-41.93,-46.13,-44.58
12500,-44,-41.9,-46.1,-44.54
12510,-44,-41.9,-46.1,-44.5
12520,-44.01,-41.91,-46.11,-44.46
12530,-44.04,-41.94,-46.14,-44.42
12540,-44.08,-41.98,-46.18,-44.38
12550,-44.12,-42.02,-46.22,-44.33
12560,-44.15,-42.05,-46.25,-44.28
12570,-44.17,-42.07,-46.27,-44.24
12580,-44.18,-42.08,-46.28,-44.19
12590,-44.17,-42.07,-46.27,-44.13
12600,-44.14,-42.04,-46.24,-44.08
12610,-44.1,-42,-46.2,-44.03
12620,-44.05,-41.95,-46.15,-43.97
12630,-43.99,-41.89,-46.09,-43.91
12640,-43.93,-41.83,-46.03,-43.85
12650,-43.87,-41.77,-45.97,-43.79
12660,-43.83,-41.73,-45.93,-43.73
12670,-43.8,-41.7,-45.9,-43.67
12680,-43.79,-41.69,-45.89,-43.61
12690,-43.79,-41.69,-45.89,-43.55
12700,-43.82,-41.72,-45.92,-43.48
12710,-43.86,-41.76,-45.96,-43.42
12720,-43.91,-41.81,-46.01,-43.35
12730,-43.97,-41.87,-46.07,-43.28
12740,-44.02,-41.92,-46.12,-43.22
12750,-44.07,-41.97,-46.17,-43.15
12760,-44.09,-41.99,-46.19,-43.08
12770,-44.1,-42,-46.2,-43.01
12780,-44.07,-41.97,-46.17,-42.94
12790,-44.02,-41.92,-46.12,-42.88
12800,-43.92,-41.82,-46.02,-42.81
12810,-43.79,-41.69,-45.89,-42.74
12820,-43.62,-41.52,-45.72,-42.67
12830,-43.43,-41.33,-45.53,-42.6
12840,-43.2,-41.1,-45.3,-42.53
12850,-42.95,-40.85,-45.05,-42.47
12860,-42.69,-40.59,-44.79,-42.4
12870,-42.41,-40.31,-44.51,-42.33
12880,-42.13,-40.03,-44.23,-42.26
12890,-41.86,-39.76,-43.96,-42.2
12900,-41.59,-39.49,-43.69,-42.13
12910,-41.34,-39.24,-43.44,-42.07
12920,-41.1,-39,-43.2,-42
12930,-40.88,-38.78,-42.98,-41.94
12940,-40.68,-38.58,-42.78,-41.88
12950,-40.5,-38.4,-42.6,-41.81
12960,-40.34,-38.24,-42.44,-41.75
12970,-40.2,-38.1,-42.3,-41.69
12980,-40.09,-37.99,-42.19,-41.63
12990,-39.99,-37.89,-42.09,-41.57
13000,-39.92,-37.82,-42.02,-41.51
13010,-39.88,-37.78,-41.98,-41.46
13020,-39.85,-37.75,-41.95,-41.4
13030,-39.86,-37.76,-41.96,-41.34
13040,-39.89,-37.79,-41.99,-41.29
13050,-39.95,-37.85,-42.05,-41.23
13060,-40.03,-37.93,-42.13,-41.18
13070,-40.14,-38.04,-42.24,-41.13
13080,-40.28,-38.18,-42.38,-41.07
13090,-40.44,-38.34,-42.54,-41.02
13100,-40.61,-38.51,-42.71,-40.97
13110,-40.8,-38.7,-42.9,-40.92
13120,-40.98,-38.88,-43.08,-40.87
13130,-41.17,-39.07,-43.27,-40.82
13140,-41.34,-39.24,-43.44,-40.77
13150,-41.49,-39.39,-43.59,-40.72
13160,-41.62,-39.52,-43.72,-40.67
13170,-41.71,-39.61,-43.81,-40.62
13180,-41.76,-39.66,-43.86,-40.57
13190,-41.77,-39.67,-43.87,-40.52
13200,-41.73,-39.63,-43.83,-40.47
13210,-41.66,-39.56,-43.76,-40.42
13220,-41.54,-39.44,-43.64,-40.37
13230,-41.4,-39.3,-43.5,-40.31
13240,-41.22,-39.12,-43.32,-40.26
13250,-41.03,-38.93,-43.13,-40.21
13260,-40.82,-38.72,-42.92,-40.16
13270,-40.62,-38.52,-42.72,-40.11
13280,-40.42,-38.32,-42.52,-40.05
13290,-40.23,-38.13,-42.33,-40
13300,-40.06,-37.96,-42.16,-39.95
13310,-39.92,-37.82,-42.02,-39.89
13320,-39.8,-37.7,-41.9,-39.84
13330,-39.71,-37.61,-41.81,-39.78
13340,-39.64,-37.54,-41.74,-39.72
13350,-39.59,-37.49,-41.69,-39.67
13360,-39.56,-37.46,-41.66,-39.61
13370,-39.53,-37.43,-41.63,-39.55
13380,-39.51,-37.41,-41.61,-39.49
13390,-39.49,-37.39,-41.59,-39.43
13400,-39.46,-37.36,-41.56,-39.37
13410,-39.42,-37.32,-41.52,-39.31
13420,-39.38,-37.28,-41.48,-39.25
13430,-39.32,-37.22,-41.42,-39.18
13440,-39.25,-37.15,-41.35,-39.12
13450,-39.17,-37.07,-41.27,-39.06
13460,-39.09,-36.99,-41.19,-39
13470,-39.01,-36.91,-41.11,-38.93
13480,-38.93,-36.83,-41.03,-38.87
13490,-38.86,-36.76,-40.96,-38.81
13500,-38.81,-36.71,-40.91,-38.75
13510,-38.77,-36.67,-40.87,-38.68
13520,-38.74,-36.64,-40.84,-38.62
13530,-38.73,-36.63,-40.83,-38.56
13540,-38.73,-36.63,-40.83,-38.5
13550,-38.74,-36.64,-40.84,-38.44
13560,-38.75,-36.65,-40.85,-38.38
13570,-38.76,-36.66,-40.86,-38.32
13580,-38.75,-36.65,-40.85,-38.26
13590,-38.73,-36.63,-40.83,-38.2
13600,-38.69,-36.59,-40.79,-38.15
13610,-38.62,-36.52,-40.72,-38.09
13620,-38.52,-36.42,-40.62,-38.04
13630,-38.4,-36.3,-40.5,-37.99
13640,-38.24,-36.14,-40.34,-37.94
13650,-38.07,-35.97,-40.17,-37.89
13660,-37.87,-35.77,-39.97,-37.84
13670,-37.66,-35.56,-39.76,-37.79
13680,-37.44,-35.34,-39.54,-37.75
13690,-37.22,-35.12,-39.32,-37.71
13700,-37.01,-34.91,-39.11,-37.66
13710,-36.81,-34.71,-38.91,-37.62
13720,-36.63,-34.53,-38.73,-37.58
13730,-36.47,-34.37,-38.57,-37.55
13740,-36.34,-34.24,-38.44,-37.51
13750,-36.23,-34.13,-38.33,-37.48
13760,-36.14,-34.04,-38.24,-37.44
13770,-36.07,-33.97,-38.17,-37.41
13780,-36.02,-33.92,-38.12,-37.38
13790,-35.99,-33.89,-38.09,-37.35
13800,-35.97,-33.87,-38.07,-37.32
13810,-35.96,-33.86,-38.06,-37.29
13820,-35.95,-33.85,-38.05,-37.27
13830,-35.96,-33.86,-38.06,-37.24
13840,-35.97,-33.87,-38.07,-37.21
13850,-35.98,-33.88,-38.08,-37.19
13860,-36.01,-33.91,-38.11,-37.16
13870,-36.06,-33.96,-38.16,-37.14
13880,-36.12,-34.02,-38.22,-37.11
13890,-36.19,-34.09,-38.29,-37.09
13900,-36.3,-34.2,-38.4,-37.06
13910,-36.42,-34.32,-38.52,-37.04
13920,-36.57,-34.47,-38.67,-37.01
13930,-36.74,-34.64,-38.84,-36.98
13940,-36.93,-34.83,-39.03,-36.96
13950,-37.14,-35.04,-39.24,-36.93
13960,-37.36,-35.26,-39.46,-36.9
13970,-37.59,-35.49,-39.69,-36.87
13980,-37.81,-35.71,-39.91,-36.84
13990,-38.02,-35.92,-40.12,-36.81
14000,-38.22,-36.12,-40.32,-36.77
14010,-38.39,-36.29,-40.49,-36.74
14020,-38.53,-36.43,-40.63,-36.7
14030,-38.64,-36.54,-40.74,-36.67
14040,-38.71,-36.61,-40.81,-36.63
14050,-38.74,-36.64,-40.84,-36.59
14060,-38.73,-36.63,-40.83,-36.55
14070,-38.68,-36.58,-40.78,-36.51
14080,-38.6,-36.5,-40.7,-36.47
14090,-38.49,-36.39,-40.59,-36.43
14100,-38.35,-36.25,-40.45,-36.38
14110,-38.19,-36.09,-40.29,-36.34
14120,-38,-35.9,-40.1,-36.29
14130,-37.8,-35.7,-39.9,-36.25
14140,-37.6,-35.5,-39.7,-36.21
14150,-37.38,-35.28,-39.48,-36.16
14160,-37.16,-35.06,-39.26,-36.12
14170,-36.95,-34.85,-39.05,-36.07
14180,-36.74,-34.64,-38.84,-36.03
14190,-36.54,-34.44,-38.64,-35.99
14200,-36.34,-34.24,-38.44,-35.95
14210,-36.17,-34.07,-38.27,-35.91
14220,-36,-33.9,-38.1,-35.88
14230,-35.86,-33.76,-37.96,-35.84
14240,-35.73,-33.63,-37.83,-35.81
14250,-35.63,-33.53,-37.73,-35.78
14260,-35.54,-33.44,-37.64,-35.76
14270,-35.48,-33.38,-37.58,-35.74
14280,-35.43,-33.33,-37.53,-35.72
14290,-35.4,-33.3,-37.5,-35.71
14300,-35.39,-33.29,-37.49,-35.7
14310,-35.38,-33.28,-37.48,-35.69
14320,-35.38,-33.28,-37.48,-35.69
14330,-35.38,-33.28,-37.48,-35.7
14340,-35.37,-33.27,-37.47,-35.71
14350,-35.35,-33.25,-37.45,-35.73
14360,-35.32,-33.22,-37.42,-35.75
14370,-35.27,-33.17,-37.37,-35.78
14380,-35.19,-33.09,-37.29,-35.82
14390,-35.09,-32.99,-37.19,-35.86
14400,-34.97,-32.87,-37.07,-35.91
14410,-34.82,-32.72,-36.92,-35.97
14420,-34.66,-32.56,-36.76,-36.04
14430,-34.48,-32.38,-36.58,-36.11
14440,-34.29,-32.19,-36.39,-36.19
14450,-34.1,-32,-36.2,-36.28
14460,-33.91,-31.81,-36.01,-36.37
14470,-33.74,-31.64,-35.84,-36.48
14480,-33.6,-31.5,-35.7,-36.59
14490,-33.49,-31.39,-35.59,-36.7
14500,-33.41,-31.31,-35.51,-36.83
14510,-33.39,-31.29,-35.49,-36.96
14520,-33.43,-31.33,-35.53,-37.11
14530,-33.53,-31.43,-35.63,-37.25
14540,-33.69,-31.59,-35.79,-37.41
14550,-33.92,-31.82,-36.02,-37.57
14560,-34.22,-32.12,-36.32,-37.74
14570,-34.6,-32.5,-36.7,-37.92
14580,-35.03,-32.93,-37.13,-38.1
14590,-35.53,-33.43,-37.63,-38.29
14600,-36.08,-33.98,-38.18,-38.48
14610,-36.67,-34.57,-38.77,-38.68
14620,-37.31,-35.21,-39.41,-38.89
14630,-37.96,-35.86,-40.06,-39.1
14640,-38.63,-36.53,-40.73,-39.31
14650,-39.31,-37.21,-41.41,-39.53
14660,-39.97,-37.87,-42.07,-39.75
14670,-40.61,-38.51,-42.71,-39.97
14680,-41.22,-39.12,-43.32,-40.2
14690,-41.79,-39.69,-43.89,-40.43
14700,-42.31,-40.21,-44.41,-40.67
14710,-42.78,-40.68,-44.88,-40.9
14720,-43.19,-41.09,-45.29,-41.14
14730,-43.54,-41.44,-45.64,-41.37
14740,-43.84,-41.74,-45.94,-41.61
14750,-44.1,-42,-46.2,-41.85
14760,-44.3,-42.2,-46.4,-42.08
14770,-44.47,-42.37,-46.57,-42.32
14780,-44.62,-42.52,-46.72,-42.56
14790,-44.74,-42.64,-46.84,-42.79
14800,-44.86,-42.76,-46.96,-43.02
14810,-44.97,-42.87,-47.07,-43.25
14820,-45.08,-42.98,-47.18,-43.48
14830,-45.21,-43.11,-47.31,-43.7
14840,-45.34,-43.24,-47.44,-43.92
14850,-45.49,-43.39,-47.59,-44.14
14860,-45.66,-43.56,-47.76,-44.36
14870,-45.83,-43.73,-47.93,-44.57
14880,-46.01,-43.91,-48.11,-44.77
14890,-46.19,-44.09,-48.29,-44.97
14900,-46.36,-44.26,-48.46,-45.17
14910,-46.52,-44.42,-48.62,-45.36
14920,-46.67,-44.57,-48.77,-45.55
14930,-46.79,-44.69,-48.89,-45.74
14940,-46.9,-44.8,-49,-45.91
14950,-46.98,-44.88,-49.08,-46.09
14960,-47.05,-44.95,-49.15,-46.25
14970,-47.1,-45,-49.2,-46.42
14980,-47.13,-45.03,-49.23,-46.57
14990,-47.16,-45.06,-49.26,-46.72
15000,-47.19,-45.09,-49.29,-46.87
15010,-47.23,-45.13,-49.33,-47.01
15020,-47.28,-45.18,-49.38,-47.15
15030,-47.35,-45.25,-49.45,-47.28
15040,-47.44,-45.34,-49.54,-47.41
15050,-47.55,-45.45,-49.65,-47.53
15060,-47.69,-45.59,-49.79,-47.64
15070,-47.84,-45.74,-49.94,-47.75
15080,-48.01,-45.91,-50.11,-47.86
15090,-48.19,-46.09,-50.29,-47.96
15100,-48.37,-46.27,-50.47,-48.06
15110,-48.54,-46.44,-50.64,-48.16
15120,-48.7,-46.6,-50.8,-48.25
15130,-48.83,-46.73,-50.93,-48.33
15140,-48.94,-46.84,-51.04,-48.42
15150,-49.02,-46.92,-51.12,-48.5
15160,-49.06,-46.96,-51.16,-48.57
15170,-49.07,-46.97,-51.17,-48.64
15180,-49.05,-46.95,-51.15,-48.71
15190,-49,-46.9,-51.1,-48.78
15200,-48.92,-46.82,-51.02,-48.85
15210,-48.84,-46.74,-50.94,-48.91
15220,-48.74,-46.64,-50.84,-48.97
15230,-48.65,-46.55,-50.75,-49.03
15240,-48.57,-46.47,-50.67,-49.08
15250,-48.51,-46.41,-50.61,-49.14
15260,-48.47,-46.37,-50.57,-49.19
15270,-48.45,-46.35,-50.55,-49.24
15280,-48.47,-46.37,-50.57,-49.29
15290,-48.51,-46.41,-50.61,-49.33
15300,-48.58,-46.48,-50.68,-49.38
15310,-48.68,-46.58,-50.78,-49.42
15320,-48.8,-46.7,-50.9,-49.47
15330,-48.93,-46.83,-51.03,-49.51
15340,-49.06,-46.96,-51.16,-49.55
15350,-49.2,-47.1,-51.3,-49.59
15360,-49.34,-47.24,-51.44,-49.63
15370,-49.47,-47.37,-51.57,-49.67
15380,-49.58,-47.48,-51.68,-49.71
15390,-49.68,-47.58,-51.78,-49.74
15400,-49.76,-47.66,-51.86,-49.78
15410,-49.83,-47.73,-51.93,-49.81
15420,-49.88,-47.78,-51.98,-49.85
15430,-49.92,-47.82,-52.02,-49.88
15440,-49.94,-47.84,-52.04,-49.91
15450,-49.96,-47.86,-52.06,-49.94
15460,-49.97,-47.87,-52.07,-49.97
15470,-49.97,-47.87,-52.07,-50
15480,-49.98,-47.88,-52.08,-50.03
15490,-49.99,-47.89,-52.09,-50.06
15500,-50,-47.9,-52.1,-50.08
15510,-50.01,-47.91,-52.11,-50.11
15520,-50.04,-47.94,-52.14,-50.13
15530,-50.06,-47.96,-52.16,-50.16
15540,-50.1,-48,-52.2,-50.18
15550,-50.14,-48.04,-52.24,-50.2
15560,-50.18,-48.08,-52.28,-50.22
15570,-50.24,-48.14,-52.34,-50.24
15580,-50.3,-48.2,-52.4,-50.26
15590,-50.37,-48.27,-52.47,-50.28
15600,-50.44,-48.34,-52.54,-50.29
15610,-50.52,-48.42,-52.62,-50.31
15620,-50.6,-48.5,-52.7,-50.32
15630,-50.69,-48.59,-52.79,-50.33
15640,-50.78,-48.68,-52.88,-50.34
15650,-50.87,-48.77,-52.97,-50.35
15660,-50.96,-48.86,-53.06,-50.36
15670,-51.04,-48.94,-53.14,-50.37
15680,-51.12,-49.02,-53.22,-50.38
15690,-51.19,-49.09,-53.29,-50.39
15700,-51.25,-49.15,-53.35,-50.39
15710,-51.29,-49.19,-53.39,-50.4
15720,-51.31,-49.21,-53.41,-50.4
15730,-51.32,-49.22,-53.42,-50.4
15740,-51.3,-49.2,-53.4,-50.4
15750,-51.27,-49.17,-53.37,-50.41
15760,-51.21,-49.11,-53.31,-50.41
15770,-51.14,-49.04,-53.24,-50.41
15780,-51.06,-48.96,-53.16,-50.41
15790,-50.96,-48.86,-53.06,-50.4
15800,-50.86,-48.76,-52.96,-50.4
15810,-50.74,-48.64,-52.84,-50.4
15820,-50.62,-48.52,-52.72,-50.4
15830,-50.5,-48.4,-52.6,-50.4
15840,-50.38,-48.28,-52.48,-50.39
15850,-50.26,-48.16,-52.36,-50.39
15860,-50.14,-48.04,-52.24,-50.39
15870,-50.02,-47.92,-52.12,-50.39
15880,-49.91,-47.81,-52.01,-50.38
15890,-49.79,-47.69,-51.89,-50.38
15900,-49.67,-47.57,-51.77,-50.38
15910,-49.56,-47.46,-51.66,-50.37
15920,-49.45,-47.35,-51.55,-50.37
15930,-49.35,-47.25,-51.45,-50.37
15940,-49.25,-47.15,-51.35,-50.36
15950,-49.17,-47.07,-51.27,-50.36
15960,-49.1,-47,-51.2,-50.36
15970,-49.05,-46.95,-51.15,-50.35
15980,-49.03,-46.93,-51.13,-50.35
15990,-49.04,-46.94,-51.14,-50.35
16000,-49.08,-46.98,-51.18,-50.35
