depth (cm),age (kyr),dateType (),thickness (cm),measurementMaterial (),sensorSpecies (),measurementN (),labID (),age14C (kyr),age14CUncertainty (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr),reservoirAgeUncertainty (kyr),calibrationCurve (),ageUncertainty2sigLo (kyr),ageUncertainty2sigHi (kyr),notes ()
344.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34616,15.31,0.07,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
350.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA32934,15.39,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
355.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38754,15.625,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
358.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA32935,15.48,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
361.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA36181,16.21,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
363.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38755,16.31,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
366.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38756,16.53,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
368.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34617,16.5,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
372.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34618,16.79,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
378.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA32936,16.95,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
382.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34619,17.47,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
386.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34620,17.37,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
388.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA32937,17.41,0.095,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
394.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34621,17.74,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
397.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA36182,17.83,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
400.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34624,16.88,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
402.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA36183,17.89,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
404.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA32938,17.725,0.1,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
405.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38207,18.34,0.14,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
406.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38208,18.41,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
408.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34622,18.44,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
412.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA34623,18.49,0.1,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
414.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38209,17.82,0.1,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
417.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA36184,18.67,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
420.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38228,18.89,0.12,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
429.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA36185,19.05,0.1,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
432.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA39652,18.79,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
434.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA38229,18.22,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
436.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA39653,19.26,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
438.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA39654,19.06,0.1,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
445.5,NA,14C,NA,planktonic foraminifera,G. ruber,NA,KIA39655,20.28,0.12,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
278.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA37022,13.6,0.07,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
293.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA37023,14.17,0.07,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
325.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA36547,15.77,0.07,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
361.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA36548,17.21,0.08,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
382.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA34601,18.25,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
397.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA36549,18.73,0.09,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
417.5,NA,14C,NA,mixed bentic foraminifera,NA,NA,KIA36550,19.81,0.11,NA,NA,NA,NA,NA,NA,NA,used for 14C plateau matching
