depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
1.36,7260,1.26,6770,1.64,1.26,6770,0.7,1.26,6770,50.1,13.22,115000,20.3,27.2,4.61,24656,22.1,25.3,2.4,3.7,0.245,1940,26.89,22.27,1.36,2.41,0.53,0.245,-1.57,NA,0.205,-2.56,NA,0.345,4.53,0.325,2.32
1.46,7740,1.36,7260,1.76,1.36,7260,0.52,1.36,7260,51.5,13.23,115300,NA,27.7,4.62,24716,20.6,25.6,2.1,3.8,0.265,2040,NA,NA,1.46,2.52,0.51,0.265,-1.66,NA,0.225,-2.67,NA,0.385,4.77,0.345,2.18
1.53,8090,1.46,7740,1.73,1.53,8090,0.59,1.53,8090,49.7,13.24,115500,21.2,25.8,4.63,24776,21.1,26.5,2.2,4.1,0.285,2140,27.55,22.04,1.53,2.55,0.21,0.285,-1.54,NA,0.245,-2.65,NA,0.405,4.86,0.385,2.39
1.63,8590,1.53,8090,1.63,1.63,8590,0.68,1.63,8590,46.6,13.25,115800,20.9,26.4,4.64,24836,22,25.8,2.4,3.9,0.305,2240,28.09,21.26,1.63,2.61,0.5,0.305,-1.6,NA,0.26,-2.69,NA,0.425,4.37,0.405,2.25
1.73,9090,1.63,8590,1.55,1.73,9090,0.72,1.73,9090,47,13.26,116000,21.5,NA,4.65,24896,20.1,25.7,2,3.8,0.325,2340,27.33,21.73,1.73,2.64,0.39,0.325,-1.42,NA,0.265,-3.02,NA,0.445,4.47,0.425,2.45
1.83,9590,1.73,9090,1.6,1.83,9590,0.69,1.83,9590,47.9,13.27,116300,21.6,NA,4.66,24956,20.5,25.4,2.1,3.8,0.345,2440,27.53,21.05,1.83,2.65,0.44,0.345,-1.63,NA,0.285,-2.65,NA,0.485,4.76,0.445,2.39
1.93,10090,1.83,9590,1.66,1.93,10090,0.73,1.93,10090,47.3,13.28,116500,21.1,NA,4.67,25017,20.1,25.8,2,3.9,0.365,2540,NA,NA,1.93,2.94,0.3,0.365,-1.43,NA,0.305,-2.6,NA,0.505,4.77,0.485,2.32
2.03,10590,1.93,10090,1.44,2.03,10590,0.7,2.03,10590,48,13.29,116800,21,27.5,4.68,25077,21.1,25.2,2.2,3.7,0.385,2640,28.12,22.06,2.03,2.75,0.44,0.385,-1.64,NA,0.325,-2.77,NA,0.525,4.4,0.505,2.12
2.13,11090,2.03,10590,1.5,2.13,11090,0.64,2.13,11090,50.3,13.3,117000,22.2,NA,4.69,25138,21.9,25.3,2.3,3.7,0.405,2740,28.32,21.41,2.13,2.67,0.45,0.405,-1.4,NA,0.345,-2.82,NA,0.545,4.49,0.525,2.41
2.23,11590,2.13,11090,1.41,2.23,11590,0.76,2.23,11590,51.4,13.31,117200,21.2,27.9,4.7,25198,21.7,25.7,2.3,3.9,0.425,2840,27.14,22.35,2.23,2.93,0.17,0.425,-1.58,NA,0.36,-2.66,NA,0.585,4.47,0.545,2.62
2.33,12110,2.23,11590,1.44,2.33,12110,0.71,2.33,12110,54,13.32,117500,20.5,28.4,4.71,25259,22.7,25.9,2.5,3.9,0.445,2950,27.38,22.08,2.33,3.11,0.26,0.445,-1.44,NA,0.365,-2.66,NA,0.605,4.77,0.585,2.35
2.43,12630,2.33,12110,1.63,2.43,12630,0.57,2.43,12630,56.3,13.33,117700,20.9,28,4.72,25320,21.5,25.7,2.3,3.9,0.465,3050,NA,NA,2.43,2.81,0.34,0.465,-1.74,NA,0.385,-2.63,NA,0.625,4.73,0.605,2.18
2.53,13170,2.43,12630,1.44,2.53,13170,0.69,2.53,13170,56.1,13.34,118000,20.7,28.4,4.73,25381,20.5,25.4,2.1,3.8,0.485,3150,28.1,21.75,2.53,3.03,0.39,0.485,-1.56,NA,0.405,-2.63,NA,0.645,4.77,0.625,2.37
2.63,13700,2.53,13170,1.41,2.63,13700,1.01,2.63,13700,53.7,13.35,118200,21.9,27.9,4.74,25442,20.8,25.6,2.1,3.8,0.505,3250,28.12,20.73,2.63,3.33,0.28,0.505,-1.68,NA,0.425,-2.78,NA,0.685,4.71,0.645,2.42
2.73,14230,2.63,13700,1.49,2.83,14770,0.88,2.83,14770,54.5,13.36,118400,21.4,28.3,4.75,25503,20.2,26.1,2,4,0.525,3350,27.2,22.14,2.73,3.15,0.3,0.525,-1.52,NA,0.445,-2.7,NA,0.705,4.43,0.705,2.35
2.83,14770,2.73,14230,1.36,2.93,15310,0.83,2.93,15310,56.2,13.37,118700,22.1,27.8,4.76,25565,20.5,25.9,2.1,3.9,0.545,3450,27.45,23.07,2.83,3.27,0.23,0.545,-1.55,NA,0.46,-2.56,NA,0.725,4.6,0.725,2.34
2.93,15310,2.83,14770,1.37,3.02,15800,0.92,3.02,15800,56.3,13.38,118900,22.1,28.7,4.77,25626,20.3,25.3,2,3.7,0.565,3550,NA,NA,2.93,3.37,0.31,0.565,-1.53,NA,0.465,-2.94,NA,0.745,4.75,0.745,2.39
3.02,15800,2.93,15310,1.41,3.12,16360,0.67,3.12,16360,57.4,13.39,119100,22.2,28.6,4.78,25687,21.5,26.3,2.3,4.1,0.585,3650,27.4,21.9,3.02,3.37,0.29,0.585,-1.88,NA,0.485,-2.67,NA,0.785,4.61,0.785,2.6
3.12,16360,3.02,15800,1.45,3.22,16930,0.93,3.22,16930,52.8,13.4,119400,21.5,29.3,4.79,25749,20.6,25.8,2.1,3.9,0.605,3750,28.11,21.05,3.12,3.48,0.26,0.605,-1.62,NA,0.505,-2.66,NA,0.805,4.78,0.805,2.41
3.22,16930,3.12,16360,1.45,3.32,17500,0.97,3.32,17500,53,13.41,119600,21.2,28.2,4.8,25811,20.5,25.7,2.1,3.8,0.625,3850,28.02,22,3.22,3.76,0.25,0.625,-1.69,NA,0.525,-2.53,NA,0.825,4.61,0.825,2.4
3.32,17500,3.22,16930,1.56,3.42,18090,1.11,3.42,18090,52.2,13.42,119800,22.4,28.1,4.81,25872,20.9,26.4,2.2,4.1,0.645,3950,28.11,22.19,3.32,3.78,0.15,0.645,-1.77,NA,0.545,-2.67,NA,0.845,4.57,0.845,2.43
3.42,18090,3.32,17500,1.47,3.52,18670,0.9,3.52,18670,54.7,13.43,120000,22.1,29.1,4.82,25934,21.4,25.5,2.3,3.8,0.665,4050,NA,NA,3.42,3.92,0.11,0.665,-1.62,NA,0.56,-2.67,NA,0.885,4.76,0.885,2.46
3.52,18670,3.42,18090,1.44,3.62,19270,1.07,3.62,19270,52.5,13.44,120300,21.3,28.2,4.83,25996,20.9,26.2,2.1,4,0.685,4150,27.96,NA,3.52,3.74,0.16,0.685,-1.58,NA,0.565,-2.83,NA,0.905,4.45,0.905,2.59
3.62,19270,3.52,18670,1.54,3.72,19870,1.08,3.72,19870,53.5,13.45,120500,22,28.9,4.84,26058,20.7,25.5,2.1,3.8,0.705,4250,27.3,21.9,3.62,3.92,0.1,0.705,-1.71,NA,0.585,-2.72,NA,0.925,4.69,0.925,2.29
3.72,19870,3.62,19270,1.66,3.82,20470,1.28,3.82,20470,51.2,13.46,120700,22.3,29,4.85,26121,20.8,25.4,2.1,3.8,0.725,4350,27.7,21.83,3.72,3.96,0.08,0.725,-1.7,NA,0.605,-2.91,NA,0.945,4.59,0.945,2.42
3.82,20470,3.72,19870,1.55,3.92,21090,1.01,3.92,21090,54.2,13.47,120900,22.4,28.9,4.86,26183,21.1,25.1,2.2,3.7,0.745,4450,28.06,22.08,3.82,4.02,0.09,0.745,-1.93,NA,0.625,-2.62,NA,0.985,4.69,0.985,2.48
3.92,21090,3.82,20470,1.57,4.02,21710,1.24,4.02,21710,50.7,13.48,121100,23.1,28.8,4.87,26245,21.2,25.2,2.2,3.7,0.765,4560,NA,NA,3.92,4.05,0.08,0.765,-1.62,NA,0.645,-2.6,NA,1.005,4.94,1.005,2.66
4.02,21710,3.92,21090,1.44,4.12,22320,1.17,4.12,22320,51.5,13.49,121300,22.6,29.3,4.88,26308,21.1,24.8,2.2,3.5,0.785,4660,27.74,23,4.02,3.97,0.08,0.785,-1.57,NA,0.66,-2.55,NA,1.025,4.79,1.025,2.36
4.12,22320,4.02,21710,1.6,4.22,22920,1.25,4.22,22920,52.5,13.5,121500,22.4,29.4,4.89,26370,21.4,25.9,2.3,3.9,0.805,4760,28.13,22.17,4.12,3.95,0.11,0.805,-1.53,NA,0.665,-3.15,NA,1.045,4.58,1.045,2.53
4.22,22920,4.12,22320,1.63,4.32,23540,1.28,4.32,23540,49.7,13.51,121800,NA,29.2,4.9,26433,20.7,26.1,2.1,4,0.825,4860,27.73,22.11,4.22,3.96,0.06,0.825,-1.58,NA,0.685,-2.79,NA,1.085,4.73,1.085,2.36
4.32,23540,4.22,22920,1.51,4.42,24160,1.2,4.42,24160,50.4,13.52,122000,23.6,28.7,4.91,26496,21,25.5,2.2,3.8,0.845,4960,27.63,22.27,4.32,3.96,0.1,0.845,-1.81,NA,0.705,-2.66,NA,1.105,4.8,1.105,2.23
4.42,24160,4.32,23540,1.59,4.51,24790,1.16,4.51,24730,51,13.53,122200,22.5,29.1,4.92,26559,21.2,25.7,2.2,3.8,0.865,5060,NA,NA,4.42,3.87,0.18,0.865,-1.76,NA,0.725,-2.76,NA,1.125,5.06,1.125,2.54
4.51,24730,4.42,24160,1.68,4.61,25440,1.12,4.61,25370,51.3,13.54,122400,22.7,29,4.93,26622,21,25.3,2.2,3.7,0.885,5160,28.08,22.39,4.48,3.88,0.08,0.885,-1.87,NA,0.745,-2.61,NA,1.145,4.54,1.145,2.63
4.61,25370,4.51,24730,1.62,4.71,26090,1.1,4.71,26020,50.8,13.55,122600,22.9,NA,4.94,26685,20.5,25.5,2.1,3.8,0.905,5260,27.33,22.94,4.5,3.9,0.07,0.905,-1.81,NA,0.76,-2.71,NA,1.185,4.95,1.185,2.37
4.71,26020,4.61,25370,1.52,4.81,26740,1.19,4.81,26680,48,13.56,122800,22.8,29,4.95,26748,20.3,25.1,2,3.6,0.925,5360,27.91,21.59,4.51,3.85,0.08,0.925,-1.6,NA,0.765,-2.73,NA,1.205,4.84,1.205,2.63
4.81,26680,4.71,26020,1.84,4.91,27410,1.25,4.91,27350,48.8,13.57,123000,22.9,29,4.96,26811,20.7,25.3,2.1,3.7,0.945,5460,27.69,22.22,4.52,3.95,0.02,0.945,-1.6,NA,0.785,-2.57,NA,1.225,5.06,1.225,2.6
4.91,27350,4.81,26680,1.77,5.01,28090,1.14,5.01,28020,48,13.58,123200,23.6,NA,4.97,26875,20.4,24.5,2.1,3.5,0.965,5560,NA,NA,4.53,3.9,0.04,0.965,-1.61,NA,0.805,-2.68,NA,1.245,5.01,1.245,2.5
5.01,28020,4.91,27350,1.9,5.11,28780,1.07,5.11,28710,49.9,13.59,123400,23.6,29,4.98,26938,21,24.8,2.2,3.5,0.985,5660,27.91,22.48,4.54,3.86,0.09,0.985,-1.75,NA,0.825,-2.57,NA,1.285,4.54,1.285,2.58
5.11,28710,5.01,28020,1.86,5.21,29480,1.18,5.21,29410,50,13.6,123600,23.2,28.8,4.99,27002,21.4,24.7,2.3,3.5,1.005,5760,28.49,23.25,4.55,3.84,0.04,1.005,-1.64,NA,0.845,-2.68,NA,1.305,5.05,1.305,2.33
5.21,29410,5.11,28710,1.59,5.31,30190,1.13,5.31,30120,48.3,13.61,123800,23.9,28.8,5,27065,21,24.5,2.2,3.4,1.025,5860,28.16,21.93,4.56,3.82,0.09,1.025,-1.59,NA,0.86,-2.56,NA,1.325,4.58,1.325,2.46
5.31,30120,5.21,29410,1.85,5.41,30920,1.05,5.41,30840,48.8,13.62,124000,23.8,28.7,5.01,27129,21.3,26.3,2.2,4,1.045,5960,27.66,22.69,4.57,3.82,0.21,1.045,-1.67,NA,0.865,-2.86,NA,1.345,4.99,1.345,2.55
5.41,30840,5.31,30120,1.72,5.51,31650,1.12,5.51,31580,47.3,13.63,124200,22.8,NA,5.02,27193,20.6,25.4,2.1,3.7,1.065,6060,NA,NA,4.58,3.86,0.07,1.065,-1.82,NA,0.905,-2.73,NA,1.385,5.02,1.385,2.37
5.51,31580,5.41,30840,1.7,5.61,32400,1.13,5.61,32330,47.2,13.64,124300,23.4,28.9,5.03,27257,20.3,25.2,2,3.7,1.085,6160,28.01,21.93,4.59,3.79,0.16,1.085,-1.6,NA,0.925,-2.7,NA,1.405,4.88,1.405,2.46
5.61,32330,5.51,31580,1.85,5.71,33160,1.15,5.71,33080,49.9,13.65,124500,23.3,29.1,5.04,27321,20.7,26.2,2.1,4,1.105,6270,28.17,21.28,4.6,3.85,0.09,1.105,-1.58,NA,0.945,-2.67,NA,1.425,4.78,1.425,2.43
5.71,33080,5.61,32330,1.66,5.81,33930,1.02,5.81,33850,50.8,13.66,124700,23.3,29.1,5.05,27386,21.7,25.3,2.3,3.7,1.125,6370,28.77,22.76,4.61,3.91,0.13,1.125,-1.36,NA,0.96,-2.67,NA,1.445,4.75,1.445,2.32
5.81,33850,5.71,33080,1.62,5.91,34720,1.06,5.91,34640,50.9,13.67,124900,24,28.5,5.06,27450,20.5,25.5,2.1,3.8,1.145,6470,27.56,23.14,4.62,3.85,0.09,1.145,-1.82,NA,0.965,-2.85,NA,1.475,5.08,1.475,2.32
5.91,34640,5.81,33850,1.68,6.01,35510,1.05,6.01,35430,53.6,13.68,125100,23.6,NA,5.07,27514,20.9,25.3,2.1,3.7,1.165,6570,NA,NA,4.63,3.82,0.13,1.165,-1.84,NA,0.985,-2.97,NA,1.495,5,1.495,2.42
6.01,35430,5.91,34640,1.74,6.11,36310,1.06,6.11,36230,51.4,13.69,125300,23.6,28.9,5.08,27579,22.4,25.1,2.5,3.6,1.185,6670,28.53,21.97,4.64,3.82,0.12,1.185,-1.62,NA,1.025,-2.74,NA,1.515,4.71,1.515,2.39
6.11,36230,6.01,35430,1.69,6.21,37130,1.05,6.21,37050,52.9,13.7,125500,24,28.8,5.09,27643,21.1,26.3,2.2,4.1,1.205,6770,28.27,23.12,4.65,3.89,0.14,1.205,-1.6,NA,1.045,-2.45,NA,1.555,4.85,1.555,2.54
6.21,37050,6.11,36230,1.67,6.31,37950,1.14,6.31,37860,52.3,13.71,125700,24.3,28.5,5.1,27708,21.3,25.2,2.2,3.7,1.225,6870,28.77,23,4.66,3.84,0.06,1.225,-1.69,NA,1.06,-2.54,NA,1.575,5.05,1.575,2.86
6.31,37860,6.21,37050,1.55,6.41,38770,0.94,6.41,38690,55.5,13.72,125900,23.7,28.7,5.11,27772,22,25.2,2.4,3.7,1.245,6970,28.66,22.56,4.67,3.85,0.17,1.245,-1.38,NA,1.065,-2.91,NA,1.595,4.8,1.595,2.48
6.41,38690,6.31,37860,1.59,6.51,39600,0.9,6.51,39520,51.7,13.73,126000,NA,NA,5.12,27837,20.6,25.6,2.1,3.8,1.265,7070,NA,NA,4.68,3.93,0.1,1.265,-1.38,NA,1.105,-2.55,NA,1.615,4.97,1.615,2.5
6.51,39520,6.41,38690,1.64,6.61,40440,1.1,6.61,40360,53.8,13.74,126200,24.5,NA,5.13,27902,21.6,25.5,2.3,3.8,1.285,7170,27.56,22.92,4.69,3.91,0.11,1.285,-1.36,NA,1.125,-2.38,NA,1.655,4.86,1.655,2.51
6.61,40360,6.51,39520,1.64,6.71,41290,1.06,6.71,41200,55.4,13.75,126400,24.2,29.2,5.14,27966,20.3,25.8,2,3.9,1.305,7270,28.75,21.8,4.7,3.87,0.02,1.305,-1.56,NA,1.145,-2.64,NA,1.675,4.8,1.675,2.64
6.71,41200,6.61,40360,1.67,6.81,42140,1.05,6.81,42060,54.8,13.76,126600,24.6,28.8,5.15,28031,21.4,25,2.3,3.6,1.325,7370,27.66,22.41,4.71,3.8,0.13,1.325,-1.63,NA,1.16,-2.69,NA,1.695,4.68,1.695,2.44
6.81,42060,6.71,41200,1.69,6.91,43010,1.05,6.91,42920,52.6,13.77,126800,24.8,29.1,5.16,28096,20.9,26,2.1,3.9,1.345,7470,28.62,22.79,4.72,3.87,0.13,1.345,-1.65,NA,1.165,-2.65,NA,1.715,4.69,1.715,2.3
6.91,42920,6.81,42060,1.58,7.01,43890,1.03,7.01,43800,52.8,13.78,126900,25.1,28.9,5.17,28161,22.6,25.7,2.5,3.8,1.365,7570,NA,NA,4.73,3.81,0.18,1.365,-1.57,NA,1.185,-2.6,NA,1.755,4.72,1.755,2.51
7.01,43800,6.91,42920,1.76,7.11,44790,1.19,7.11,44700,51.5,13.79,127100,24.6,28.9,5.18,28226,20.9,25.1,2.2,3.7,1.385,7670,28.68,21.95,4.74,3.82,0.02,1.385,-1.61,NA,1.205,-2.68,NA,1.775,5.02,1.775,2.85
7.11,44700,7.01,43800,1.63,7.21,45700,0.97,7.21,45610,51.4,13.8,127300,25.4,29.1,5.19,28291,21.4,25.5,2.2,3.8,1.405,7770,28.36,22.39,4.75,3.88,0.12,1.405,-1.7,NA,1.225,-2.65,NA,1.795,4.96,1.795,2.99
7.21,45610,7.11,44700,1.76,7.31,46630,1.1,7.31,46540,51.1,13.81,127500,24.6,28.9,5.2,28356,21,25.9,2.2,3.9,1.425,7870,28.13,22.27,4.76,3.89,0.1,1.425,-1.49,NA,1.245,-2.48,NA,1.815,5.55,1.855,2.48
7.31,46540,7.21,45610,1.48,7.41,47570,1.14,7.41,47470,52.1,13.82,127600,23.9,29.2,5.21,28421,21.9,26.3,2.4,4.1,1.445,7980,28.06,21.76,4.77,3.9,0.09,1.445,-1.39,NA,1.26,-2.66,NA,1.855,4.87,1.875,2.79
7.41,47470,7.31,46540,1.55,7.51,48520,1.15,7.51,48420,50.3,13.83,127800,NA,29,5.22,28486,21.5,25.4,2.3,3.7,1.465,8080,NA,NA,4.78,3.9,0.13,1.465,-1.78,NA,1.265,-2.56,NA,1.875,5.08,1.895,3.02
7.51,48420,7.41,47470,1.76,7.61,49480,1.15,7.61,49380,50.9,13.84,128000,25.5,29.4,5.23,28551,22.5,25.8,2.5,3.9,1.475,8130,28.81,21.76,4.79,3.84,0.12,1.475,-1.55,NA,1.325,-2.48,NA,1.895,4.81,1.915,2.48
7.61,49380,7.51,48420,1.54,7.71,50450,1.27,7.71,50350,48,13.85,128100,24.3,29.2,5.24,28616,22.1,26.1,2.4,4,1.495,8230,28.62,22.19,4.8,3.87,0.16,1.495,-1.51,NA,1.345,-2.65,NA,1.915,5.08,1.955,2.83
7.71,50350,7.61,49380,1.61,7.81,51440,0.97,7.81,51340,51.4,13.86,128300,24.4,29.2,5.25,28682,21.8,25.5,2.3,3.8,1.515,8330,27.96,22.09,4.81,3.86,0.16,1.515,-1.46,NA,1.36,-2.52,NA,1.955,5.19,1.975,2.7
7.81,51340,7.71,50350,1.52,7.91,52440,1.02,7.91,52340,50.2,13.87,128500,24,28.6,5.26,28747,21.1,25.8,2.2,3.9,1.535,8430,NA,NA,4.82,3.87,0.19,1.535,-1.72,NA,1.365,-2.75,NA,1.975,4.68,1.995,2.67
7.91,52340,7.81,51340,1.62,8.01,53460,0.9,8.01,53360,50.8,13.88,128600,25.4,NA,5.27,28813,20.9,26.1,2.2,4,1.555,8530,28.3,22.75,4.83,3.85,0.15,1.555,-1.34,NA,1.385,-2.46,NA,1.995,4.95,2.015,2.74
8.01,53360,7.91,52340,1.53,8.11,54490,1.04,8.11,54390,49.9,13.89,128800,25.3,29,5.28,28878,22,26.1,2.4,4,1.575,8630,28.74,24.05,4.84,3.89,0.16,1.575,-1.87,NA,1.405,-2.78,NA,2.015,4.95,2.055,2.7
8.11,54390,8.01,53360,1.64,8.21,55540,0.93,8.21,55430,50,13.9,128900,24.7,29.6,5.29,28944,21.1,25.8,2.2,3.9,1.595,8730,28.19,22.49,4.85,3.87,0.09,1.595,-1.26,NA,1.445,-2.63,NA,2.055,5.02,2.075,2.68
8.21,55430,8.11,54390,1.68,8.31,56600,0.87,8.31,56500,49.6,13.91,129100,25,29.2,5.3,29010,20.2,25.8,2,3.9,1.615,8830,28.57,22.56,4.86,3.81,0.11,1.615,-1.64,NA,1.46,-2.54,NA,2.075,4.96,2.095,2.89
8.31,56500,8.21,55430,1.42,8.41,57680,1.01,8.41,57570,47.3,13.92,129300,24.5,29.7,5.31,29076,21.2,25.2,2.2,3.7,1.635,8930,NA,NA,4.87,3.83,0.17,1.635,-1.54,NA,1.465,-2.73,NA,2.115,5.38,2.115,2.62
8.41,57570,8.31,56500,1.54,8.51,58770,0.8,8.51,58660,47.5,13.93,129400,24,28.6,5.32,29142,21.5,26.3,2.3,4,1.655,9030,28.31,22.61,4.88,3.95,0.09,1.655,-1.31,NA,1.475,-2.54,NA,2.155,4.48,2.155,2.86
8.51,58660,8.41,57570,1.39,8.61,59870,0.78,8.61,59750,48.6,13.94,129600,23.1,28,5.33,29208,21.2,25.8,2.2,3.9,1.675,9130,28.19,23.19,4.89,3.89,0.15,1.675,-0.56,NA,1.495,-2.56,NA,2.175,4.82,2.175,2.81
8.61,59750,8.51,58660,1.37,8.71,60970,0.67,8.71,60860,51.6,13.95,129700,24,27.7,5.34,29274,22,25.5,2.4,3.8,1.695,9230,27.9,22.29,4.9,3.86,0.21,1.695,-1.11,NA,1.515,-2.42,NA,2.195,5.04,2.195,2.82
8.71,60860,8.61,59750,1.45,8.81,62080,0.84,8.81,61970,47.1,13.96,129900,24.1,28.1,5.35,29340,23.2,26.2,2.6,4,1.715,9330,27.92,21.64,4.91,3.9,0.18,1.715,-1.58,NA,1.53,-2.35,NA,2.215,4.93,2.215,2.57
8.81,61970,8.71,60860,1.2,8.91,63210,0.93,8.91,63090,47.2,13.97,130000,24.2,28.9,5.36,29407,23.6,26.1,2.7,4,1.735,9430,NA,NA,4.92,3.83,0.16,1.735,-1.52,NA,1.535,-2.64,NA,2.275,4.48,2.275,2.54
8.91,63090,8.81,61970,1.43,9.01,64340,1.02,9.01,64220,42.7,13.98,130200,24.5,28.4,5.37,29474,23,26.8,2.6,4.2,1.755,9530,27.99,22.61,4.93,3.81,0.11,1.755,-1.17,NA,1.555,-2.6,NA,2.295,4.81,2.295,2.52
9.01,64220,8.91,63090,1.55,9.11,65480,1.06,9.11,65360,42.8,13.99,130300,24,28.5,5.38,29541,22.5,26.7,2.5,4.2,1.775,9640,28.68,24.03,4.94,3.83,0.2,1.775,-1.59,NA,1.575,-2.58,NA,2.315,4.7,2.315,2.75
9.11,65360,9.01,64220,1.48,9.21,66620,1.05,9.21,66510,42.6,14,130500,23.7,28.2,5.39,29608,21.7,26.3,2.3,4,1.795,9740,28.54,24.56,4.95,3.82,0.12,1.795,-1.24,NA,1.595,-2.56,NA,2.355,4.74,2.355,2.41
9.21,66510,9.11,65360,1.45,9.31,67770,1.06,9.31,67650,40.6,14.01,130600,24.3,27.9,5.4,29675,21.5,26,2.3,3.9,1.815,9840,29.79,NA,4.96,3.91,0.18,1.815,-1.53,NA,1.615,-2.37,NA,2.375,4.83,2.375,2.48
9.31,67650,9.21,66510,1.62,9.41,68920,1.02,9.41,68800,40.4,14.02,130800,23.9,27.3,5.41,29742,20.8,26.7,2.1,4.2,1.835,9940,NA,NA,4.97,3.87,0.09,1.835,-1.64,NA,1.63,-2.37,NA,2.395,4.32,2.395,2.34
9.41,68800,9.31,67650,1.57,9.51,70060,0.97,9.51,69950,40.2,14.03,130900,24.6,27.8,5.42,29810,22,26.7,2.4,4.2,1.855,10040,28.34,22.48,4.98,3.88,0.21,1.855,-1.22,NA,1.635,-2.49,NA,2.415,4.59,2.415,2.45
