year (AD),age (BP),depth (cm),temperature (degC),Alkenones (ug/g)
-12410,14360,579,20.77,0.211
-12490,14440,581.2,16.45,3.352
-12565,14515,585,15.97,5.578
-12600,14550,587,18.4,0.324
-12650,14600,589.2,17.01,1.859
-12720,14670,591,16.26,0.235
-12725,14675,593,17.72,2.429
-12810,14760,597.3,17.8,1.123
-12884,14834,601,15.99,8.449
-12960,14910,603,17.11,0.101
-12970,14920,605.3,17.23,3.344
-13044,14994,609,17.86,2.922
-13080,15030,668,12.31,0.075
-13200,15150,674,8.2,0.05
-13319,15269,680,10.36,0.025
-13559,15509,692,12.28,0.015
-13679,15629,698,22.42,0.007
