depth (m) [1-1],age (BP) [1-1],temperature (degC) [1-1],sampleID (missing) [1-1],TEX86 (missing) [1-1],BIT (missing) [1-1]
5.995,14941.292,20.423,LV95 1-P-VIIa 5-6,0.542,0.148
6.115,15176.125,19.057,LV95 1-P-VIIa 17-18,0.518,0.373
6.215,NA,21.329,LV95 1-P-VIIa 27-28,0.559,0.411
6.295,NA,21.28,LV95 1-P-VIIa 35-36,0.558,0.461
6.415,NA,23.61,LV95 1-P-VIIa 47-48,0.604,0.783
6.505,NA,27.47,LV95 1-P-VIIa 56-57,0.688,0.821
6.615,NA,29.239,LV95 1-P-VIIa 67-68,0.73,0.789
6.725,NA,29.777,LV95 1-P-VIIa 78-79,0.743,0.705
6.785,NA,28.253,LV95 1-P-VIIa 84-85,0.706,0.626
6.885,NA,28.478,LV95 1-P-VIIa 94-95,0.711,0.576
6.985,NA,26.158,LV95 1-P-VIIb 7-8,0.658,0.474
7.045,NA,25.068,LV95 1-P-VIIb 13-14,0.634,0.411
7.155,NA,24.423,LV95 VIIb 24-25,0.621,0.309
7.515,NA,31.062,LV95 1-P-XII 4-5,0.776,0.697
7.635,NA,31.26,LV95 1-P-XII 16-17,0.781,0.672
7.755,NA,31.333,LV95 1-P-XII 28-29,0.783,0.67
7.845,NA,30.849,LV95 1-P-XII 37-38,0.77,0.67
7.945,NA,31.537,LV95 1-P-XII 47-48,0.788,0.699
8.045,NA,31.156,LV95 1-P-XII 57-58,0.778,0.702
8.145,NA,31.163,LV95 1-P-XII 67-68,0.779,0.759
8.245,NA,30.823,LV95 1-P-XII 77-78,0.77,0.753
8.345,NA,31.15,LV95 1-P-XII 87-88,0.778,0.75
8.525,NA,30.241,LV95 1-P-XIII 5-6,0.755,0.806
8.635,NA,31.078,LV95 1-P-XIII 16-17,0.776,0.766
8.755,NA,26.58,LV951-P-XIII 28-29,0.667,0.85
8.835,NA,30.01,LV95 1-P-XIII 36-37,0.749,0.81
8.925,NA,28.087,LV95 1-P-XIII 45-46,0.702,0.857
9.025,NA,29.411,LV95 1-P-XIII 55-56,0.734,0.806
